 iy/ix           1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17          18          19          20          21          22          23          24          25          26          27          28          29          30          31          32          33          34          35          36          37          38          39          40
     1  1.3944e-03  8.5401e-03  1.5870e-02  2.6012e-02  4.7711e-02  7.0218e-02  1.1197e-01  1.7695e-01  2.8630e-01  5.1734e-01  8.3446e-01  8.7736e-01  8.9463e-01  9.0444e-01  9.1825e-01  9.1525e-01  9.1999e-01  9.1346e-01  9.1667e-01  9.0268e-01  8.9293e-01  8.8797e-01  8.9283e-01  8.8596e-01  9.0699e-01  9.1529e-01  9.1532e-01  9.1587e-01  9.2054e-01  9.2390e-01  9.2050e-01  9.1680e-01  9.1327e-01  9.1996e-01  9.2252e-01  9.2905e-01  9.5625e-01  1.0147e+00  1.1532e+00  1.5981e+00
     2  1.7329e-03  1.0085e-02  2.1142e-02  3.3807e-02  4.9044e-02  7.4114e-02  1.0676e-01  1.7339e-01  2.8705e-01  5.1996e-01  8.2831e-01  8.7807e-01  8.9605e-01  9.0634e-01  9.0215e-01  9.1216e-01  9.1068e-01  9.1305e-01  9.1497e-01  9.0035e-01  8.9845e-01  8.9306e-01  8.8786e-01  8.9768e-01  9.1293e-01  9.1542e-01  9.2461e-01  9.1422e-01  9.0804e-01  9.1034e-01  9.1617e-01  9.1031e-01  9.1532e-01  9.2343e-01  9.2377e-01  9.3129e-01  9.5690e-01  1.0097e+00  1.1499e+00  1.5979e+00
     3  2.0545e-03  6.3570e-03  1.6890e-02  3.5436e-02  5.5560e-02  7.4531e-02  1.1368e-01  1.7665e-01  2.7860e-01  5.2431e-01  8.2976e-01  8.7597e-01  8.9337e-01  8.9772e-01  9.1509e-01  9.1778e-01  9.1448e-01  9.1918e-01  9.0708e-01  8.9992e-01  8.9096e-01  8.8610e-01  8.9002e-01  8.9739e-01  9.1662e-01  9.2054e-01  9.1510e-01  9.2154e-01  9.1168e-01  9.1121e-01  9.2517e-01  9.2578e-01  9.2583e-01  9.2287e-01  9.2859e-01  9.3198e-01  9.4791e-01  1.0061e+00  1.1389e+00  1.5938e+00
     4  5.4227e-03  7.2280e-03  1.8036e-02  2.5141e-02  4.2745e-02  7.8621e-02  1.1253e-01  1.7332e-01  2.8864e-01  5.2141e-01  8.4456e-01  8.8020e-01  8.9811e-01  9.0835e-01  9.0905e-01  9.1008e-01  9.1512e-01  9.1696e-01  9.1264e-01  9.0687e-01  8.9406e-01  8.9187e-01  8.9506e-01  8.9885e-01  9.2298e-01  9.1895e-01  9.1069e-01  9.1304e-01  9.0862e-01  9.1016e-01  9.1048e-01  9.1482e-01  9.0655e-01  9.1168e-01  9.1558e-01  9.2334e-01  9.4483e-01  9.9701e-01  1.1383e+00  1.5892e+00
     5  7.3053e-03  1.3656e-02  1.8729e-02  2.5718e-02  3.9380e-02  6.9803e-02  1.1229e-01  1.7117e-01  2.8489e-01  5.2185e-01  8.4372e-01  8.8610e-01  9.0404e-01  9.1695e-01  9.1666e-01  9.1301e-01  9.1272e-01  9.1775e-01  9.0971e-01  9.0227e-01  8.9403e-01  8.8840e-01  8.8827e-01  8.9292e-01  9.0766e-01  9.1032e-01  9.0498e-01  9.0778e-01  9.0403e-01  9.0716e-01  9.1187e-01  9.1100e-01  9.0698e-01  9.0762e-01  9.0436e-01  9.1738e-01  9.4186e-01  9.9568e-01  1.1378e+00  1.5835e+00
     6 -1.4287e-03  6.2405e-03  1.3976e-02  2.6430e-02  4.5165e-02  6.7371e-02  1.0983e-01  1.7586e-01  2.8132e-01  5.2372e-01  8.5540e-01  8.9613e-01  9.1447e-01  9.2121e-01  9.2785e-01  9.2965e-01  9.3244e-01  9.3037e-01  9.1753e-01  9.0621e-01  8.9039e-01  8.8790e-01  8.9107e-01  8.9045e-01  9.0375e-01  9.1287e-01  9.0792e-01  9.0593e-01  8.9693e-01  8.9670e-01  9.0244e-01  9.0645e-01  8.9257e-01  8.9187e-01  8.9192e-01  9.0807e-01  9.3350e-01  9.8698e-01  1.1206e+00  1.5725e+00
     7 -8.4288e-04  8.0068e-03  1.9953e-02  2.8652e-02  4.8158e-02  7.1691e-02  1.1111e-01  1.7045e-01  2.8731e-01  5.2638e-01  8.6758e-01  9.1630e-01  9.2631e-01  9.2693e-01  9.3249e-01  9.3139e-01  9.3558e-01  9.2647e-01  9.1583e-01  9.0341e-01  8.9335e-01  8.8854e-01  8.8431e-01  8.9261e-01  9.0504e-01  9.0360e-01  8.9824e-01  8.9687e-01  8.9270e-01  8.9050e-01  8.9038e-01  8.7660e-01  8.7748e-01  8.7513e-01  8.9021e-01  8.9798e-01  9.1856e-01  9.7141e-01  1.1099e+00  1.5552e+00
     8  2.6714e-03  9.2152e-03  1.4231e-02  2.9482e-02  4.9547e-02  7.0486e-02  1.1018e-01  1.7208e-01  2.8320e-01  5.3105e-01  8.8967e-01  9.3146e-01  9.2879e-01  9.2303e-01  9.1773e-01  9.2633e-01  9.2918e-01  9.2994e-01  9.1751e-01  9.0148e-01  8.9304e-01  8.9290e-01  8.8790e-01  8.8609e-01  8.8848e-01  8.8391e-01  8.8056e-01  8.7509e-01  8.8495e-01  8.7401e-01  8.6997e-01  8.6430e-01  8.5481e-01  8.6076e-01  8.6535e-01  8.7384e-01  9.0263e-01  9.6317e-01  1.0985e+00  1.5467e+00
     9  5.1819e-03  1.3491e-02  2.1392e-02  3.4936e-02  4.4548e-02  6.7522e-02  1.0777e-01  1.6729e-01  2.7587e-01  5.3885e-01  9.0948e-01  9.3660e-01  9.3764e-01  9.3068e-01  9.2455e-01  9.1839e-01  9.1350e-01  9.0676e-01  9.0887e-01  8.9979e-01  8.9492e-01  8.9201e-01  8.9147e-01  8.9058e-01  8.7958e-01  8.8414e-01  8.7804e-01  8.6797e-01  8.5733e-01  8.5001e-01  8.3867e-01  8.4418e-01  8.3632e-01  8.3266e-01  8.4132e-01  8.4555e-01  8.8106e-01  9.3684e-01  1.0810e+00  1.5328e+00
    10  2.2196e-03  1.5366e-02  2.7973e-02  3.5662e-02  4.8131e-02  7.3002e-02  1.1406e-01  1.7112e-01  2.7911e-01  5.2319e-01  8.9404e-01  9.0844e-01  9.0254e-01  9.0520e-01  9.0902e-01  9.0491e-01  8.9934e-01  9.0052e-01  8.9536e-01  8.9506e-01  8.8469e-01  8.8478e-01  8.8847e-01  8.8222e-01  8.6981e-01  8.5841e-01  8.3982e-01  8.3815e-01  8.3671e-01  8.2377e-01  8.1951e-01  8.0534e-01  8.0360e-01  8.0626e-01  8.1388e-01  8.3017e-01  8.6351e-01  9.2496e-01  1.0747e+00  1.5259e+00
