 iy/ix           1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17          18          19          20          21          22          23          24          25          26          27          28          29          30          31          32          33          34          35          36          37          38          39          40
     1  2.2007e+02  2.9046e+02  3.1052e+02  3.1690e+02  3.1679e+02  3.1342e+02  3.0605e+02  2.8983e+02  2.6619e+02  2.2792e+02  1.6483e+02  1.3208e+02  1.1306e+02  9.8951e+01  9.1311e+01  8.4390e+01  7.8969e+01  7.3141e+01  6.8518e+01  6.1396e+01  4.7716e+01  3.0046e+01  2.3400e+01  1.9994e+01  2.3271e+01  2.7129e+01  2.9334e+01  3.0685e+01  3.1677e+01  3.2254e+01  3.2962e+01  3.2930e+01  3.3054e+01  3.3204e+01  3.3007e+01  3.2875e+01  3.2847e+01  3.2664e+01  3.1822e+01  3.0139e+01
     2  2.8950e+02  3.7146e+02  3.9726e+02  4.0709e+02  4.0824e+02  4.0277e+02  3.9302e+02  3.7269e+02  3.4189e+02  2.9564e+02  2.0966e+02  1.6595e+02  1.4125e+02  1.2423e+02  1.1257e+02  1.0244e+02  9.5071e+01  8.8433e+01  8.2774e+01  7.4978e+01  5.9793e+01  3.9325e+01  3.1831e+01  2.7635e+01  2.9720e+01  3.2156e+01  3.3762e+01  3.5412e+01  3.5959e+01  3.6768e+01  3.6829e+01  3.6840e+01  3.6747e+01  3.6674e+01  3.6411e+01  3.6703e+01  3.6797e+01  3.5890e+01  3.5269e+01  3.3815e+01
     3  3.1089e+02  3.9713e+02  4.2065e+02  4.2831e+02  4.3128e+02  4.2263e+02  4.1187e+02  3.9241e+02  3.6214e+02  3.1414e+02  2.2077e+02  1.7576e+02  1.5057e+02  1.3336e+02  1.2117e+02  1.1130e+02  1.0269e+02  9.5684e+01  9.0192e+01  8.2707e+01  6.4008e+01  4.1694e+01  3.3994e+01  2.9748e+01  3.4515e+01  3.7387e+01  3.8537e+01  3.8987e+01  3.9431e+01  4.0045e+01  3.9801e+01  3.9386e+01  3.9463e+01  3.9503e+01  3.9607e+01  3.9030e+01  3.9096e+01  3.9104e+01  3.7877e+01  3.6451e+01
     4  3.1674e+02  4.0744e+02  4.2994e+02  4.3639e+02  4.3564e+02  4.3068e+02  4.1841e+02  3.9643e+02  3.6882e+02  3.1735e+02  2.2347e+02  1.7836e+02  1.5334e+02  1.3656e+02  1.2347e+02  1.1454e+02  1.0609e+02  9.9913e+01  9.4630e+01  8.6165e+01  6.5845e+01  4.2748e+01  3.4841e+01  3.1053e+01  3.6707e+01  4.0649e+01  4.2743e+01  4.3396e+01  4.3108e+01  4.2990e+01  4.2867e+01  4.2435e+01  4.2092e+01  4.2202e+01  4.2716e+01  4.2549e+01  4.2139e+01  4.1441e+01  4.0996e+01  3.8900e+01
     5  3.1617e+02  4.0865e+02  4.3006e+02  4.3553e+02  4.3485e+02  4.3000e+02  4.1876e+02  3.9730e+02  3.6850e+02  3.1705e+02  2.2408e+02  1.7888e+02  1.5274e+02  1.3700e+02  1.2541e+02  1.1581e+02  1.0974e+02  1.0307e+02  9.6863e+01  8.7650e+01  6.6757e+01  4.3071e+01  3.4820e+01  3.1111e+01  3.7724e+01  4.2964e+01  4.4978e+01  4.5851e+01  4.5760e+01  4.5883e+01  4.6377e+01  4.6282e+01  4.5990e+01  4.5852e+01  4.5352e+01  4.5602e+01  4.5064e+01  4.4805e+01  4.3511e+01  4.1755e+01
     6  3.1234e+02  4.0259e+02  4.2646e+02  4.3143e+02  4.3036e+02  4.2557e+02  4.1430e+02  3.9585e+02  3.6257e+02  3.1288e+02  2.2186e+02  1.7503e+02  1.5061e+02  1.3533e+02  1.2458e+02  1.1661e+02  1.1029e+02  1.0330e+02  9.6777e+01  8.7429e+01  6.6761e+01  4.3114e+01  3.4883e+01  3.0684e+01  3.8311e+01  4.3937e+01  4.7186e+01  4.8658e+01  4.8942e+01  4.9626e+01  4.9522e+01  4.9109e+01  4.9214e+01  4.9519e+01  4.9127e+01  4.8721e+01  4.8887e+01  4.8542e+01  4.6438e+01  4.3955e+01
     7  3.0378e+02  3.8943e+02  4.1254e+02  4.1958e+02  4.2046e+02  4.1413e+02  4.0757e+02  3.9019e+02  3.5712e+02  3.0794e+02  2.1564e+02  1.7064e+02  1.4696e+02  1.3254e+02  1.2114e+02  1.1330e+02  1.0714e+02  1.0103e+02  9.6996e+01  8.8142e+01  6.6669e+01  4.2364e+01  3.4046e+01  3.0293e+01  3.8045e+01  4.4359e+01  4.7954e+01  4.9466e+01  5.0615e+01  5.1675e+01  5.1893e+01  5.2275e+01  5.2311e+01  5.2707e+01  5.2837e+01  5.2408e+01  5.2087e+01  5.1497e+01  4.9980e+01  4.6824e+01
     8  2.9054e+02  3.7305e+02  3.9386e+02  3.9961e+02  4.0115e+02  3.9654e+02  3.9035e+02  3.7121e+02  3.4466e+02  2.9697e+02  2.0655e+02  1.6398e+02  1.4186e+02  1.2704e+02  1.1694e+02  1.1097e+02  1.0537e+02  1.0039e+02  9.4402e+01  8.5435e+01  6.4674e+01  4.2138e+01  3.4342e+01  3.0769e+01  3.8314e+01  4.4658e+01  4.8721e+01  5.1310e+01  5.3119e+01  5.4564e+01  5.4633e+01  5.5393e+01  5.6522e+01  5.6114e+01  5.6325e+01  5.6607e+01  5.6285e+01  5.5325e+01  5.3729e+01  5.0321e+01
     9  2.6702e+02  3.4346e+02  3.6015e+02  3.7144e+02  3.6756e+02  3.6835e+02  3.5679e+02  3.4485e+02  3.1867e+02  2.7552e+02  1.9039e+02  1.5429e+02  1.3423e+02  1.2122e+02  1.1314e+02  1.0777e+02  1.0303e+02  9.8955e+01  9.3468e+01  8.5363e+01  6.4443e+01  4.0654e+01  3.3420e+01  3.0247e+01  3.8358e+01  4.5115e+01  4.9734e+01  5.2329e+01  5.4896e+01  5.7016e+01  5.8493e+01  5.9574e+01  6.0410e+01  6.1133e+01  6.1218e+01  6.1289e+01  6.0473e+01  5.9240e+01  5.7411e+01  5.3383e+01
    10  2.3050e+02  2.9546e+02  3.1341e+02  3.1928e+02  3.1808e+02  3.1419e+02  3.0816e+02  2.9490e+02  2.7498e+02  2.4135e+02  1.7117e+02  1.4195e+02  1.2563e+02  1.1461e+02  1.0930e+02  1.0436e+02  9.8745e+01  9.4556e+01  9.0051e+01  8.2841e+01  6.3822e+01  4.1357e+01  3.3291e+01  3.0340e+01  3.8512e+01  4.5977e+01  5.0731e+01  5.3848e+01  5.7162e+01  6.0347e+01  6.1878e+01  6.3580e+01  6.4910e+01  6.4981e+01  6.5687e+01  6.5515e+01  6.3593e+01  6.2214e+01  5.9911e+01  5.5165e+01
    11  1.6544e+02  2.0912e+02  2.2305e+02  2.2394e+02  2.2668e+02  2.2157e+02  2.1632e+02  2.0491e+02  1.9303e+02  1.7246e+02  1.4617e+02  1.2842e+02  1.1670e+02  1.0926e+02  1.0296e+02  1.0026e+02  9.6027e+01  9.2281e+01  8.7489e+01  8.0373e+01  6.2052e+01  4.1575e+01  3.3643e+01  3.0228e+01  3.9613e+01  4.6930e+01  5.2350e+01  5.7030e+01  6.0393e+01  6.3150e+01  6.5574e+01  6.7273e+01  6.7901e+01  6.8103e+01  6.7721e+01  6.6812e+01  6.5058e+01  6.3116e+01  5.9412e+01  5.5293e+01
