 iy/ix           1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17          18          19          20          21          22          23          24          25          26          27          28          29          30          31          32          33          34          35          36          37          38          39          40
     1  7.4462e-03  9.0319e-03  2.7539e-02  5.0527e-02  7.5213e-02  1.0830e-01  1.6058e-01  2.3285e-01  3.4517e-01  5.0094e-01  5.0327e-01  3.4629e-01  2.3869e-01  1.6481e-01  1.1373e-01  7.8601e-02  5.3980e-02  3.7399e-02  2.5965e-02  1.7739e-02  6.8403e-03  1.1575e-03  1.9372e-04  3.2781e-05  1.0011e-05  6.9382e-06  4.8288e-06  3.3508e-06  2.3303e-06  1.6266e-06  1.1337e-06  7.7819e-07  5.3748e-07  3.6776e-07  2.5852e-07  1.8142e-07  1.2687e-07  9.0335e-08  6.6563e-08  5.1235e-08
     2 -1.5416e-04  1.9347e-02  3.4177e-02  5.3125e-02  8.5175e-02  1.1677e-01  1.5532e-01  2.3435e-01  3.4168e-01  5.0252e-01  4.9873e-01  3.4385e-01  2.3750e-01  1.6248e-01  1.1329e-01  7.8045e-02  5.3834e-02  3.7059e-02  2.5657e-02  1.7681e-02  6.7850e-03  1.1383e-03  1.9230e-04  3.2438e-05  9.7417e-06  6.8762e-06  4.7536e-06  3.2894e-06  2.2975e-06  1.5909e-06  1.1082e-06  7.7638e-07  5.3856e-07  3.7613e-07  2.6094e-07  1.8221e-07  1.2841e-07  9.1016e-08  6.5542e-08  5.0464e-08
     3  1.3054e-02  1.6102e-02  3.1001e-02  5.0954e-02  8.5309e-02  1.1250e-01  1.6441e-01  2.3483e-01  3.3912e-01  5.0217e-01  4.9975e-01  3.3914e-01  2.3306e-01  1.5947e-01  1.1044e-01  7.6357e-02  5.2537e-02  3.6256e-02  2.4891e-02  1.7283e-02  6.6934e-03  1.1415e-03  1.9343e-04  3.2588e-05  9.9568e-06  6.8751e-06  4.8349e-06  3.3405e-06  2.2904e-06  1.5940e-06  1.0959e-06  7.5852e-07  5.2262e-07  3.6673e-07  2.5538e-07  1.7750e-07  1.2447e-07  9.0031e-08  6.6455e-08  5.0826e-08
     4  5.4581e-03  1.4265e-02  2.0676e-02  3.8146e-02  6.4756e-02  1.1022e-01  1.5636e-01  2.3064e-01  3.4270e-01  4.9754e-01  4.9441e-01  3.3427e-01  2.2975e-01  1.6006e-01  1.0873e-01  7.4272e-02  5.1420e-02  3.5796e-02  2.4597e-02  1.6863e-02  6.4351e-03  1.0871e-03  1.8435e-04  3.1206e-05  9.5876e-06  6.5988e-06  4.5912e-06  3.2433e-06  2.2532e-06  1.5425e-06  1.0648e-06  7.3543e-07  5.1582e-07  3.5923e-07  2.4882e-07  1.7490e-07  1.2406e-07  8.8606e-08  6.4766e-08  4.9834e-08
     5  5.1815e-03  1.6561e-02  3.3049e-02  4.8223e-02  6.4829e-02  1.0923e-01  1.5955e-01  2.2569e-01  3.3023e-01  4.8928e-01  4.8751e-01  3.2985e-01  2.2256e-01  1.5066e-01  1.0397e-01  7.1295e-02  4.9358e-02  3.3829e-02  2.3324e-02  1.5963e-02  6.1747e-03  1.0351e-03  1.7475e-04  3.0203e-05  9.1525e-06  6.4462e-06  4.4103e-06  3.0380e-06  2.0974e-06  1.4736e-06  1.0216e-06  7.1420e-07  4.9992e-07  3.4352e-07  2.4021e-07  1.6916e-07  1.1994e-07  8.5441e-08  6.2889e-08  4.9230e-08
     6 -6.3831e-04  1.1133e-02  1.7450e-02  3.3908e-02  7.0445e-02  9.6452e-02  1.4663e-01  2.2049e-01  3.1886e-01  4.7783e-01  4.7649e-01  3.2201e-01  2.1902e-01  1.4820e-01  1.0057e-01  6.9015e-02  4.7204e-02  3.2332e-02  2.2173e-02  1.5241e-02  5.9113e-03  1.0054e-03  1.6747e-04  2.8065e-05  8.7428e-06  6.0393e-06  4.2260e-06  2.9095e-06  1.9976e-06  1.3862e-06  9.7159e-07  6.8411e-07  4.7480e-07  3.3600e-07  2.3653e-07  1.6584e-07  1.1647e-07  8.3829e-08  6.2376e-08  4.8589e-08
     7  7.0544e-03  1.7027e-02  2.6931e-02  3.3640e-02  5.7026e-02  9.4229e-02  1.4260e-01  2.0212e-01  3.1195e-01  4.6284e-01  4.6483e-01  3.0859e-01  2.0613e-01  1.3916e-01  9.4436e-02  6.4711e-02  4.4400e-02  3.0260e-02  2.0713e-02  1.4411e-02  5.5571e-03  9.3590e-04  1.5621e-04  2.6358e-05  8.0379e-06  5.6131e-06  3.9008e-06  2.7582e-06  1.9217e-06  1.3305e-06  9.3522e-07  6.4305e-07  4.5307e-07  3.2070e-07  2.2504e-07  1.5885e-07  1.1247e-07  8.1714e-08  6.1069e-08  4.7839e-08
     8  4.6374e-03  1.1332e-02  2.5620e-02  4.4179e-02  6.6264e-02  8.5848e-02  1.2578e-01  1.9297e-01  2.9432e-01  4.4686e-01  4.4453e-01  2.8720e-01  1.9083e-01  1.2803e-01  8.7237e-02  5.9735e-02  4.0731e-02  2.8486e-02  1.9625e-02  1.3295e-02  5.0171e-03  8.4285e-04  1.4343e-04  2.4420e-05  7.4539e-06  5.1964e-06  3.6426e-06  2.5172e-06  1.7646e-06  1.2302e-06  8.7402e-07  6.1993e-07  4.3718e-07  3.0435e-07  2.1475e-07  1.5309e-07  1.1183e-07  8.0627e-08  5.9818e-08  4.7209e-08
     9  2.2936e-03  1.0252e-02  1.6589e-02  3.2678e-02  4.6273e-02  7.2441e-02  1.0826e-01  1.7020e-01  2.5771e-01  4.0507e-01  3.9845e-01  2.5774e-01  1.6875e-01  1.1410e-01  7.7550e-02  5.3365e-02  3.6921e-02  2.4741e-02  1.7026e-02  1.1844e-02  4.5777e-03  7.7042e-04  1.3074e-04  2.1943e-05  6.6653e-06  4.6993e-06  3.2945e-06  2.3094e-06  1.6121e-06  1.1504e-06  8.0273e-07  5.7215e-07  4.0980e-07  2.9390e-07  2.1007e-07  1.5165e-07  1.0935e-07  7.9861e-08  6.0721e-08  4.7690e-08
    10  3.7310e-03  5.5494e-03  1.8082e-02  3.2101e-02  3.9266e-02  6.5523e-02  9.8864e-02  1.3839e-01  2.0538e-01  3.1942e-01  3.1986e-01  2.0774e-01  1.3878e-01  9.5801e-02  6.5934e-02  4.5864e-02  3.1507e-02  2.2009e-02  1.5240e-02  1.0628e-02  4.0810e-03  6.8394e-04  1.1652e-04  1.9790e-05  5.9664e-06  4.1658e-06  2.9251e-06  2.0599e-06  1.4566e-06  1.0286e-06  7.3991e-07  5.3521e-07  3.8546e-07  2.7679e-07  2.0189e-07  1.4575e-07  1.0741e-07  8.0337e-08  6.1105e-08  4.8990e-08
