 iy/ix           1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17          18          19          20          21          22          23          24          25          26          27          28          29          30          31          32          33          34          35          36          37          38          39          40
     1  9.5254e-03  1.4941e-02  5.7698e-03  2.1946e-03  8.0051e-03  2.2568e-03  3.1180e-03  8.2913e-03  3.3559e-03  5.3237e-03  3.7851e-03  1.5581e-03  9.4846e-04  1.8864e-03  1.6993e-03  4.9343e-04  2.4589e-04  4.7631e-04  2.6281e-04  3.1422e-04  1.1114e-05  2.2155e-06  7.3197e-07  3.2770e-07  1.3272e-08  8.1146e-08  4.8273e-08  3.2443e-08  2.9249e-09  1.1148e-08  1.5411e-08  1.4350e-08  7.2937e-09  2.5250e-09  8.6621e-10  4.0191e-10  1.4807e-09  1.9641e-10  8.6819e-11  2.1218e-10
     2  2.8813e-02  2.1820e-02  1.0501e-02  2.3108e-02  1.3461e-02  1.8269e-02  1.1462e-02  9.7349e-03  1.1438e-02  1.2352e-02  1.0923e-02  5.3980e-03  6.4589e-03  4.4940e-03  3.0197e-03  2.3605e-03  1.7635e-03  1.1616e-03  9.9501e-04  5.7373e-04  1.5199e-04  1.5007e-05  6.4845e-08 -8.8063e-08  1.1802e-07  1.5175e-07  1.2361e-07  7.5087e-08  5.9762e-08  5.5389e-08  3.3991e-08  2.8915e-08  1.7615e-08  9.4055e-09  4.3386e-09  3.4577e-09  3.0245e-09  1.1208e-09  1.3624e-09  4.6417e-10
     3  4.0220e-02  3.5068e-02  2.6188e-02  3.7861e-02  2.6366e-02  4.3664e-02  2.6038e-02  1.2271e-02  2.1598e-02  1.7087e-02  1.3780e-02  1.3123e-02  1.0489e-02  8.2324e-03  4.9027e-03  4.4932e-03  3.2648e-03  2.2614e-03  1.6159e-03  1.0202e-03  2.2663e-04  2.6034e-05  1.9819e-06  5.7044e-07  1.8430e-07  2.8181e-07  2.4133e-07  1.6075e-07  1.0226e-07  8.6952e-08  5.3505e-08  4.0999e-08  2.6086e-08  1.3882e-08  1.0451e-08  6.7917e-09  4.1373e-09  2.5512e-09  1.8291e-09  9.6440e-10
     4  6.1355e-02  5.4849e-02  4.7177e-02  5.4628e-02  4.7255e-02  5.8175e-02  3.6971e-02  4.0880e-02  3.3686e-02  2.5470e-02  2.4066e-02  2.0669e-02  1.4440e-02  1.1264e-02  8.8547e-03  6.3118e-03  4.3461e-03  2.8965e-03  2.3511e-03  1.6131e-03  2.6119e-04  2.4718e-05  3.7970e-06  5.8763e-07  5.5268e-07  3.9772e-07  2.9991e-07  2.6778e-07  1.7341e-07  1.2188e-07  8.5335e-08  5.8386e-08  3.3594e-08  1.7925e-08  1.3304e-08  8.5650e-09  5.1268e-09  2.6212e-09  2.0292e-09  1.4790e-09
     5  7.8746e-02  7.9269e-02  7.6705e-02  8.4191e-02  6.7815e-02  7.5624e-02  6.6283e-02  5.3764e-02  5.5531e-02  4.1619e-02  3.8556e-02  2.8033e-02  2.1614e-02  1.6206e-02  1.1181e-02  7.9177e-03  5.7228e-03  3.8361e-03  2.9608e-03  2.0385e-03  3.5501e-04  3.4869e-05  3.1747e-06  9.1011e-07  7.1638e-07  5.1417e-07  3.9949e-07  3.0234e-07  2.2390e-07  1.5877e-07  9.9026e-08  5.9171e-08  4.0254e-08  2.4862e-08  1.5601e-08  8.6952e-09  5.7606e-09  3.4454e-09  2.0994e-09  1.1175e-09
     6  1.1631e-01  1.1303e-01  1.0973e-01  1.1918e-01  1.0114e-01  1.0476e-01  9.8021e-02  9.1508e-02  7.5400e-02  5.9147e-02  5.2502e-02  3.9977e-02  2.9125e-02  2.1233e-02  1.4648e-02  1.0073e-02  7.0398e-03  5.1825e-03  3.4716e-03  2.3382e-03  4.5247e-04  4.0032e-05  3.8492e-06  1.1117e-06  7.2509e-07  7.3816e-07  5.4499e-07  3.7426e-07  2.5169e-07  1.6685e-07  1.0116e-07  6.5005e-08  4.4964e-08  2.8052e-08  1.5539e-08  8.9897e-09  4.6920e-09  2.9342e-09  1.6028e-09  3.7842e-10
     7  1.6380e-01  1.6332e-01  1.6806e-01  1.5707e-01  1.5448e-01  1.5144e-01  1.4206e-01  1.3678e-01  1.1068e-01  8.9820e-02  7.3337e-02  5.3665e-02  3.9360e-02  2.7229e-02  1.9080e-02  1.2797e-02  8.9202e-03  6.0066e-03  4.0692e-03  2.5792e-03  4.9476e-04  5.3727e-05  7.4811e-06  1.1153e-06  8.5308e-07  7.9694e-07  5.8916e-07  4.1348e-07  2.8907e-07  1.8144e-07  1.1845e-07  7.2528e-08  4.3059e-08  2.6405e-08  1.4106e-08  9.2179e-09  4.0608e-09  1.4663e-09  6.5701e-10  1.9411e-11
     8  2.3877e-01  2.3656e-01  2.4665e-01  2.3405e-01  2.1845e-01  2.1928e-01  2.1353e-01  1.9594e-01  1.7676e-01  1.2804e-01  1.0233e-01  7.2710e-02  5.2095e-02  3.3734e-02  2.3255e-02  1.4851e-02  1.0223e-02  6.9601e-03  4.6023e-03  3.0469e-03  6.2434e-04  5.0106e-05  8.6808e-06  1.1800e-06  9.6500e-07  8.9619e-07  5.9947e-07  4.2105e-07  2.9981e-07  1.9289e-07  1.1687e-07  7.5082e-08  3.9418e-08  2.3171e-08  1.2958e-08  6.0419e-09  1.5715e-09 -1.3063e-10 -7.1185e-10 -9.6693e-10
     9  3.4425e-01  3.4397e-01  3.3959e-01  3.3990e-01  3.3265e-01  3.3527e-01  3.1033e-01  2.8852e-01  2.5756e-01  2.0348e-01  1.4591e-01  9.7474e-02  6.1092e-02  4.0099e-02  2.6118e-02  1.7519e-02  1.1595e-02  7.6806e-03  5.1524e-03  3.3459e-03  6.5362e-04  5.7407e-05  7.8323e-06  1.1799e-06  9.8797e-07  8.6884e-07  6.3205e-07  4.1103e-07  2.8764e-07  1.7791e-07  1.0752e-07  5.9243e-08  3.3381e-08  1.7104e-08  6.7727e-09  5.2288e-10 -2.1483e-09 -1.9461e-09 -2.6526e-09 -1.9295e-09
    10  5.0836e-01  5.0087e-01  5.0324e-01  5.0013e-01  4.9846e-01  4.8730e-01  4.6226e-01  4.3999e-01  3.9622e-01  3.1884e-01  1.9338e-01  1.1560e-01  6.9390e-02  4.4770e-02  2.8071e-02  1.8723e-02  1.2458e-02  8.3338e-03  5.3755e-03  3.4529e-03  6.8341e-04  6.2482e-05  8.4840e-06  1.4677e-06  9.7764e-07  8.0608e-07  6.0119e-07  4.0863e-07  2.4632e-07  1.4704e-07  7.9049e-08  3.8732e-08  1.2879e-08  2.4468e-09 -3.4953e-09 -6.7197e-09 -7.0878e-09 -6.2691e-09 -4.5512e-09 -3.2682e-09
