 iy/ix           1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17          18          19          20          21          22          23          24          25          26          27          28          29          30          31          32          33          34          35          36          37          38          39          40
     1  1.4317e-01  1.4286e-01  1.4392e-01  1.4398e-01  1.4422e-01  1.4407e-01  1.4427e-01  1.4460e-01  1.4551e-01  1.4791e-01  1.4596e-01  1.4701e-01  1.4628e-01  1.4707e-01  1.4806e-01  1.4660e-01  1.4769e-01  1.4637e-01  1.4726e-01  1.4609e-01  3.5322e-01  3.5212e-01  3.5219e-01  3.4846e-01  1.4427e-01  1.4537e-01  1.4554e-01  1.4522e-01  1.4581e-01  1.4731e-01  1.4697e-01  1.4646e-01  1.4592e-01  1.4623e-01  1.4742e-01  1.4666e-01  1.4770e-01  1.4882e-01  1.4977e-01  1.5669e-01
     2  1.4364e-01  1.4353e-01  1.4395e-01  1.4391e-01  1.4421e-01  1.4430e-01  1.4499e-01  1.4483e-01  1.4535e-01  1.4700e-01  1.4408e-01  1.4702e-01  1.4749e-01  1.4685e-01  1.4675e-01  1.4733e-01  1.4591e-01  1.4623e-01  1.4681e-01  1.4558e-01  3.5554e-01  3.5136e-01  3.4677e-01  3.4810e-01  1.4554e-01  1.4519e-01  1.4540e-01  1.4628e-01  1.4634e-01  1.4500e-01  1.4582e-01  1.4541e-01  1.4597e-01  1.4757e-01  1.4819e-01  1.4848e-01  1.4836e-01  1.4870e-01  1.5092e-01  1.5906e-01
     3  1.4383e-01  1.4445e-01  1.4381e-01  1.4421e-01  1.4393e-01  1.4373e-01  1.4399e-01  1.4446e-01  1.4468e-01  1.4757e-01  1.4349e-01  1.4722e-01  1.4771e-01  1.4725e-01  1.4809e-01  1.4661e-01  1.4581e-01  1.4619e-01  1.4634e-01  1.4653e-01  3.5178e-01  3.5464e-01  3.5383e-01  3.5493e-01  1.4557e-01  1.4520e-01  1.4596e-01  1.4736e-01  1.4625e-01  1.4657e-01  1.4774e-01  1.4652e-01  1.4540e-01  1.4681e-01  1.4761e-01  1.4603e-01  1.4712e-01  1.4925e-01  1.5102e-01  1.6071e-01
     4  1.4350e-01  1.4419e-01  1.4452e-01  1.4489e-01  1.4442e-01  1.4446e-01  1.4490e-01  1.4422e-01  1.4485e-01  1.4706e-01  1.4487e-01  1.4622e-01  1.4812e-01  1.4686e-01  1.4662e-01  1.4650e-01  1.4737e-01  1.4785e-01  1.4742e-01  1.4730e-01  3.5208e-01  3.4860e-01  3.5057e-01  3.4897e-01  1.4566e-01  1.4526e-01  1.4494e-01  1.4684e-01  1.4629e-01  1.4647e-01  1.4731e-01  1.4721e-01  1.4641e-01  1.4740e-01  1.4845e-01  1.4722e-01  1.4798e-01  1.4833e-01  1.5032e-01  1.5950e-01
     5  1.4401e-01  1.4383e-01  1.4442e-01  1.4476e-01  1.4473e-01  1.4496e-01  1.4395e-01  1.4470e-01  1.4481e-01  1.4718e-01  1.4386e-01  1.4631e-01  1.4739e-01  1.4696e-01  1.4696e-01  1.4616e-01  1.4782e-01  1.4778e-01  1.4702e-01  1.4727e-01  3.5265e-01  3.5201e-01  3.4892e-01  3.5468e-01  1.4616e-01  1.4618e-01  1.4548e-01  1.4571e-01  1.4577e-01  1.4635e-01  1.4652e-01  1.4739e-01  1.4675e-01  1.4709e-01  1.4575e-01  1.4680e-01  1.4803e-01  1.4766e-01  1.4890e-01  1.5925e-01
     6  1.4437e-01  1.4408e-01  1.4458e-01  1.4480e-01  1.4450e-01  1.4489e-01  1.4468e-01  1.4529e-01  1.4498e-01  1.4713e-01  1.4432e-01  1.4595e-01  1.4703e-01  1.4841e-01  1.4806e-01  1.4837e-01  1.4904e-01  1.4900e-01  1.4648e-01  1.4770e-01  3.5629e-01  3.5268e-01  3.5267e-01  3.5072e-01  1.4736e-01  1.4811e-01  1.4721e-01  1.4668e-01  1.4517e-01  1.4515e-01  1.4647e-01  1.4759e-01  1.4645e-01  1.4700e-01  1.4716e-01  1.4788e-01  1.4865e-01  1.4844e-01  1.4982e-01  1.5894e-01
     7  1.4419e-01  1.4469e-01  1.4434e-01  1.4436e-01  1.4504e-01  1.4452e-01  1.4516e-01  1.4607e-01  1.4638e-01  1.4798e-01  1.4617e-01  1.4775e-01  1.4802e-01  1.4794e-01  1.4728e-01  1.4828e-01  1.4956e-01  1.4964e-01  1.4735e-01  1.4688e-01  3.5511e-01  3.5731e-01  3.5223e-01  3.5429e-01  1.4742e-01  1.4699e-01  1.4729e-01  1.4706e-01  1.4771e-01  1.4755e-01  1.4769e-01  1.4782e-01  1.4712e-01  1.4736e-01  1.4879e-01  1.4774e-01  1.4851e-01  1.4767e-01  1.4847e-01  1.5776e-01
     8  1.4484e-01  1.4507e-01  1.4479e-01  1.4492e-01  1.4485e-01  1.4501e-01  1.4557e-01  1.4517e-01  1.4505e-01  1.4906e-01  1.4688e-01  1.5035e-01  1.4893e-01  1.4750e-01  1.4799e-01  1.4943e-01  1.4866e-01  1.4903e-01  1.4880e-01  1.4740e-01  3.5101e-01  3.4963e-01  3.5360e-01  3.5997e-01  1.4814e-01  1.4710e-01  1.4738e-01  1.4636e-01  1.4744e-01  1.4765e-01  1.4786e-01  1.4788e-01  1.4756e-01  1.4725e-01  1.4813e-01  1.4656e-01  1.4769e-01  1.4772e-01  1.4887e-01  1.5677e-01
     9  1.4618e-01  1.4583e-01  1.4576e-01  1.4564e-01  1.4535e-01  1.4500e-01  1.4507e-01  1.4603e-01  1.4766e-01  1.4945e-01  1.4684e-01  1.5086e-01  1.5084e-01  1.5055e-01  1.5064e-01  1.5105e-01  1.5091e-01  1.4907e-01  1.4857e-01  1.4790e-01  3.5467e-01  3.4971e-01  3.5413e-01  3.5583e-01  1.4587e-01  1.4748e-01  1.4712e-01  1.4616e-01  1.4703e-01  1.4705e-01  1.4639e-01  1.4662e-01  1.4719e-01  1.4821e-01  1.4743e-01  1.4577e-01  1.4686e-01  1.4717e-01  1.4949e-01  1.5841e-01
    10  1.4729e-01  1.4734e-01  1.4765e-01  1.4735e-01  1.4761e-01  1.4830e-01  1.4866e-01  1.4841e-01  1.4990e-01  1.5335e-01  1.5053e-01  1.5132e-01  1.5004e-01  1.5117e-01  1.5159e-01  1.5173e-01  1.5042e-01  1.5057e-01  1.4815e-01  1.4920e-01  3.5666e-01  3.5336e-01  3.5211e-01  3.5671e-01  1.4603e-01  1.4656e-01  1.4622e-01  1.4659e-01  1.4640e-01  1.4442e-01  1.4680e-01  1.4670e-01  1.4642e-01  1.4706e-01  1.4672e-01  1.4681e-01  1.4617e-01  1.4693e-01  1.5014e-01  1.5828e-01
