 iy/ix           1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17          18          19          20          21          22          23          24          25          26          27          28          29          30          31          32          33          34          35          36          37          38          39          40
     1  4.7475e+00  4.7536e+00  4.7141e+00  4.6503e+00  4.6008e+00  4.4828e+00  4.3066e+00  4.0336e+00  3.6295e+00  2.9698e+00  1.9010e+00  1.2463e+00  8.3987e-01  5.7641e-01  3.9628e-01  2.7090e-01  1.8657e-01  1.2963e-01  8.9881e-02  6.1997e-02  2.4203e-02  4.1080e-03  6.8383e-04  1.1591e-04  3.4833e-05  2.4009e-05  1.6724e-05  1.1614e-05  8.0655e-06  5.6150e-06  3.8960e-06  2.6902e-06  1.8561e-06  1.2791e-06  8.9465e-07  6.2081e-07  4.2675e-07  2.8911e-07  1.8938e-07  1.1131e-07
     2  4.7416e+00  4.7138e+00  4.7189e+00  4.6382e+00  4.5853e+00  4.4910e+00  4.2994e+00  4.0342e+00  3.6195e+00  2.9482e+00  1.8802e+00  1.2378e+00  8.3387e-01  5.6958e-01  3.9155e-01  2.6963e-01  1.8616e-01  1.2787e-01  8.8918e-02  6.1733e-02  2.4074e-02  4.0629e-03  6.8035e-04  1.1491e-04  3.4436e-05  2.3844e-05  1.6486e-05  1.1467e-05  8.0113e-06  5.5269e-06  3.8299e-06  2.6682e-06  1.8529e-06  1.2910e-06  8.9714e-07  6.2170e-07  4.2674e-07  2.8845e-07  1.8810e-07  1.1053e-07
     3  4.7132e+00  4.7058e+00  4.6579e+00  4.6288e+00  4.5514e+00  4.4399e+00  4.2606e+00  4.0036e+00  3.5967e+00  2.9387e+00  1.8716e+00  1.2221e+00  8.2351e-01  5.5981e-01  3.8595e-01  2.6438e-01  1.8100e-01  1.2563e-01  8.6650e-02  6.0490e-02  2.3573e-02  4.0250e-03  6.8068e-04  1.1467e-04  3.4100e-05  2.3525e-05  1.6395e-05  1.1420e-05  7.8865e-06  5.4859e-06  3.7986e-06  2.6243e-06  1.8184e-06  1.2755e-06  8.8630e-07  6.0934e-07  4.1926e-07  2.8730e-07  1.8865e-07  1.1080e-07
     4  4.6724e+00  4.6523e+00  4.6370e+00  4.5755e+00  4.5214e+00  4.3882e+00  4.2197e+00  3.9560e+00  3.5732e+00  2.9015e+00  1.8477e+00  1.2026e+00  8.0679e-01  5.5127e-01  3.7513e-01  2.5753e-01  1.7754e-01  1.2275e-01  8.4783e-02  5.8821e-02  2.2837e-02  3.8501e-03  6.5267e-04  1.1030e-04  3.3007e-05  2.2815e-05  1.5909e-05  1.1135e-05  7.7110e-06  5.3360e-06  3.6992e-06  2.5605e-06  1.7891e-06  1.2494e-06  8.6829e-07  6.0260e-07  4.1732e-07  2.8204e-07  1.8457e-07  1.0955e-07
     5  4.5846e+00  4.5757e+00  4.5504e+00  4.4916e+00  4.4281e+00  4.3225e+00  4.1590e+00  3.8913e+00  3.5055e+00  2.8638e+00  1.8104e+00  1.1720e+00  7.8390e-01  5.2785e-01  3.5989e-01  2.4669e-01  1.7062e-01  1.1760e-01  8.1094e-02  5.6356e-02  2.1826e-02  3.6834e-03  6.2342e-04  1.0625e-04  3.1670e-05  2.2154e-05  1.5304e-05  1.0654e-05  7.3758e-06  5.1372e-06  3.5690e-06  2.4945e-06  1.7392e-06  1.2112e-06  8.4096e-07  5.8785e-07  4.0809e-07  2.7565e-07  1.8150e-07  1.0845e-07
     6  4.4798e+00  4.4837e+00  4.4538e+00  4.3846e+00  4.2951e+00  4.2149e+00  4.0604e+00  3.8152e+00  3.4346e+00  2.7912e+00  1.7532e+00  1.1264e+00  7.5345e-01  5.0698e-01  3.4408e-01  2.3638e-01  1.6253e-01  1.1205e-01  7.6910e-02  5.3451e-02  2.0908e-02  3.5374e-03  5.9564e-04  9.9672e-05  3.0285e-05  2.1083e-05  1.4671e-05  1.0152e-05  7.0219e-06  4.8850e-06  3.4163e-06  2.3982e-06  1.6741e-06  1.1803e-06  8.3059e-07  5.7623e-07  4.0079e-07  2.7334e-07  1.8050e-07  1.0719e-07
     7  4.2955e+00  4.2798e+00  4.2663e+00  4.2273e+00  4.1450e+00  4.0620e+00  3.9164e+00  3.6804e+00  3.2994e+00  2.6812e+00  1.6839e+00  1.0717e+00  7.0803e-01  4.7545e-01  3.2191e-01  2.2075e-01  1.5237e-01  1.0466e-01  7.1784e-02  5.0242e-02  1.9516e-02  3.3228e-03  5.5346e-04  9.3052e-05  2.8286e-05  1.9675e-05  1.3735e-05  9.6336e-06  6.7174e-06  4.7131e-06  3.2910e-06  2.2998e-06  1.6245e-06  1.1437e-06  8.0450e-07  5.6247e-07  3.9299e-07  2.6915e-07  1.7752e-07  1.0627e-07
     8  4.0446e+00  4.0201e+00  4.0042e+00  3.9721e+00  3.8988e+00  3.8240e+00  3.6916e+00  3.4624e+00  3.1433e+00  2.5475e+00  1.5763e+00  9.8824e-01  6.5352e-01  4.3606e-01  2.9815e-01  2.0437e-01  1.3989e-01  9.7332e-02  6.7021e-02  4.6409e-02  1.7881e-02  2.9967e-03  5.0986e-04  8.6801e-05  2.6272e-05  1.8257e-05  1.2831e-05  8.9715e-06  6.3086e-06  4.4362e-06  3.1311e-06  2.2223e-06  1.5731e-06  1.1102e-06  7.8551e-07  5.5198e-07  3.8950e-07  2.6708e-07  1.7679e-07  1.0589e-07
     9  3.6522e+00  3.6409e+00  3.6216e+00  3.5906e+00  3.5153e+00  3.4456e+00  3.3044e+00  3.1312e+00  2.8444e+00  2.3082e+00  1.3994e+00  8.8434e-01  5.8153e-01  3.9176e-01  2.6739e-01  1.8378e-01  1.2738e-01  8.6714e-02  6.0240e-02  4.1783e-02  1.6207e-02  2.7131e-03  4.6216e-04  7.8131e-05  2.3799e-05  1.6782e-05  1.1818e-05  8.3033e-06  5.8646e-06  4.1878e-06  2.9632e-06  2.1158e-06  1.5196e-06  1.0921e-06  7.7445e-07  5.4797e-07  3.8745e-07  2.6849e-07  1.8009e-07  1.0724e-07
    10  2.9745e+00  2.9598e+00  2.9434e+00  2.9282e+00  2.8920e+00  2.8145e+00  2.6972e+00  2.5420e+00  2.3061e+00  1.8849e+00  1.1476e+00  7.3488e-01  4.8957e-01  3.3634e-01  2.3164e-01  1.6105e-01  1.1069e-01  7.7420e-02  5.3309e-02  3.7310e-02  1.4433e-02  2.4310e-03  4.1217e-04  7.0494e-05  2.1452e-05  1.5203e-05  1.0784e-05  7.6368e-06  5.4662e-06  3.9160e-06  2.8434e-06  2.0512e-06  1.4861e-06  1.0716e-06  7.6902e-07  5.5101e-07  3.9164e-07  2.7415e-07  1.8385e-07  1.1073e-07
    11  1.9115e+00  1.8989e+00  1.8908e+00  1.8671e+00  1.8357e+00  1.7774e+00  1.6867e+00  1.5701e+00  1.3965e+00  1.1409e+00  8.1764e-01  5.7249e-01  3.9651e-01  2.7531e-01  1.9249e-01  1.3511e-01  9.4763e-02  6.6144e-02  4.6557e-02  3.2480e-02  1.2604e-02  2.1207e-03  3.5809e-04  6.0894e-05  1.9043e-05  1.3684e-05  9.8102e-06  7.0608e-06  5.1281e-06  3.7369e-06  2.7492e-06  2.0148e-06  1.4712e-06  1.0710e-06  7.8010e-07  5.6639e-07  4.0331e-07  2.8640e-07  1.9284e-07  1.1653e-07
    12  1.2514e+00  1.2433e+00  1.2299e+00  1.2088e+00  1.1831e+00  1.1484e+00  1.0795e+00  9.9345e-01  8.8196e-01  7.2503e-01  5.6867e-01  4.2049e-01  3.0902e-01  2.2140e-01  1.5733e-01  1.1171e-01  7.8807e-02  5.5639e-02  3.9106e-02  2.7762e-02  1.0859e-02  1.8397e-03  3.1169e-04  5.3397e-05  1.6999e-05  1.2352e-05  9.0394e-06  6.6703e-06  4.9775e-06  3.6618e-06  2.7291e-06  2.0349e-06  1.5019e-06  1.1161e-06  8.1712e-07  6.0014e-07  4.3138e-07  3.0501e-07  2.0672e-07  1.2562e-07
    13  8.5283e-01  8.4425e-01  8.2859e-01  8.0930e-01  7.8803e-01  7.6367e-01  7.1268e-01  6.5323e-01  5.8306e-01  4.8835e-01  3.9390e-01  3.0489e-01  2.3002e-01  1.7106e-01  1.2533e-01  9.0727e-02  6.4979e-02  4.6737e-02  3.3216e-02  2.3295e-02  9.0550e-03  1.5298e-03  2.5871e-04  4.4545e-05  1.4894e-05  1.1230e-05  8.4468e-06  6.4591e-06  4.9592e-06  3.7818e-06  2.8591e-06  2.1532e-06  1.6116e-06  1.2032e-06  8.9299e-07  6.4991e-07  4.7281e-07  3.3299e-07  2.2749e-07  1.3674e-07
    14  5.8431e-01  5.7570e-01  5.6390e-01  5.5496e-01  5.3504e-01  5.1562e-01  4.7966e-01  4.3901e-01  3.9281e-01  3.3625e-01  2.7589e-01  2.1854e-01  1.6822e-01  1.2861e-01  9.6454e-02  7.1264e-02  5.2044e-02  3.7678e-02  2.7031e-02  1.9320e-02  7.4767e-03  1.2493e-03  2.1529e-04  3.6945e-05  1.3385e-05  1.0577e-05  8.3299e-06  6.6192e-06  5.2544e-06  4.1240e-06  3.1567e-06  2.3953e-06  1.8055e-06  1.3533e-06  9.9879e-07  7.3071e-07  5.3043e-07  3.7371e-07  2.5164e-07  1.5235e-07
    15  3.9715e-01  3.9542e-01  3.8584e-01  3.7902e-01  3.6635e-01  3.5019e-01  3.2529e-01  2.9849e-01  2.6693e-01  2.3062e-01  1.9449e-01  1.5695e-01  1.2414e-01  9.5857e-02  7.3626e-02  5.5118e-02  4.1056e-02  3.0387e-02  2.1812e-02  1.5691e-02  6.0580e-03  1.0222e-03  1.7399e-04  3.0998e-05  1.2549e-05  1.0578e-05  8.8443e-06  7.3246e-06  5.9497e-06  4.6968e-06  3.6201e-06  2.7925e-06  2.1052e-06  1.5693e-06  1.1549e-06  8.3506e-07  5.9860e-07  4.1966e-07  2.8310e-07  1.7128e-07
    16  2.7163e-01  2.7249e-01  2.6601e-01  2.5871e-01  2.5008e-01  2.3838e-01  2.2276e-01  2.0490e-01  1.8355e-01  1.5899e-01  1.3599e-01  1.1169e-01  9.0006e-02  7.0995e-02  5.5275e-02  4.2330e-02  3.1680e-02  2.3672e-02  1.7387e-02  1.2566e-02  4.8074e-03  7.9871e-04  1.3559e-04  2.5197e-05  1.2813e-05  1.1811e-05  1.0436e-05  8.8226e-06  7.2422e-06  5.6902e-06  4.3944e-06  3.3512e-06  2.5146e-06  1.8377e-06  1.3438e-06  9.6886e-07  6.9167e-07  4.7811e-07  3.1991e-07  1.9206e-07
    17  1.8753e-01  1.8718e-01  1.8394e-01  1.7824e-01  1.7246e-01  1.6272e-01  1.5305e-01  1.3990e-01  1.2598e-01  1.1079e-01  9.5341e-02  7.9230e-02  6.4928e-02  5.1479e-02  4.0874e-02  3.1908e-02  2.4164e-02  1.8288e-02  1.3572e-02  9.8381e-03  3.7834e-03  6.2875e-04  1.0742e-04  2.1592e-05  1.4864e-05  1.4917e-05  1.3696e-05  1.1650e-05  9.3128e-06  7.2347e-06  5.5746e-06  4.1601e-06  3.0360e-06  2.2147e-06  1.5868e-06  1.1337e-06  7.9170e-07  5.4464e-07  3.6243e-07  2.1631e-07
    18  1.3004e-01  1.2903e-01  1.2712e-01  1.2349e-01  1.1817e-01  1.1208e-01  1.0613e-01  9.6683e-02  8.7213e-02  7.6830e-02  6.6686e-02  5.6415e-02  4.6674e-02  3.7281e-02  2.9686e-02  2.3554e-02  1.8316e-02  1.3925e-02  1.0562e-02  7.6970e-03  2.9078e-03  4.8973e-04  8.6627e-05  2.0503e-05  2.0297e-05  2.1775e-05  1.9720e-05  1.6105e-05  1.2530e-05  9.5348e-06  7.0684e-06  5.0905e-06  3.6556e-06  2.6101e-06  1.8557e-06  1.3138e-06  9.1064e-07  6.2285e-07  4.1414e-07  2.4508e-07
    19  9.0055e-02  8.9568e-02  8.7897e-02  8.5644e-02  8.1791e-02  7.7142e-02  7.3141e-02  6.6649e-02  6.0262e-02  5.3614e-02  4.6862e-02  4.0102e-02  3.3496e-02  2.7402e-02  2.1776e-02  1.7365e-02  1.3675e-02  1.0570e-02  8.0176e-03  5.8863e-03  2.2660e-03  3.9622e-04  8.1873e-05  2.8079e-05  3.4220e-05  3.5568e-05  2.9792e-05  2.3172e-05  1.7217e-05  1.2309e-05  8.8328e-06  6.2849e-06  4.4220e-06  3.1077e-06  2.1738e-06  1.5022e-06  1.0395e-06  7.0646e-07  4.6245e-07  2.7226e-07
    20  6.1708e-02  6.1693e-02  6.0544e-02  5.9004e-02  5.6346e-02  5.3262e-02  5.0298e-02  4.6411e-02  4.1798e-02  3.7145e-02  3.2432e-02  2.8348e-02  2.3933e-02  1.9638e-02  1.5924e-02  1.2694e-02  1.0130e-02  7.8535e-03  6.0738e-03  4.4790e-03  1.7730e-03  4.2956e-04  1.6852e-04  8.9365e-05  7.6098e-05  6.3297e-05  4.6413e-05  3.2566e-05  2.2762e-05  1.5738e-05  1.0776e-05  7.5258e-06  5.1686e-06  3.5769e-06  2.4657e-06  1.7050e-06  1.1598e-06  7.8457e-07  5.0911e-07  2.9974e-07
    21  4.2431e-02  4.2612e-02  4.1957e-02  4.0866e-02  3.8636e-02  3.6805e-02  3.4453e-02  3.1911e-02  2.9045e-02  2.6049e-02  2.2809e-02  1.9952e-02  1.6852e-02  1.4222e-02  1.1565e-02  9.3204e-03  7.4418e-03  5.8104e-03  4.4708e-03  3.2984e-03  1.8485e-03  8.5913e-04  4.5118e-04  2.5997e-04  1.5498e-04  9.7755e-05  6.3606e-05  4.2249e-05  2.8384e-05  1.8985e-05  1.2815e-05  8.6976e-06  5.9260e-06  4.0566e-06  2.7834e-06  1.8840e-06  1.2734e-06  8.5713e-07  5.5826e-07  3.2813e-07
    22  2.9381e-02  2.9398e-02  2.9037e-02  2.8193e-02  2.6796e-02  2.5570e-02  2.3931e-02  2.2113e-02  2.0399e-02  1.8088e-02  1.6042e-02  1.3895e-02  1.1970e-02  1.0158e-02  8.4211e-03  6.7983e-03  5.4783e-03  4.3164e-03  3.3095e-03  2.4407e-03  1.6448e-03  9.6911e-04  5.5171e-04  3.2111e-04  1.9336e-04  1.2048e-04  7.6506e-05  4.9338e-05  3.2616e-05  2.1719e-05  1.4452e-05  9.7107e-06  6.5246e-06  4.3850e-06  2.9842e-06  2.0393e-06  1.3659e-06  9.1599e-07  5.9526e-07  3.4692e-07
    23  2.0382e-02  2.0390e-02  1.9945e-02  1.9561e-02  1.8740e-02  1.7706e-02  1.6701e-02  1.5406e-02  1.4153e-02  1.2658e-02  1.1231e-02  9.8634e-03  8.4538e-03  7.1887e-03  6.0236e-03  4.9633e-03  3.9798e-03  3.1965e-03  2.4621e-03  1.8402e-03  1.3046e-03  8.6400e-04  5.4036e-04  3.3371e-04  2.0817e-04  1.3021e-04  8.3249e-05  5.3686e-05  3.5054e-05  2.3211e-05  1.5485e-05  1.0320e-05  6.9419e-06  4.6921e-06  3.1902e-06  2.1541e-06  1.4441e-06  9.6424e-07  6.2214e-07  3.6120e-07
    24  1.4142e-02  1.4085e-02  1.3681e-02  1.3496e-02  1.2909e-02  1.2326e-02  1.1549e-02  1.0772e-02  9.8676e-03  8.8378e-03  7.8737e-03  6.8939e-03  5.9546e-03  5.1260e-03  4.3180e-03  3.5849e-03  2.9056e-03  2.3178e-03  1.8328e-03  1.4007e-03  1.0202e-03  7.1451e-04  4.7522e-04  3.1026e-04  1.9874e-04  1.2908e-04  8.3916e-05  5.4974e-05  3.6129e-05  2.3831e-05  1.5819e-05  1.0569e-05  7.1316e-06  4.7842e-06  3.2102e-06  2.1665e-06  1.4554e-06  9.7980e-07  6.3300e-07  3.6641e-07
