 iy/ix           1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17          18          19          20          21          22          23          24          25          26          27          28          29          30          31          32          33          34          35          36          37          38          39          40
     1  1.9944e-02  1.7382e-02  1.6672e-02  1.6279e-02  1.6109e-02  1.5780e-02  1.5341e-02  1.4766e-02  1.3863e-02  1.2259e-02  9.2278e-03  6.7583e-03  4.9223e-03  3.6112e-03  2.5845e-03  1.8378e-03  1.3084e-03  9.4457e-04  6.7669e-04  4.9309e-04  2.1835e-04  4.6704e-05  8.8097e-06  1.6154e-06  4.5000e-07  2.8727e-07  1.9243e-07  1.3066e-07  8.9307e-08  6.1615e-08  4.2289e-08  2.9216e-08  2.0120e-08  1.3834e-08  9.7046e-09  6.7477e-09  4.6404e-09  3.1525e-09  2.0922e-09  1.2636e-09
     2  1.7367e-02  1.5242e-02  1.4754e-02  1.4326e-02  1.4143e-02  1.3946e-02  1.3515e-02  1.3023e-02  1.2199e-02  1.0686e-02  8.0924e-03  5.9879e-03  4.3725e-03  3.1847e-03  2.2999e-03  1.6602e-03  1.1899e-03  8.4737e-04  6.0907e-04  4.4430e-04  1.9402e-04  4.0376e-05  7.5151e-06  1.3623e-06  3.9365e-07  2.6204e-07  1.7682e-07  1.2009e-07  8.3257e-08  5.6803e-08  3.9329e-08  2.7395e-08  1.9049e-08  1.3285e-08  9.2656e-09  6.3952e-09  4.3842e-09  3.0006e-09  1.9738e-09  1.1846e-09
     3  1.6659e-02  1.4716e-02  1.4153e-02  1.3938e-02  1.3658e-02  1.3459e-02  1.3083e-02  1.2595e-02  1.1778e-02  1.0333e-02  7.8499e-03  5.7446e-03  4.1824e-03  3.0210e-03  2.1851e-03  1.5617e-03  1.1131e-03  8.0039e-04  5.6860e-04  4.1451e-04  1.8362e-04  3.8847e-05  7.2755e-06  1.3102e-06  3.6173e-07  2.3977e-07  1.6459e-07  1.1398e-07  7.8269e-08  5.4025e-08  3.7524e-08  2.6060e-08  1.8039e-08  1.2647e-08  8.7765e-09  6.0783e-09  4.1787e-09  2.8632e-09  1.9103e-09  1.1436e-09
     4  1.6361e-02  1.4363e-02  1.3937e-02  1.3650e-02  1.3500e-02  1.3177e-02  1.2856e-02  1.2382e-02  1.1595e-02  1.0150e-02  7.7026e-03  5.6119e-03  4.0604e-03  2.9399e-03  2.1040e-03  1.4995e-03  1.0742e-03  7.6532e-04  5.4315e-04  3.9490e-04  1.7539e-04  3.6698e-05  6.8908e-06  1.2335e-06  3.3952e-07  2.2300e-07  1.5165e-07  1.0534e-07  7.3191e-08  5.0717e-08  3.5210e-08  2.4495e-08  1.7185e-08  1.1986e-08  8.2793e-09  5.7572e-09  4.0064e-09  2.7303e-09  1.7965e-09  1.0946e-09
     5  1.6068e-02  1.4106e-02  1.3674e-02  1.3413e-02  1.3234e-02  1.2990e-02  1.2666e-02  1.2166e-02  1.1380e-02  1.0023e-02  7.5372e-03  5.4607e-03  3.9528e-03  2.8105e-03  2.0027e-03  1.4286e-03  1.0150e-03  7.2190e-04  5.1349e-04  3.7513e-04  1.6648e-04  3.4977e-05  6.5840e-06  1.1871e-06  3.2134e-07  2.1063e-07  1.4221e-07  9.8053e-08  6.7951e-08  4.7263e-08  3.2660e-08  2.2851e-08  1.5983e-08  1.1147e-08  7.7822e-09  5.4250e-09  3.7885e-09  2.5664e-09  1.7147e-09  1.0459e-09
     6  1.5797e-02  1.3926e-02  1.3440e-02  1.3155e-02  1.2903e-02  1.2733e-02  1.2432e-02  1.1950e-02  1.1241e-02  9.8338e-03  7.3353e-03  5.3061e-03  3.8261e-03  2.7159e-03  1.9212e-03  1.3642e-03  9.6450e-04  6.8706e-04  4.8721e-04  3.5625e-04  1.5947e-04  3.3574e-05  6.2850e-06  1.1214e-06  3.0492e-07  1.9822e-07  1.3310e-07  9.0701e-08  6.2551e-08  4.3215e-08  3.0254e-08  2.1327e-08  1.4871e-08  1.0452e-08  7.3850e-09  5.1447e-09  3.5723e-09  2.4449e-09  1.6507e-09  1.0076e-09
     7  1.5359e-02  1.3516e-02  1.3090e-02  1.2861e-02  1.2598e-02  1.2439e-02  1.2089e-02  1.1611e-02  1.0881e-02  9.5219e-03  7.1463e-03  5.1126e-03  3.6398e-03  2.5738e-03  1.8227e-03  1.2924e-03  9.1735e-04  6.4892e-04  4.5423e-04  3.3350e-04  1.4895e-04  3.1815e-05  5.9112e-06  1.0536e-06  2.8579e-07  1.8409e-07  1.2361e-07  8.5361e-08  5.8842e-08  4.0859e-08  2.8471e-08  1.9823e-08  1.3997e-08  9.8174e-09  6.8973e-09  4.8420e-09  3.3934e-09  2.3374e-09  1.5648e-09  9.6785e-10
     8  1.4787e-02  1.2971e-02  1.2574e-02  1.2383e-02  1.2131e-02  1.1967e-02  1.1644e-02  1.1199e-02  1.0551e-02  9.2126e-03  6.8351e-03  4.8095e-03  3.4194e-03  2.4110e-03  1.7182e-03  1.2091e-03  8.4926e-04  6.0538e-04  4.2988e-04  3.1291e-04  1.3856e-04  2.8770e-05  5.4220e-06  9.7519e-07  2.6451e-07  1.7026e-07  1.1456e-07  7.8053e-08  5.3943e-08  3.7427e-08  2.6400e-08  1.8608e-08  1.3040e-08  9.2365e-09  6.5227e-09  4.5720e-09  3.2354e-09  2.2377e-09  1.5031e-09  9.3025e-10
     9  1.3928e-02  1.2243e-02  1.1893e-02  1.1610e-02  1.1427e-02  1.1188e-02  1.0902e-02  1.0508e-02  9.9298e-03  8.6660e-03  6.3203e-03  4.4368e-03  3.1280e-03  2.2175e-03  1.5666e-03  1.1033e-03  7.8208e-04  5.4325e-04  3.8831e-04  2.8183e-04  1.2582e-04  2.6518e-05  4.9821e-06  8.8533e-07  2.3947e-07  1.5571e-07  1.0444e-07  7.1533e-08  4.9328e-08  3.4563e-08  2.4145e-08  1.7083e-08  1.2184e-08  8.7044e-09  6.1685e-09  4.3620e-09  3.1050e-09  2.1739e-09  1.4812e-09  9.1471e-10
    10  1.2210e-02  1.0731e-02  1.0361e-02  1.0213e-02  1.0105e-02  9.8953e-03  9.5753e-03  9.2248e-03  8.6664e-03  7.5610e-03  5.4663e-03  3.8439e-03  2.7220e-03  1.9579e-03  1.3808e-03  9.8246e-04  6.9419e-04  4.9618e-04  3.5009e-04  2.5546e-04  1.1259e-04  2.3558e-05  4.4518e-06  7.9758e-07  2.1543e-07  1.3973e-07  9.4359e-08  6.4856e-08  4.5056e-08  3.1415e-08  2.2527e-08  1.6032e-08  1.1495e-08  8.2842e-09  5.9132e-09  4.2424e-09  3.0606e-09  2.1661e-09  1.4803e-09  9.2905e-10
    11  9.2613e-03  8.1834e-03  7.8898e-03  7.7754e-03  7.5982e-03  7.4413e-03  7.1468e-03  6.8355e-03  6.2643e-03  5.4144e-03  4.2145e-03  3.1483e-03  2.2874e-03  1.6414e-03  1.1822e-03  8.4090e-04  6.0265e-04  4.2910e-04  3.1019e-04  2.2578e-04  9.9714e-05  2.0496e-05  3.8474e-06  6.9024e-07  1.8856e-07  1.2448e-07  8.4497e-08  5.8267e-08  4.1123e-08  2.9305e-08  2.1158e-08  1.5308e-08  1.1126e-08  8.0875e-09  5.9076e-09  4.3183e-09  3.1161e-09  2.2466e-09  1.5592e-09  9.7659e-10
    12  6.7566e-03  6.0048e-03  5.7583e-03  5.6284e-03  5.5019e-03  5.3742e-03  5.1381e-03  4.8320e-03  4.4217e-03  3.7873e-03  3.1213e-03  2.4104e-03  1.8426e-03  1.3582e-03  9.8608e-04  7.1310e-04  5.1140e-04  3.6597e-04  2.6273e-04  1.9514e-04  8.7066e-05  1.8126e-05  3.3848e-06  6.0483e-07  1.6603e-07  1.0901e-07  7.5430e-08  5.2959e-08  3.8505e-08  2.7659e-08  2.0406e-08  1.5244e-08  1.1275e-08  8.4350e-09  6.2395e-09  4.6505e-09  3.3752e-09  2.4421e-09  1.6998e-09  1.0787e-09
    13  4.9743e-03  4.4116e-03  4.2001e-03  4.0578e-03  3.9757e-03  3.8655e-03  3.6616e-03  3.4165e-03  3.1250e-03  2.7009e-03  2.2626e-03  1.8019e-03  1.4017e-03  1.0729e-03  8.0487e-04  5.8857e-04  4.2848e-04  3.1441e-04  2.2823e-04  1.6649e-04  7.3136e-05  1.4992e-05  2.7877e-06  5.0642e-07  1.3996e-07  9.5376e-08  6.7491e-08  4.9469e-08  3.7287e-08  2.8320e-08  2.1450e-08  1.6313e-08  1.2334e-08  9.3460e-09  7.0567e-09  5.2114e-09  3.8347e-09  2.7571e-09  1.9373e-09  1.2113e-09
    14  3.6261e-03  3.1981e-03  3.0371e-03  2.9362e-03  2.8440e-03  2.7614e-03  2.5978e-03  2.4286e-03  2.2141e-03  1.9344e-03  1.6370e-03  1.3480e-03  1.0570e-03  8.2679e-04  6.2791e-04  4.7195e-04  3.4924e-04  2.5562e-04  1.8658e-04  1.4063e-04  6.1767e-05  1.2394e-05  2.3653e-06  4.1673e-07  1.2085e-07  8.5077e-08  6.3904e-08  4.9935e-08  3.9823e-08  3.1414e-08  2.4535e-08  1.8920e-08  1.4558e-08  1.1036e-08  8.2806e-09  6.1396e-09  4.5120e-09  3.2528e-09  2.2265e-09  1.4048e-09
    15  2.5886e-03  2.3105e-03  2.1788e-03  2.1027e-03  2.0220e-03  1.9609e-03  1.8451e-03  1.7138e-03  1.5623e-03  1.3762e-03  1.1860e-03  9.8758e-04  7.9873e-04  6.2839e-04  4.9255e-04  3.6918e-04  2.7916e-04  2.0853e-04  1.5387e-04  1.1591e-04  5.0293e-05  1.0240e-05  1.9045e-06  3.4812e-07  1.0696e-07  8.2076e-08  6.7372e-08  5.6755e-08  4.7136e-08  3.7878e-08  2.9908e-08  2.3318e-08  1.7954e-08  1.3596e-08  1.0122e-08  7.3851e-09  5.3721e-09  3.8115e-09  2.6231e-09  1.6452e-09
    16  1.8531e-03  1.6720e-03  1.5633e-03  1.4906e-03  1.4305e-03  1.3743e-03  1.3005e-03  1.2098e-03  1.1024e-03  9.7668e-04  8.4602e-04  7.1242e-04  5.8503e-04  4.7132e-04  3.7216e-04  2.8988e-04  2.1834e-04  1.6525e-04  1.2373e-04  9.3573e-05  4.0355e-05  8.0189e-06  1.4881e-06  2.7714e-07  1.0463e-07  9.3614e-08  8.4281e-08  7.3891e-08  6.1534e-08  4.9648e-08  3.8840e-08  3.0101e-08  2.2744e-08  1.6785e-08  1.2300e-08  8.9620e-09  6.4498e-09  4.5309e-09  3.0904e-09  1.8993e-09
    17  1.3166e-03  1.1992e-03  1.1231e-03  1.0644e-03  1.0188e-03  9.6710e-04  9.1461e-04  8.5010e-04  7.7674e-04  6.9435e-04  6.0702e-04  5.1316e-04  4.3063e-04  3.4420e-04  2.7862e-04  2.1861e-04  1.6960e-04  1.2977e-04  9.7521e-05  7.4478e-05  3.2278e-05  6.4381e-06  1.2012e-06  2.2651e-07  1.2330e-07  1.2743e-07  1.2017e-07  1.0487e-07  8.5023e-08  6.6908e-08  5.2342e-08  3.9224e-08  2.8831e-08  2.1035e-08  1.5103e-08  1.0830e-08  7.6181e-09  5.3048e-09  3.5592e-09  2.1791e-09
    18  9.4195e-04  8.4910e-04  8.0177e-04  7.5693e-04  7.1858e-04  6.8586e-04  6.4999e-04  6.0085e-04  5.4803e-04  4.8833e-04  4.2782e-04  3.6933e-04  3.1227e-04  2.5294e-04  2.0491e-04  1.6396e-04  1.2904e-04  1.0061e-04  7.7594e-05  5.8704e-05  2.5090e-05  5.0043e-06  9.4600e-07  1.9458e-07  1.8091e-07  2.0026e-07  1.8606e-07  1.5252e-07  1.2052e-07  9.2978e-08  6.9126e-08  4.9639e-08  3.5526e-08  2.5412e-08  1.8127e-08  1.2840e-08  8.9632e-09  6.1909e-09  4.1284e-09  2.4952e-09
    19  6.6706e-04  6.0761e-04  5.6773e-04  5.4226e-04  5.1281e-04  4.7982e-04  4.6043e-04  4.2345e-04  3.8395e-04  3.4771e-04  3.0686e-04  2.6586e-04  2.2556e-04  1.8834e-04  1.5119e-04  1.2223e-04  9.7239e-05  7.6568e-05  5.9947e-05  4.5889e-05  1.9640e-05  3.9737e-06  8.0725e-07  2.5083e-07  3.2376e-07  3.4466e-07  2.9099e-07  2.2757e-07  1.7108e-07  1.2280e-07  8.7841e-08  6.2333e-08  4.3755e-08  3.0724e-08  2.1621e-08  1.5032e-08  1.0351e-08  7.0907e-09  4.6825e-09  2.8158e-09
    20  4.6582e-04  4.2713e-04  4.0245e-04  3.8369e-04  3.6338e-04  3.3972e-04  3.2300e-04  3.0057e-04  2.7137e-04  2.4582e-04  2.1618e-04  1.9014e-04  1.6357e-04  1.3467e-04  1.1191e-04  9.0129e-05  7.2318e-05  5.7224e-05  4.5584e-05  3.5128e-05  1.5157e-05  3.7011e-06  1.4923e-06  8.4873e-07  7.5222e-07  6.2832e-07  4.6451e-07  3.2647e-07  2.2793e-07  1.5684e-07  1.0707e-07  7.4764e-08  5.1598e-08  3.5864e-08  2.4701e-08  1.7048e-08  1.1703e-08  7.8991e-09  5.1914e-09  3.1440e-09
