 iy/ix           1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17          18          19          20          21          22          23          24          25          26          27          28          29          30          31          32          33          34          35          36          37          38          39          40
     1  9.9486e-01  1.0000e+00  9.8348e-01  9.6719e-01  9.5702e-01  9.3344e-01  8.9711e-01  8.3529e-01  7.4469e-01  5.8914e-01  3.5294e-01  2.2888e-01  1.5544e-01  1.0625e-01  7.2392e-02  4.9978e-02  3.4288e-02  2.3947e-02  1.6530e-02  1.1532e-02  4.4836e-03  7.6306e-04  1.2723e-04  2.1712e-05  6.5270e-06  4.4784e-06  3.1110e-06  2.1614e-06  1.5002e-06  1.0317e-06  7.1497e-07  4.9572e-07  3.4416e-07  2.3764e-07  1.6458e-07  1.1426e-07  7.7456e-08  5.1538e-08  3.2405e-08  1.6013e-08
     2  9.9125e-01  9.8846e-01  9.8021e-01  9.6957e-01  9.5374e-01  9.3119e-01  8.9181e-01  8.3370e-01  7.4213e-01  5.8762e-01  3.5374e-01  2.2754e-01  1.5329e-01  1.0477e-01  7.2142e-02  4.9434e-02  3.4413e-02  2.3695e-02  1.6380e-02  1.1456e-02  4.4346e-03  7.5767e-04  1.2842e-04  2.1628e-05  6.4395e-06  4.4558e-06  3.0817e-06  2.1270e-06  1.4792e-06  1.0322e-06  7.1213e-07  4.9628e-07  3.4345e-07  2.3613e-07  1.6353e-07  1.1288e-07  7.7062e-08  5.1544e-08  3.2124e-08  1.5787e-08
     3  9.8648e-01  9.7744e-01  9.7179e-01  9.6432e-01  9.4904e-01  9.2624e-01  8.8848e-01  8.3073e-01  7.4293e-01  5.8457e-01  3.5208e-01  2.2449e-01  1.5055e-01  1.0284e-01  7.0442e-02  4.8799e-02  3.3633e-02  2.3150e-02  1.6038e-02  1.1168e-02  4.3704e-03  7.4158e-04  1.2581e-04  2.1147e-05  6.3421e-06  4.3673e-06  3.0288e-06  2.0935e-06  1.4570e-06  1.0116e-06  6.9642e-07  4.8542e-07  3.3894e-07  2.3467e-07  1.6223e-07  1.1235e-07  7.6661e-08  5.0956e-08  3.1917e-08  1.5553e-08
     4  9.7779e-01  9.6895e-01  9.6103e-01  9.4741e-01  9.4024e-01  9.1263e-01  8.7474e-01  8.2302e-01  7.3504e-01  5.7948e-01  3.4412e-01  2.2171e-01  1.4745e-01  1.0080e-01  6.9040e-02  4.7364e-02  3.2491e-02  2.2353e-02  1.5548e-02  1.0836e-02  4.2474e-03  7.2347e-04  1.2182e-04  2.0685e-05  6.1155e-06  4.2488e-06  2.9655e-06  2.0458e-06  1.4184e-06  9.8256e-07  6.7906e-07  4.7134e-07  3.3069e-07  2.2956e-07  1.5867e-07  1.1074e-07  7.5717e-08  5.0458e-08  3.1525e-08  1.5564e-08
     5  9.5675e-01  9.5321e-01  9.4574e-01  9.3174e-01  9.2031e-01  8.9742e-01  8.6675e-01  8.0819e-01  7.2289e-01  5.7230e-01  3.3879e-01  2.1593e-01  1.4358e-01  9.7274e-02  6.6014e-02  4.5463e-02  3.1155e-02  2.1532e-02  1.4938e-02  1.0368e-02  4.0545e-03  6.8551e-04  1.1692e-04  1.9579e-05  5.8732e-06  4.0941e-06  2.8484e-06  1.9730e-06  1.3689e-06  9.5089e-07  6.5959e-07  4.5736e-07  3.2062e-07  2.2360e-07  1.5655e-07  1.0803e-07  7.4192e-08  4.9880e-08  3.1352e-08  1.5473e-08
     6  9.3088e-01  9.3244e-01  9.2425e-01  9.1000e-01  8.9478e-01  8.7515e-01  8.4078e-01  7.8682e-01  7.0629e-01  5.5772e-01  3.2698e-01  2.0698e-01  1.3748e-01  9.2092e-02  6.2722e-02  4.3032e-02  2.9422e-02  2.0333e-02  1.4185e-02  9.8150e-03  3.8452e-03  6.5341e-04  1.1074e-04  1.8571e-05  5.5508e-06  3.8518e-06  2.6923e-06  1.8752e-06  1.3121e-06  9.1242e-07  6.3266e-07  4.4093e-07  3.1017e-07  2.1720e-07  1.5229e-07  1.0539e-07  7.2737e-08  4.9125e-08  3.0958e-08  1.5350e-08
     7  8.9171e-01  8.8885e-01  8.8616e-01  8.7841e-01  8.5906e-01  8.4144e-01  8.0987e-01  7.5720e-01  6.7570e-01  5.3317e-01  3.0860e-01  1.9399e-01  1.2816e-01  8.6281e-02  5.8780e-02  4.0142e-02  2.7419e-02  1.8887e-02  1.3206e-02  9.2242e-03  3.5943e-03  6.0874e-04  1.0248e-04  1.7164e-05  5.1853e-06  3.6317e-06  2.5324e-06  1.7694e-06  1.2329e-06  8.6565e-07  6.0324e-07  4.2238e-07  2.9931e-07  2.1083e-07  1.4718e-07  1.0336e-07  7.1550e-08  4.8504e-08  3.0793e-08  1.5334e-08
     8  8.3571e-01  8.3098e-01  8.2806e-01  8.2149e-01  8.0784e-01  7.9109e-01  7.6127e-01  7.1508e-01  6.4563e-01  5.0392e-01  2.8574e-01  1.7626e-01  1.1733e-01  7.9290e-02  5.3796e-02  3.6584e-02  2.5326e-02  1.7478e-02  1.2108e-02  8.5082e-03  3.3383e-03  5.6142e-04  9.4232e-05  1.5763e-05  4.7868e-06  3.3525e-06  2.3566e-06  1.6587e-06  1.1603e-06  8.1815e-07  5.7489e-07  4.0758e-07  2.8978e-07  2.0510e-07  1.4477e-07  1.0231e-07  7.1182e-08  4.8194e-08  3.0629e-08  1.5398e-08
     9  7.4456e-01  7.4441e-01  7.4168e-01  7.3565e-01  7.2485e-01  7.1024e-01  6.8177e-01  6.3965e-01  5.7390e-01  4.5365e-01  2.5136e-01  1.5549e-01  1.0305e-01  6.9572e-02  4.7550e-02  3.2606e-02  2.2535e-02  1.5694e-02  1.0912e-02  7.6496e-03  2.9912e-03  5.0699e-04  8.5220e-05  1.4375e-05  4.4080e-06  3.0791e-06  2.1780e-06  1.5381e-06  1.0853e-06  7.7309e-07  5.5158e-07  3.9416e-07  2.8174e-07  2.0099e-07  1.4317e-07  1.0233e-07  7.1349e-08  4.8776e-08  3.1028e-08  1.5518e-08
    10  5.9215e-01  5.9017e-01  5.8542e-01  5.8432e-01  5.7367e-01  5.5671e-01  5.3347e-01  5.0320e-01  4.5150e-01  3.5830e-01  2.0028e-01  1.2828e-01  8.6754e-02  5.9157e-02  4.0860e-02  2.8382e-02  1.9732e-02  1.3784e-02  9.6507e-03  6.7201e-03  2.6471e-03  4.5052e-04  7.6463e-05  1.2926e-05  3.9835e-06  2.8137e-06  2.0086e-06  1.4235e-06  1.0221e-06  7.4083e-07  5.3175e-07  3.8397e-07  2.7770e-07  1.9986e-07  1.4360e-07  1.0275e-07  7.2500e-08  4.9872e-08  3.1838e-08  1.5972e-08
