 iy/ix           1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17          18          19          20          21          22          23          24          25          26          27          28          29          30          31          32          33          34          35          36          37          38          39          40
     1  2.3627e+02  3.0842e+02  3.2902e+02  3.3652e+02  3.3516e+02  3.3047e+02  3.1866e+02  3.0466e+02  2.8419e+02  2.4866e+02  1.9993e+02  1.7512e+02  1.6166e+02  1.4998e+02  1.4219e+02  1.3437e+02  1.2847e+02  1.2346e+02  1.1653e+02  1.0699e+02  9.0335e+01  5.8633e+01  4.6744e+01  4.0922e+01  4.6102e+01  5.3334e+01  5.7061e+01  5.9233e+01  6.1081e+01  6.2405e+01  6.3008e+01  6.3283e+01  6.3562e+01  6.3925e+01  6.3197e+01  6.3513e+01  6.3660e+01  6.2956e+01  6.2334e+01  6.1310e+01
     2  3.0740e+02  3.9261e+02  4.1966e+02  4.3085e+02  4.2835e+02  4.2389e+02  4.1280e+02  3.9169e+02  3.6526e+02  3.2199e+02  2.5343e+02  2.2204e+02  2.0176e+02  1.8621e+02  1.7447e+02  1.6269e+02  1.5489e+02  1.4768e+02  1.4046e+02  1.3074e+02  1.1019e+02  7.5093e+01  6.1820e+01  5.4469e+01  5.8341e+01  6.3633e+01  6.6323e+01  6.8457e+01  6.9333e+01  7.0404e+01  7.0994e+01  7.1325e+01  7.1687e+01  7.1403e+01  7.1339e+01  7.1413e+01  7.0787e+01  7.0316e+01  6.9641e+01  6.8224e+01
     3  3.3029e+02  4.2072e+02  4.4359e+02  4.5503e+02  4.5298e+02  4.4456e+02  4.3426e+02  4.1281e+02  3.8651e+02  3.3989e+02  2.6831e+02  2.3597e+02  2.1687e+02  2.0129e+02  1.8926e+02  1.7922e+02  1.6846e+02  1.6095e+02  1.5288e+02  1.4049e+02  1.1662e+02  7.8876e+01  6.4620e+01  5.7667e+01  6.5750e+01  7.1803e+01  7.4554e+01  7.5885e+01  7.6826e+01  7.6719e+01  7.7233e+01  7.7288e+01  7.7224e+01  7.6805e+01  7.6521e+01  7.6399e+01  7.6236e+01  7.4577e+01  7.4777e+01  7.2980e+01
     4  3.3604e+02  4.3015e+02  4.5178e+02  4.5866e+02  4.5856e+02  4.5111e+02  4.4116e+02  4.1876e+02  3.9175e+02  3.4769e+02  2.7390e+02  2.4145e+02  2.2245e+02  2.0845e+02  1.9515e+02  1.8423e+02  1.7590e+02  1.6754e+02  1.5991e+02  1.4705e+02  1.2205e+02  8.0941e+01  6.6833e+01  5.9264e+01  6.8931e+01  7.7182e+01  8.1678e+01  8.2727e+01  8.2858e+01  8.3449e+01  8.2726e+01  8.2886e+01  8.2621e+01  8.2155e+01  8.2059e+01  8.1140e+01  8.1580e+01  8.0628e+01  7.9230e+01  7.6764e+01
     5  3.3455e+02  4.2961e+02  4.5063e+02  4.5567e+02  4.5728e+02  4.5025e+02  4.3845e+02  4.2105e+02  3.9261e+02  3.4823e+02  2.7142e+02  2.4278e+02  2.2302e+02  2.0799e+02  1.9495e+02  1.8744e+02  1.7888e+02  1.7075e+02  1.6267e+02  1.5065e+02  1.2318e+02  8.1501e+01  6.7623e+01  6.0492e+01  7.1143e+01  8.1966e+01  8.5991e+01  8.7821e+01  8.7587e+01  8.7732e+01  8.7633e+01  8.7647e+01  8.7561e+01  8.6835e+01  8.6759e+01  8.7504e+01  8.7039e+01  8.5634e+01  8.3804e+01  8.2191e+01
     6  3.2968e+02  4.2243e+02  4.4748e+02  4.5099e+02  4.5156e+02  4.4380e+02  4.3120e+02  4.1559e+02  3.8790e+02  3.4165e+02  2.7007e+02  2.3719e+02  2.1808e+02  2.0505e+02  1.9446e+02  1.8468e+02  1.7778e+02  1.7078e+02  1.6411e+02  1.5221e+02  1.2345e+02  8.2639e+01  6.7844e+01  6.0922e+01  7.2733e+01  8.3678e+01  8.8458e+01  9.0655e+01  9.1896e+01  9.2377e+01  9.2809e+01  9.2432e+01  9.3429e+01  9.2940e+01  9.2984e+01  9.2927e+01  9.2384e+01  9.0878e+01  8.9809e+01  8.7613e+01
     7  3.2085e+02  4.0968e+02  4.3322e+02  4.3931e+02  4.3846e+02  4.3153e+02  4.2318e+02  4.0885e+02  3.7858e+02  3.3624e+02  2.6264e+02  2.3239e+02  2.1497e+02  2.0032e+02  1.9108e+02  1.8376e+02  1.7720e+02  1.6989e+02  1.6354e+02  1.5016e+02  1.2320e+02  8.1690e+01  6.7387e+01  6.0555e+01  7.2774e+01  8.4681e+01  9.0666e+01  9.3291e+01  9.5179e+01  9.6471e+01  9.6949e+01  9.7749e+01  9.8644e+01  9.9391e+01  9.8695e+01  9.9014e+01  9.8623e+01  9.7589e+01  9.5569e+01  9.3227e+01
     8  3.0573e+02  3.9258e+02  4.1650e+02  4.2112e+02  4.2057e+02  4.1681e+02  4.0668e+02  3.9015e+02  3.6656e+02  3.2411e+02  2.5371e+02  2.2290e+02  2.0727e+02  1.9457e+02  1.8645e+02  1.8015e+02  1.7385e+02  1.6749e+02  1.6022e+02  1.4960e+02  1.2088e+02  7.9972e+01  6.6436e+01  5.9920e+01  7.2567e+01  8.4833e+01  9.1046e+01  9.5486e+01  9.7864e+01  9.9644e+01  1.0139e+02  1.0320e+02  1.0378e+02  1.0489e+02  1.0562e+02  1.0512e+02  1.0541e+02  1.0448e+02  1.0288e+02  9.9251e+01
     9  2.8509e+02  3.6633e+02  3.8522e+02  3.9185e+02  3.9226e+02  3.8952e+02  3.7970e+02  3.6589e+02  3.4446e+02  3.0507e+02  2.3543e+02  2.1072e+02  1.9673e+02  1.8684e+02  1.8007e+02  1.7273e+02  1.7002e+02  1.6355e+02  1.5876e+02  1.4599e+02  1.2010e+02  8.0150e+01  6.6442e+01  5.9918e+01  7.3181e+01  8.5881e+01  9.3590e+01  9.8192e+01  1.0153e+02  1.0445e+02  1.0686e+02  1.0979e+02  1.1008e+02  1.1211e+02  1.1233e+02  1.1258e+02  1.1273e+02  1.1168e+02  1.0870e+02  1.0368e+02
    10  2.5084e+02  3.2046e+02  3.4006e+02  3.4716e+02  3.4617e+02  3.4277e+02  3.3577e+02  3.2317e+02  3.0370e+02  2.6778e+02  2.1218e+02  1.9675e+02  1.8609e+02  1.7800e+02  1.7110e+02  1.6699e+02  1.6312e+02  1.5806e+02  1.5346e+02  1.4324e+02  1.1674e+02  7.8562e+01  6.5585e+01  5.9104e+01  7.3855e+01  8.6572e+01  9.4732e+01  1.0067e+02  1.0577e+02  1.0979e+02  1.1141e+02  1.1484e+02  1.1645e+02  1.1794e+02  1.1849e+02  1.1798e+02  1.1692e+02  1.1544e+02  1.1158e+02  1.0675e+02
    11  1.9797e+02  2.5268e+02  2.6832e+02  2.7493e+02  2.7435e+02  2.6833e+02  2.6284e+02  2.5196e+02  2.3594e+02  2.1256e+02  1.9214e+02  1.8194e+02  1.7556e+02  1.7121e+02  1.6540e+02  1.6142e+02  1.5909e+02  1.5394e+02  1.4935e+02  1.3901e+02  1.1397e+02  7.6710e+01  6.4289e+01  5.8326e+01  7.3886e+01  8.7673e+01  9.6335e+01  1.0507e+02  1.1082e+02  1.1486e+02  1.1839e+02  1.2105e+02  1.2139e+02  1.2239e+02  1.2162e+02  1.2019e+02  1.1852e+02  1.1509e+02  1.1098e+02  1.0617e+02
    12  1.7444e+02  2.2094e+02  2.3719e+02  2.4187e+02  2.4369e+02  2.3843e+02  2.3204e+02  2.2354e+02  2.0972e+02  1.9555e+02  1.8218e+02  1.7450e+02  1.6717e+02  1.6433e+02  1.6031e+02  1.5455e+02  1.5250e+02  1.4963e+02  1.4555e+02  1.3453e+02  1.1072e+02  7.5871e+01  6.3739e+01  5.7881e+01  7.5589e+01  9.1844e+01  1.0248e+02  1.1064e+02  1.1775e+02  1.2190e+02  1.2403e+02  1.2463e+02  1.2428e+02  1.2176e+02  1.1947e+02  1.1697e+02  1.1462e+02  1.1137e+02  1.0687e+02  1.0175e+02
    13  1.6021e+02  2.0225e+02  2.1614e+02  2.2056e+02  2.2208e+02  2.1967e+02  2.1601e+02  2.0585e+02  1.9667e+02  1.8705e+02  1.7520e+02  1.6804e+02  1.6229e+02  1.5832e+02  1.5314e+02  1.5135e+02  1.4985e+02  1.4602e+02  1.4107e+02  1.3133e+02  1.0783e+02  7.4582e+01  6.2675e+01  5.7679e+01  7.9115e+01  9.8599e+01  1.1115e+02  1.1806e+02  1.2220e+02  1.2481e+02  1.2192e+02  1.2016e+02  1.1896e+02  1.1592e+02  1.1320e+02  1.0972e+02  1.0727e+02  1.0408e+02  1.0032e+02  9.5598e+01
    14  1.4999e+02  1.8781e+02  2.0178e+02  2.0723e+02  2.0827e+02  2.0620e+02  2.0151e+02  1.9580e+02  1.8711e+02  1.7779e+02  1.6989e+02  1.6258e+02  1.5914e+02  1.5376e+02  1.5014e+02  1.4824e+02  1.4493e+02  1.4253e+02  1.3768e+02  1.2898e+02  1.0627e+02  7.4385e+01  6.2365e+01  5.8456e+01  8.5799e+01  1.0682e+02  1.1728e+02  1.2191e+02  1.2183e+02  1.1787e+02  1.1368e+02  1.1101e+02  1.0781e+02  1.0542e+02  1.0376e+02  1.0045e+02  9.8789e+01  9.6262e+01  9.3214e+01  8.8990e+01
