 iy/ix           1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17          18          19          20          21          22          23          24          25          26          27          28          29          30          31          32          33          34          35          36          37          38          39          40
     1  3.0416e-03  1.4178e-02  2.5221e-02  4.0201e-02  7.1907e-02  1.0369e-01  1.5891e-01  2.3579e-01  3.4184e-01  4.9746e-01  5.0298e-01  3.4613e-01  2.4058e-01  1.6694e-01  1.1586e-01  7.9345e-02  5.4927e-02  3.7902e-02  2.6057e-02  1.7872e-02  6.9191e-03  1.1708e-03  1.9677e-04  3.3439e-05  1.0221e-05  7.1087e-06  4.9161e-06  3.4032e-06  2.3739e-06  1.6390e-06  1.1439e-06  7.9287e-07  5.4731e-07  3.7933e-07  2.6445e-07  1.8397e-07  1.2925e-07  9.1745e-08  6.7252e-08  5.1972e-08
     2  2.9312e-03  1.7903e-02  3.2559e-02  5.2985e-02  7.7228e-02  1.1161e-01  1.5391e-01  2.3512e-01  3.4434e-01  5.0295e-01  5.0166e-01  3.4369e-01  2.3806e-01  1.6425e-01  1.1236e-01  7.7874e-02  5.4167e-02  3.7649e-02  2.6122e-02  1.7940e-02  6.9041e-03  1.1596e-03  1.9641e-04  3.3537e-05  1.0296e-05  7.1022e-06  4.9422e-06  3.3958e-06  2.3567e-06  1.6403e-06  1.1251e-06  7.7743e-07  5.4097e-07  3.7616e-07  2.5977e-07  1.8210e-07  1.2782e-07  9.2423e-08  6.7524e-08  5.1621e-08
     3  3.7545e-03  1.0077e-02  2.7323e-02  5.5128e-02  8.4379e-02  1.1266e-01  1.6437e-01  2.3412e-01  3.3727e-01  5.0564e-01  5.0113e-01  3.4055e-01  2.3288e-01  1.6038e-01  1.1174e-01  7.7960e-02  5.3451e-02  3.6838e-02  2.5644e-02  1.7765e-02  6.7355e-03  1.1341e-03  1.9341e-04  3.2264e-05  9.8749e-06  6.9029e-06  4.8042e-06  3.3547e-06  2.3081e-06  1.5931e-06  1.1069e-06  7.6902e-07  5.3585e-07  3.7107e-07  2.5864e-07  1.8153e-07  1.2697e-07  8.9402e-08  6.6029e-08  5.1288e-08
     4  8.7990e-03  1.1578e-02  2.6090e-02  3.7833e-02  6.4072e-02  1.1462e-01  1.5749e-01  2.3118e-01  3.4308e-01  4.9503e-01  4.9829e-01  3.3616e-01  2.2886e-01  1.5821e-01  1.0849e-01  7.5087e-02  5.2068e-02  3.5848e-02  2.4627e-02  1.6967e-02  6.5707e-03  1.1122e-03  1.8621e-04  3.1778e-05  9.7462e-06  6.7394e-06  4.6698e-06  3.2139e-06  2.2218e-06  1.5401e-06  1.0706e-06  7.4594e-07  5.1860e-07  3.6010e-07  2.5057e-07  1.7483e-07  1.2382e-07  9.0544e-08  6.5711e-08  5.0602e-08
     5  1.0767e-02  2.1303e-02  3.0885e-02  3.9914e-02  5.9454e-02  1.0152e-01  1.5648e-01  2.2011e-01  3.3101e-01  4.9252e-01  4.9124e-01  3.3086e-01  2.2461e-01  1.5412e-01  1.0504e-01  7.2098e-02  4.9751e-02  3.4217e-02  2.3407e-02  1.6217e-02  6.2771e-03  1.0574e-03  1.7928e-04  3.0407e-05  9.2640e-06  6.4304e-06  4.4823e-06  3.1052e-06  2.1498e-06  1.4915e-06  1.0330e-06  7.2308e-07  4.9894e-07  3.5039e-07  2.4788e-07  1.7373e-07  1.2283e-07  8.6699e-08  6.4308e-08  4.9678e-08
     6 -1.1045e-03  8.9020e-03  1.9152e-02  3.6727e-02  6.2658e-02  9.1359e-02  1.4665e-01  2.2293e-01  3.2103e-01  4.8019e-01  4.8145e-01  3.2200e-01  2.1889e-01  1.4700e-01  1.0108e-01  6.9449e-02  4.7818e-02  3.2812e-02  2.2653e-02  1.5394e-02  5.9416e-03  1.0104e-03  1.6820e-04  2.8486e-05  8.7581e-06  6.1536e-06  4.2574e-06  2.9781e-06  2.0536e-06  1.4293e-06  9.8630e-07  6.8620e-07  4.7930e-07  3.3732e-07  2.3737e-07  1.6694e-07  1.1784e-07  8.5139e-08  6.2809e-08  4.8943e-08
     7 -1.0126e-03  1.0797e-02  2.8174e-02  3.7534e-02  6.4028e-02  9.6334e-02  1.4296e-01  2.0842e-01  3.1354e-01  4.6214e-01  4.6180e-01  3.0936e-01  2.0666e-01  1.3998e-01  9.5682e-02  6.5438e-02  4.4534e-02  3.0575e-02  2.1064e-02  1.4519e-02  5.5573e-03  9.3161e-04  1.5888e-04  2.6733e-05  8.1826e-06  5.6542e-06  3.9078e-06  2.7310e-06  1.9146e-06  1.3448e-06  9.4313e-07  6.5078e-07  4.5623e-07  3.2015e-07  2.2501e-07  1.5976e-07  1.1365e-07  8.2046e-08  6.1197e-08  4.7923e-08
     8  3.3160e-03  1.2764e-02  1.8138e-02  3.7791e-02  6.3132e-02  8.7737e-02  1.3530e-01  2.0081e-01  2.9680e-01  4.4173e-01  4.4166e-01  2.8641e-01  1.8990e-01  1.2821e-01  8.6917e-02  5.9318e-02  4.0968e-02  2.8189e-02  1.9355e-02  1.3359e-02  5.1709e-03  8.6734e-04  1.4673e-04  2.4693e-05  7.5912e-06  5.2510e-06  3.6510e-06  2.5255e-06  1.7681e-06  1.2323e-06  8.5831e-07  6.0814e-07  4.3162e-07  3.0373e-07  2.1463e-07  1.5486e-07  1.1198e-07  8.1575e-08  6.1370e-08  4.8664e-08
     9  5.5300e-03  1.5562e-02  2.3904e-02  3.9596e-02  5.2451e-02  7.7443e-02  1.1993e-01  1.7226e-01  2.5740e-01  4.0411e-01  4.0102e-01  2.5719e-01  1.6977e-01  1.1399e-01  7.7183e-02  5.2373e-02  3.5838e-02  2.4691e-02  1.7276e-02  1.1888e-02  4.6522e-03  7.8253e-04  1.3208e-04  2.2190e-05  6.7944e-06  4.7535e-06  3.3100e-06  2.3064e-06  1.6322e-06  1.1271e-06  8.0125e-07  5.6591e-07  4.0268e-07  2.8593e-07  2.0594e-07  1.4881e-07  1.0891e-07  8.1395e-08  6.1043e-08  4.8134e-08
    10  1.5024e-03  1.4304e-02  2.5697e-02  3.2538e-02  4.6197e-02  7.0087e-02  1.0061e-01  1.4036e-01  2.0858e-01  3.1801e-01  3.1832e-01  2.0600e-01  1.3763e-01  9.4120e-02  6.5286e-02  4.5393e-02  3.1352e-02  2.1890e-02  1.5102e-02  1.0464e-02  4.0635e-03  6.9256e-04  1.1716e-04  1.9763e-05  5.8892e-06  4.1157e-06  2.8965e-06  2.0553e-06  1.4467e-06  1.0365e-06  7.4138e-07  5.3151e-07  3.8170e-07  2.7611e-07  2.0144e-07  1.4596e-07  1.0802e-07  8.0677e-08  6.1683e-08  4.9214e-08
