 iy/ix           1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17          18          19          20          21          22          23          24          25          26          27          28          29          30          31          32          33          34          35          36          37          38          39          40
     1  7.6783e-03  1.2493e-02  8.8998e-03 -3.2210e-03  5.6979e-03  2.4887e-03  4.6346e-03  1.1493e-02  6.5904e-03  1.2652e-03  1.9311e-03  4.3431e-04  1.4296e-03  9.4175e-04  1.9527e-03  1.2542e-03  5.9820e-04  4.8604e-04  3.7800e-04  1.5148e-04 -3.7700e-06  2.3858e-06 -1.1109e-06 -6.3055e-09  5.8021e-08  8.8238e-08  4.8845e-08  3.0985e-08  2.3783e-08  2.1217e-08  3.6711e-09  7.3640e-09  5.3673e-09  5.1506e-09  2.6112e-09  1.1283e-09  7.9587e-10  8.6292e-10  6.4566e-12  2.1309e-10
     2  2.0063e-02  2.2382e-02  1.2552e-02  2.1150e-02  1.2008e-02  1.5300e-02  1.2982e-02  1.3750e-02  1.8852e-02  9.7332e-03  7.1252e-03  3.3437e-03  4.9405e-03  4.7823e-03  4.0553e-03  3.0861e-03  1.2546e-03  1.2329e-03  1.0266e-03  4.9872e-04  1.4758e-04  2.2747e-06  1.2698e-06 -1.0439e-08  2.4382e-07  2.1728e-07  1.5065e-07  1.1021e-07  6.2779e-08  4.6346e-08  4.1234e-08  2.2439e-08  1.5965e-08  1.1226e-08  6.2244e-09  4.0870e-09  2.3077e-09  1.2658e-09  6.8902e-10  8.0689e-10
     3  4.2084e-02  2.8610e-02  2.6814e-02  2.7072e-02  2.8131e-02  3.7884e-02  2.2934e-02  1.7101e-02  2.5864e-02  2.0906e-02  1.1967e-02  1.1484e-02  8.8302e-03  8.4357e-03  7.0769e-03  4.0413e-03  2.9259e-03  2.1393e-03  1.6144e-03  1.1764e-03  2.0606e-04  1.4843e-05  2.6593e-06  5.9986e-07  4.0025e-07  3.7128e-07  2.8304e-07  1.7875e-07  1.2331e-07  8.8563e-08  6.6464e-08  3.8991e-08  2.7432e-08  2.0187e-08  1.0013e-08  6.3777e-09  3.9139e-09  1.7720e-09  1.2645e-09  8.9425e-10
     4  6.1379e-02  4.7658e-02  4.0012e-02  5.3439e-02  4.2146e-02  5.6039e-02  3.9864e-02  3.6533e-02  3.3075e-02  2.6274e-02  2.2394e-02  1.8966e-02  1.3943e-02  1.0890e-02  9.1471e-03  6.3090e-03  4.4922e-03  3.0455e-03  2.1739e-03  1.6880e-03  3.2213e-04  2.1803e-05  3.6502e-06  7.9822e-07  4.9850e-07  4.5527e-07  3.8429e-07  2.5625e-07  1.5367e-07  1.2264e-07  8.5111e-08  5.9975e-08  3.4909e-08  2.3724e-08  1.4885e-08  9.5934e-09  4.4562e-09  2.8549e-09  1.8810e-09  8.5247e-10
     5  7.6434e-02  7.9979e-02  7.2080e-02  8.3215e-02  6.2960e-02  6.7159e-02  7.1292e-02  4.8277e-02  5.6504e-02  3.2820e-02  3.6332e-02  2.6025e-02  2.1155e-02  1.6670e-02  1.1736e-02  7.8697e-03  6.1844e-03  4.1049e-03  2.7405e-03  2.0510e-03  3.7760e-04  2.8647e-05  4.4700e-06  8.9194e-07  6.8030e-07  5.9247e-07  4.6852e-07  3.3006e-07  2.1392e-07  1.4049e-07  9.7346e-08  6.5583e-08  4.4764e-08  2.6423e-08  1.6991e-08  9.7881e-09  5.6889e-09  3.2222e-09  2.0282e-09  1.1997e-09
     6  1.0829e-01  1.1621e-01  1.1352e-01  1.1877e-01  9.9211e-02  9.6668e-02  9.8970e-02  8.4028e-02  6.8614e-02  5.8263e-02  5.2464e-02  3.9045e-02  2.8602e-02  2.2090e-02  1.5701e-02  1.0214e-02  7.5163e-03  5.3165e-03  3.4862e-03  2.3502e-03  4.2155e-04  4.0481e-05  5.1015e-06  1.0836e-06  7.2165e-07  7.1872e-07  5.2371e-07  3.9752e-07  2.6679e-07  1.7757e-07  1.0878e-07  7.4178e-08  4.4194e-08  2.7350e-08  1.7872e-08  9.8609e-09  6.3523e-09  3.5925e-09  1.6996e-09  8.3034e-10
     7  1.6443e-01  1.5942e-01  1.6114e-01  1.5900e-01  1.5941e-01  1.4430e-01  1.4119e-01  1.2757e-01  1.0831e-01  8.9724e-02  7.3187e-02  5.4174e-02  4.0294e-02  2.8090e-02  1.8807e-02  1.2969e-02  9.0329e-03  6.1364e-03  4.1726e-03  2.8145e-03  5.1456e-04  4.8258e-05  6.8460e-06  1.0269e-06  8.5856e-07  7.8984e-07  5.8198e-07  4.1711e-07  2.8699e-07  1.8905e-07  1.2699e-07  7.5481e-08  4.4759e-08  2.8005e-08  1.6613e-08  9.2082e-09  5.6014e-09  2.1931e-09  1.0167e-09  3.0917e-10
     8  2.4257e-01  2.3134e-01  2.3755e-01  2.3276e-01  2.2424e-01  2.1782e-01  2.0958e-01  1.9050e-01  1.7442e-01  1.3374e-01  1.0503e-01  7.2287e-02  5.0393e-02  3.4393e-02  2.3177e-02  1.5243e-02  1.0465e-02  7.1577e-03  4.7579e-03  3.1523e-03  5.8115e-04  4.9439e-05  7.3723e-06  1.2808e-06  1.0242e-06  8.8504e-07  6.5472e-07  4.3682e-07  2.9071e-07  1.9182e-07  1.2396e-07  7.4117e-08  4.3238e-08  2.2963e-08  1.3629e-08  6.8773e-09  3.6300e-09  1.6266e-10 -7.1479e-10 -5.4670e-10
     9  3.4706e-01  3.4206e-01  3.3661e-01  3.3472e-01  3.3673e-01  3.3100e-01  3.0384e-01  2.8869e-01  2.5727e-01  2.0497e-01  1.4581e-01  9.5854e-02  6.2209e-02  3.9879e-02  2.6307e-02  1.7342e-02  1.1533e-02  7.7844e-03  5.1861e-03  3.3123e-03  6.8843e-04  5.5970e-05  9.4924e-06  1.4510e-06  1.0794e-06  9.3078e-07  6.8654e-07  4.2541e-07  2.9741e-07  1.8844e-07  1.0663e-07  5.9834e-08  3.2614e-08  1.4641e-08  5.2778e-09  4.7941e-10 -1.2012e-09 -1.8901e-09 -2.6494e-09 -1.8939e-09
    10  5.0385e-01  5.0188e-01  5.0178e-01  4.9832e-01  4.9953e-01  4.8138e-01  4.6001e-01  4.4204e-01  3.9505e-01  3.1859e-01  1.9383e-01  1.1307e-01  6.9805e-02  4.4296e-02  2.8663e-02  1.8801e-02  1.2353e-02  8.0686e-03  5.4308e-03  3.5070e-03  6.8503e-04  6.2229e-05  8.2312e-06  1.5592e-06  1.0326e-06  9.1126e-07  6.5218e-07  4.1869e-07  2.5748e-07  1.5614e-07  8.1016e-08  3.8985e-08  1.1550e-08  2.6600e-09 -5.1925e-09 -7.4677e-09 -7.7463e-09 -6.2373e-09 -4.5261e-09 -3.4090e-09
    11  5.0429e-01  4.9601e-01  5.0236e-01  5.0007e-01  4.9475e-01  4.8139e-01  4.6423e-01  4.3827e-01  3.9407e-01  3.1657e-01  1.9224e-01  1.1260e-01  7.0678e-02  4.3727e-02  2.8500e-02  1.9071e-02  1.2443e-02  8.0691e-03  5.4022e-03  3.5052e-03  6.9449e-04  6.0745e-05  9.6709e-06  1.5428e-06  1.0045e-06  8.6842e-07  5.6572e-07  3.2439e-07  1.8094e-07  9.4975e-08  2.8727e-08  1.6662e-09 -1.5606e-08 -2.0318e-08 -2.0614e-08 -1.9355e-08 -1.5047e-08 -1.1640e-08 -7.8010e-09 -5.4298e-09
    12  3.4128e-01  3.4198e-01  3.4548e-01  3.3788e-01  3.3333e-01  3.2414e-01  3.0806e-01  2.8581e-01  2.5130e-01  2.0440e-01  1.4574e-01  9.5519e-02  6.2766e-02  4.0717e-02  2.6339e-02  1.7693e-02  1.1986e-02  7.8575e-03  5.1618e-03  3.3755e-03  6.5348e-04  5.9775e-05  9.2248e-06  1.4218e-06  8.9024e-07  7.0713e-07  4.3561e-07  2.0619e-07  8.2298e-08 -8.4000e-09 -4.9045e-08 -5.5077e-08 -5.6925e-08 -5.2630e-08 -4.1266e-08 -3.1909e-08 -2.4768e-08 -1.7520e-08 -1.1948e-08 -7.7132e-09
    13  2.3680e-01  2.3601e-01  2.3669e-01  2.3086e-01  2.2631e-01  2.1841e-01  2.0782e-01  1.9044e-01  1.6531e-01  1.3773e-01  1.0589e-01  7.5204e-02  5.0940e-02  3.4928e-02  2.3636e-02  1.5904e-02  1.0640e-02  7.2133e-03  4.8479e-03  3.1953e-03  5.9009e-04  5.0877e-05  7.4271e-06  1.2877e-06  6.4003e-07  4.4308e-07  2.0726e-07  4.9850e-09 -9.4263e-08 -1.3883e-07 -1.5267e-07 -1.2695e-07 -1.1299e-07 -9.0895e-08 -6.4288e-08 -4.9764e-08 -3.5897e-08 -2.4282e-08 -1.6535e-08 -1.0954e-08
