 iy/ix           1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17          18          19          20          21          22          23          24          25          26          27          28          29          30          31          32          33          34          35          36          37          38          39          40
     1  1.4409e-01  1.4344e-01  1.4433e-01  1.4426e-01  1.4427e-01  1.4392e-01  1.4398e-01  1.4441e-01  1.4507e-01  1.4584e-01  1.4167e-01  1.4146e-01  1.4189e-01  1.4199e-01  1.4227e-01  1.4163e-01  1.4229e-01  1.4185e-01  1.4209e-01  1.4173e-01  3.2738e-01  3.2720e-01  3.2994e-01  3.2794e-01  1.4144e-01  1.4269e-01  1.4220e-01  1.4166e-01  1.4087e-01  1.4170e-01  1.4175e-01  1.4214e-01  1.4218e-01  1.4172e-01  1.4115e-01  1.4074e-01  1.4169e-01  1.4209e-01  1.4115e-01  1.4146e-01
     2  1.4370e-01  1.4429e-01  1.4396e-01  1.4398e-01  1.4441e-01  1.4394e-01  1.4463e-01  1.4411e-01  1.4480e-01  1.4553e-01  1.4127e-01  1.4204e-01  1.4215e-01  1.4218e-01  1.4198e-01  1.4210e-01  1.4093e-01  1.4166e-01  1.4197e-01  1.4130e-01  3.2808e-01  3.2605e-01  3.2694e-01  3.2758e-01  1.4218e-01  1.4175e-01  1.4197e-01  1.4281e-01  1.4240e-01  1.4204e-01  1.4224e-01  1.4108e-01  1.4076e-01  1.4183e-01  1.4129e-01  1.4087e-01  1.4172e-01  1.4196e-01  1.4273e-01  1.4266e-01
     3  1.4420e-01  1.4401e-01  1.4396e-01  1.4450e-01  1.4414e-01  1.4394e-01  1.4458e-01  1.4465e-01  1.4470e-01  1.4547e-01  1.4100e-01  1.4238e-01  1.4212e-01  1.4298e-01  1.4247e-01  1.4184e-01  1.4179e-01  1.4147e-01  1.4295e-01  1.4323e-01  3.2788e-01  3.2807e-01  3.2674e-01  3.2546e-01  1.4070e-01  1.4153e-01  1.4192e-01  1.4203e-01  1.4164e-01  1.4126e-01  1.4191e-01  1.4170e-01  1.4042e-01  1.4101e-01  1.4094e-01  1.4052e-01  1.4092e-01  1.4177e-01  1.4226e-01  1.4436e-01
     4  1.4393e-01  1.4436e-01  1.4403e-01  1.4425e-01  1.4410e-01  1.4421e-01  1.4485e-01  1.4437e-01  1.4451e-01  1.4595e-01  1.4198e-01  1.4163e-01  1.4157e-01  1.4165e-01  1.4140e-01  1.4227e-01  1.4215e-01  1.4298e-01  1.4224e-01  1.4171e-01  3.2764e-01  3.2664e-01  3.2573e-01  3.2535e-01  1.4203e-01  1.4117e-01  1.4089e-01  1.4171e-01  1.4172e-01  1.4104e-01  1.4188e-01  1.4196e-01  1.4168e-01  1.4193e-01  1.4255e-01  1.4089e-01  1.4133e-01  1.4224e-01  1.4266e-01  1.4291e-01
     5  1.4416e-01  1.4373e-01  1.4381e-01  1.4424e-01  1.4423e-01  1.4483e-01  1.4412e-01  1.4465e-01  1.4492e-01  1.4602e-01  1.4106e-01  1.4151e-01  1.4157e-01  1.4170e-01  1.4237e-01  1.4193e-01  1.4254e-01  1.4174e-01  1.4123e-01  1.4199e-01  3.2900e-01  3.2830e-01  3.2633e-01  3.2921e-01  1.4266e-01  1.4117e-01  1.4093e-01  1.4182e-01  1.4187e-01  1.4143e-01  1.4140e-01  1.4252e-01  1.4217e-01  1.4171e-01  1.4219e-01  1.4230e-01  1.4223e-01  1.4115e-01  1.4199e-01  1.4230e-01
     6  1.4428e-01  1.4389e-01  1.4414e-01  1.4440e-01  1.4469e-01  1.4478e-01  1.4457e-01  1.4497e-01  1.4491e-01  1.4612e-01  1.4102e-01  1.4139e-01  1.4160e-01  1.4160e-01  1.4220e-01  1.4210e-01  1.4227e-01  1.4229e-01  1.4159e-01  1.4185e-01  3.2678e-01  3.2969e-01  3.2477e-01  3.2746e-01  1.4287e-01  1.4229e-01  1.4123e-01  1.4187e-01  1.4146e-01  1.4181e-01  1.4239e-01  1.4173e-01  1.4219e-01  1.4203e-01  1.4251e-01  1.4284e-01  1.4200e-01  1.4144e-01  1.4227e-01  1.4262e-01
     7  1.4434e-01  1.4425e-01  1.4406e-01  1.4407e-01  1.4494e-01  1.4447e-01  1.4478e-01  1.4545e-01  1.4547e-01  1.4618e-01  1.4146e-01  1.4144e-01  1.4128e-01  1.4163e-01  1.4167e-01  1.4202e-01  1.4186e-01  1.4271e-01  1.4192e-01  1.4169e-01  3.2833e-01  3.2739e-01  3.3027e-01  3.3051e-01  1.4295e-01  1.4179e-01  1.4157e-01  1.4121e-01  1.4195e-01  1.4227e-01  1.4280e-01  1.4331e-01  1.4203e-01  1.4222e-01  1.4302e-01  1.4289e-01  1.4258e-01  1.4127e-01  1.4178e-01  1.4259e-01
     8  1.4454e-01  1.4476e-01  1.4469e-01  1.4464e-01  1.4475e-01  1.4465e-01  1.4506e-01  1.4465e-01  1.4442e-01  1.4666e-01  1.4092e-01  1.4229e-01  1.4159e-01  1.4118e-01  1.4162e-01  1.4210e-01  1.4152e-01  1.4156e-01  1.4170e-01  1.4157e-01  3.2586e-01  3.2723e-01  3.3180e-01  3.3337e-01  1.4416e-01  1.4319e-01  1.4251e-01  1.4154e-01  1.4095e-01  1.4198e-01  1.4275e-01  1.4263e-01  1.4210e-01  1.4167e-01  1.4182e-01  1.4187e-01  1.4251e-01  1.4235e-01  1.4338e-01  1.4473e-01
     9  1.4526e-01  1.4481e-01  1.4523e-01  1.4480e-01  1.4521e-01  1.4490e-01  1.4509e-01  1.4525e-01  1.4632e-01  1.4679e-01  1.4017e-01  1.4135e-01  1.4157e-01  1.4195e-01  1.4128e-01  1.4173e-01  1.4219e-01  1.4103e-01  1.4159e-01  1.4137e-01  3.2755e-01  3.2715e-01  3.2927e-01  3.2928e-01  1.4237e-01  1.4331e-01  1.4262e-01  1.4185e-01  1.4236e-01  1.4297e-01  1.4238e-01  1.4176e-01  1.4123e-01  1.4179e-01  1.4200e-01  1.4186e-01  1.4310e-01  1.4331e-01  1.4334e-01  1.4425e-01
    10  1.4576e-01  1.4574e-01  1.4600e-01  1.4530e-01  1.4538e-01  1.4595e-01  1.4622e-01  1.4629e-01  1.4717e-01  1.4801e-01  1.4104e-01  1.4112e-01  1.4127e-01  1.4242e-01  1.4177e-01  1.4234e-01  1.4221e-01  1.4194e-01  1.4193e-01  1.4235e-01  3.2719e-01  3.2793e-01  3.2700e-01  3.2635e-01  1.4101e-01  1.4112e-01  1.4139e-01  1.4261e-01  1.4186e-01  1.4149e-01  1.4230e-01  1.4224e-01  1.4166e-01  1.4169e-01  1.4302e-01  1.4228e-01  1.4238e-01  1.4276e-01  1.4356e-01  1.4432e-01
