 iy/ix           1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17          18          19          20          21          22          23          24          25          26          27          28          29          30          31          32          33          34          35          36          37          38          39          40
     1  4.7740e+00  4.8001e+00  4.7256e+00  4.6456e+00  4.6045e+00  4.4831e+00  4.3130e+00  4.0298e+00  3.6196e+00  2.9596e+00  1.9004e+00  1.2421e+00  8.4872e-01  5.8169e-01  3.9899e-01  2.7374e-01  1.8850e-01  1.3119e-01  9.0915e-02  6.2833e-02  2.4442e-02  4.1592e-03  6.9887e-04  1.1857e-04  3.5611e-05  2.4656e-05  1.7084e-05  1.1853e-05  8.1801e-06  5.6708e-06  3.9357e-06  2.7332e-06  1.8897e-06  1.3042e-06  9.0125e-07  6.2361e-07  4.2988e-07  2.9134e-07  1.9106e-07  1.1299e-07
     2  4.7553e+00  4.7474e+00  4.7083e+00  4.6582e+00  4.5844e+00  4.4697e+00  4.2898e+00  4.0214e+00  3.6113e+00  2.9488e+00  1.9012e+00  1.2385e+00  8.3851e-01  5.7542e-01  3.9492e-01  2.7128e-01  1.8724e-01  1.2979e-01  9.0088e-02  6.2473e-02  2.4290e-02  4.1131e-03  6.9858e-04  1.1835e-04  3.5384e-05  2.4541e-05  1.6973e-05  1.1740e-05  8.1197e-06  5.6711e-06  3.9141e-06  2.7063e-06  1.8725e-06  1.2996e-06  8.9786e-07  6.1763e-07  4.2749e-07  2.9104e-07  1.9111e-07  1.1226e-07
     3  4.7278e+00  4.6899e+00  4.6685e+00  4.6343e+00  4.5604e+00  4.4526e+00  4.2778e+00  4.0168e+00  3.6129e+00  2.9325e+00  1.8910e+00  1.2239e+00  8.2352e-01  5.6529e-01  3.8793e-01  2.6800e-01  1.8439e-01  1.2690e-01  8.8534e-02  6.1627e-02  2.3840e-02  4.0347e-03  6.8551e-04  1.1462e-04  3.4497e-05  2.3929e-05  1.6635e-05  1.1530e-05  7.9375e-06  5.5254e-06  3.8396e-06  2.6683e-06  1.8497e-06  1.2832e-06  8.9210e-07  6.1485e-07  4.2177e-07  2.8671e-07  1.8890e-07  1.1168e-07
     4  4.6918e+00  4.6471e+00  4.6149e+00  4.5497e+00  4.5158e+00  4.3936e+00  4.2140e+00  3.9662e+00  3.5751e+00  2.9083e+00  1.8582e+00  1.2061e+00  8.0389e-01  5.5171e-01  3.7718e-01  2.6003e-01  1.7880e-01  1.2376e-01  8.5551e-02  5.9170e-02  2.3264e-02  3.9352e-03  6.6122e-04  1.1262e-04  3.3611e-05  2.3209e-05  1.6154e-05  1.1204e-05  7.7496e-06  5.3624e-06  3.7272e-06  2.5875e-06  1.8051e-06  1.2610e-06  8.7347e-07  6.0308e-07  4.1780e-07  2.8464e-07  1.8655e-07  1.1046e-07
     5  4.5942e+00  4.5747e+00  4.5368e+00  4.4692e+00  4.4205e+00  4.3217e+00  4.1718e+00  3.8967e+00  3.5153e+00  2.8726e+00  1.8279e+00  1.1751e+00  7.8509e-01  5.3491e-01  3.6415e-01  2.4961e-01  1.7184e-01  1.1852e-01  8.1802e-02  5.6825e-02  2.2246e-02  3.7414e-03  6.3478e-04  1.0750e-04  3.2296e-05  2.2381e-05  1.5518e-05  1.0798e-05  7.4965e-06  5.1871e-06  3.5998e-06  2.5209e-06  1.7626e-06  1.2238e-06  8.6037e-07  5.9209e-07  4.1107e-07  2.7907e-07  1.8493e-07  1.0876e-07
     6  4.4715e+00  4.4761e+00  4.4450e+00  4.3742e+00  4.3027e+00  4.2190e+00  4.0555e+00  3.8084e+00  3.4412e+00  2.8012e+00  1.7681e+00  1.1321e+00  7.5426e-01  5.0692e-01  3.4742e-01  2.3829e-01  1.6378e-01  1.1277e-01  7.8072e-02  5.3894e-02  2.0946e-02  3.5844e-03  5.9904e-04  1.0121e-04  3.0624e-05  2.1245e-05  1.4722e-05  1.0272e-05  7.1439e-06  4.9774e-06  3.4730e-06  2.4119e-06  1.6963e-06  1.1842e-06  8.3379e-07  5.8048e-07  4.0134e-07  2.7472e-07  1.8190e-07  1.0797e-07
     7  4.2892e+00  4.2800e+00  4.2664e+00  4.2266e+00  4.1389e+00  4.0557e+00  3.9087e+00  3.6635e+00  3.2945e+00  2.6843e+00  1.6803e+00  1.0714e+00  7.0749e-01  4.7569e-01  3.2686e-01  2.2292e-01  1.5235e-01  1.0505e-01  7.2846e-02  5.0731e-02  1.9672e-02  3.3129e-03  5.6242e-04  9.4375e-05  2.8663e-05  1.9906e-05  1.3792e-05  9.6314e-06  6.7372e-06  4.7361e-06  3.3093e-06  2.3178e-06  1.6323e-06  1.1483e-06  8.0423e-07  5.6979e-07  3.9308e-07  2.6994e-07  1.7920e-07  1.0682e-07
     8  4.0389e+00  4.0125e+00  4.0053e+00  3.9654e+00  3.9045e+00  3.8184e+00  3.6833e+00  3.4673e+00  3.1493e+00  2.5429e+00  1.5726e+00  9.8148e-01  6.5204e-01  4.3859e-01  2.9828e-01  2.0374e-01  1.4042e-01  9.6993e-02  6.6872e-02  4.6814e-02  1.8171e-02  3.0683e-03  5.2061e-04  8.7569e-05  2.6541e-05  1.8469e-05  1.2905e-05  9.0189e-06  6.2936e-06  4.4470e-06  3.1346e-06  2.2209e-06  1.5715e-06  1.1095e-06  7.8366e-07  5.5476e-07  3.9071e-07  2.6833e-07  1.7961e-07  1.0836e-07
     9  3.6309e+00  3.6290e+00  3.6140e+00  3.5813e+00  3.5336e+00  3.4576e+00  3.3209e+00  3.1298e+00  2.8331e+00  2.3070e+00  1.3999e+00  8.7606e-01  5.8020e-01  3.9010e-01  2.6522e-01  1.8151e-01  1.2554e-01  8.6457e-02  6.0326e-02  4.2035e-02  1.6383e-02  2.7630e-03  4.6801e-04  7.8753e-05  2.4070e-05  1.6963e-05  1.1934e-05  8.3448e-06  5.9165e-06  4.2057e-06  2.9825e-06  2.1132e-06  1.5068e-06  1.0784e-06  7.6952e-07  5.5042e-07  3.9031e-07  2.7123e-07  1.8098e-07  1.0797e-07
    10  2.9730e+00  2.9630e+00  2.9426e+00  2.9266e+00  2.8823e+00  2.8025e+00  2.6831e+00  2.5473e+00  2.3050e+00  1.8815e+00  1.1420e+00  7.2754e-01  4.8866e-01  3.3386e-01  2.2889e-01  1.5952e-01  1.1029e-01  7.6715e-02  5.3550e-02  3.7208e-02  1.4441e-02  2.4522e-03  4.1627e-04  7.0127e-05  2.1511e-05  1.5167e-05  1.0807e-05  7.7252e-06  5.4978e-06  3.9559e-06  2.8416e-06  2.0570e-06  1.4708e-06  1.0625e-06  7.7224e-07  5.5174e-07  3.9349e-07  2.7540e-07  1.8519e-07  1.1107e-07
