 iy/ix           1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17          18          19          20          21          22          23          24          25          26          27          28          29          30          31          32          33          34          35          36          37          38          39          40
     1  1.9931e-02  1.7540e-02  1.6718e-02  1.6251e-02  1.6140e-02  1.5826e-02  1.5505e-02  1.4816e-02  1.3779e-02  1.2045e-02  8.6250e-03  6.0232e-03  4.2836e-03  3.0480e-03  2.1473e-03  1.5155e-03  1.0673e-03  7.5770e-04  5.4048e-04  3.8982e-04  1.6503e-04  3.4857e-05  6.5597e-06  1.1895e-06  3.3657e-07  2.1666e-07  1.4514e-07  9.8834e-08  6.7167e-08  4.6067e-08  3.1818e-08  2.2049e-08  1.5210e-08  1.0468e-08  7.2753e-09  5.0215e-09  3.4576e-09  2.3563e-09  1.5529e-09  9.2602e-10
     2  1.7405e-02  1.5376e-02  1.4749e-02  1.4401e-02  1.4215e-02  1.3932e-02  1.3549e-02  1.3040e-02  1.2126e-02  1.0546e-02  7.6641e-03  5.3336e-03  3.7883e-03  2.7060e-03  1.9187e-03  1.3648e-03  9.6548e-04  6.8541e-04  4.8781e-04  3.5062e-04  1.4850e-04  3.0460e-05  5.7017e-06  1.0291e-06  2.9728e-07  1.9743e-07  1.3375e-07  9.1058e-08  6.2578e-08  4.3373e-08  2.9811e-08  2.0564e-08  1.4193e-08  9.8701e-09  6.8218e-09  4.6903e-09  3.2606e-09  2.2273e-09  1.4696e-09  8.7222e-10
     3  1.6694e-02  1.4673e-02  1.4224e-02  1.3942e-02  1.3750e-02  1.3552e-02  1.3173e-02  1.2687e-02  1.1793e-02  1.0208e-02  7.4085e-03  5.1130e-03  3.5886e-03  2.5569e-03  1.8096e-03  1.2847e-03  9.1171e-04  6.4190e-04  4.5949e-04  3.3366e-04  1.4167e-04  2.9153e-05  5.4724e-06  9.6860e-07  2.7301e-07  1.8122e-07  1.2363e-07  8.4938e-08  5.8114e-08  4.0482e-08  2.8038e-08  1.9478e-08  1.3508e-08  9.3966e-09  6.5446e-09  4.5142e-09  3.0999e-09  2.1306e-09  1.4019e-09  8.3894e-10
     4  1.6425e-02  1.4379e-02  1.3933e-02  1.3633e-02  1.3533e-02  1.3275e-02  1.2875e-02  1.2438e-02  1.1592e-02  1.0009e-02  7.2053e-03  4.9809e-03  3.4589e-03  2.4522e-03  1.7327e-03  1.2294e-03  8.6518e-04  6.1358e-04  4.3416e-04  3.1313e-04  1.3514e-04  2.8069e-05  5.1904e-06  9.3884e-07  2.5980e-07  1.6953e-07  1.1470e-07  7.9052e-08  5.4634e-08  3.7671e-08  2.6298e-08  1.8238e-08  1.2744e-08  8.9280e-09  6.1878e-09  4.2965e-09  2.9684e-09  2.0343e-09  1.3449e-09  8.0908e-10
     5  1.6119e-02  1.4164e-02  1.3715e-02  1.3436e-02  1.3266e-02  1.3070e-02  1.2786e-02  1.2187e-02  1.1385e-02  9.8787e-03  7.1200e-03  4.8397e-03  3.3736e-03  2.3802e-03  1.6737e-03  1.1700e-03  8.2453e-04  5.8205e-04  4.1159e-04  2.9710e-04  1.2863e-04  2.6596e-05  4.9537e-06  8.8695e-07  2.4572e-07  1.5864e-07  1.0739e-07  7.3945e-08  5.1404e-08  3.5539e-08  2.4677e-08  1.7280e-08  1.2088e-08  8.4277e-09  5.9276e-09  4.0619e-09  2.8276e-09  1.9353e-09  1.2964e-09  7.6983e-10
     6  1.5804e-02  1.3976e-02  1.3485e-02  1.3218e-02  1.2994e-02  1.2852e-02  1.2533e-02  1.1988e-02  1.1213e-02  9.7255e-03  6.9042e-03  4.7174e-03  3.2777e-03  2.2717e-03  1.5988e-03  1.1252e-03  7.8829e-04  5.5377e-04  3.9110e-04  2.8033e-04  1.2098e-04  2.5303e-05  4.6672e-06  8.3217e-07  2.3043e-07  1.4904e-07  1.0045e-07  6.9235e-08  4.7823e-08  3.3233e-08  2.3135e-08  1.6099e-08  1.1262e-08  7.8830e-09  5.5489e-09  3.8643e-09  2.6796e-09  1.8493e-09  1.2317e-09  7.4024e-10
     7  1.5366e-02  1.3570e-02  1.3154e-02  1.2941e-02  1.2685e-02  1.2529e-02  1.2193e-02  1.1627e-02  1.0866e-02  9.3941e-03  6.6536e-03  4.5102e-03  3.0966e-03  2.1568e-03  1.5174e-03  1.0553e-03  7.3446e-04  5.1722e-04  3.6554e-04  2.6568e-04  1.1374e-04  2.3522e-05  4.3967e-06  7.7828e-07  2.1562e-07  1.3882e-07  9.2950e-08  6.3992e-08  4.4316e-08  3.0944e-08  2.1568e-08  1.5045e-08  1.0546e-08  7.3918e-09  5.1950e-09  3.6747e-09  2.5401e-09  1.7536e-09  1.1764e-09  7.0999e-10
     8  1.4823e-02  1.2996e-02  1.2594e-02  1.2401e-02  1.2218e-02  1.2002e-02  1.1721e-02  1.1265e-02  1.0556e-02  9.0643e-03  6.3359e-03  4.2187e-03  2.9064e-03  2.0178e-03  1.4018e-03  9.7412e-04  6.8343e-04  4.8095e-04  3.3903e-04  2.4562e-04  1.0606e-04  2.2018e-05  4.0989e-06  7.2597e-07  1.9994e-07  1.2868e-07  8.6795e-08  5.9229e-08  4.0826e-08  2.8589e-08  1.9977e-08  1.4029e-08  9.8996e-09  6.9523e-09  4.8934e-09  3.4723e-09  2.4422e-09  1.6846e-09  1.1364e-09  6.9801e-10
     9  1.3800e-02  1.2167e-02  1.1816e-02  1.1610e-02  1.1450e-02  1.1243e-02  1.0937e-02  1.0500e-02  9.7959e-03  8.4761e-03  5.8547e-03  3.8728e-03  2.6546e-03  1.8315e-03  1.2684e-03  8.8627e-04  6.1786e-04  4.3383e-04  3.0725e-04  2.2326e-04  9.5938e-05  1.9806e-05  3.6845e-06  6.5290e-07  1.8056e-07  1.1747e-07  7.9163e-08  5.4042e-08  3.7681e-08  2.6409e-08  1.8515e-08  1.2942e-08  9.2159e-09  6.5360e-09  4.6594e-09  3.3291e-09  2.3591e-09  1.6470e-09  1.1140e-09  6.8050e-10
    10  1.2046e-02  1.0622e-02  1.0240e-02  1.0080e-02  9.9413e-03  9.7141e-03  9.3967e-03  9.0930e-03  8.4877e-03  7.3787e-03  5.0312e-03  3.3285e-03  2.2988e-03  1.6059e-03  1.1229e-03  7.9219e-04  5.5415e-04  3.9158e-04  2.7741e-04  1.9950e-04  8.5769e-05  1.7754e-05  3.2985e-06  5.8537e-07  1.6063e-07  1.0461e-07  7.1255e-08  4.9411e-08  3.4305e-08  2.4228e-08  1.7277e-08  1.2318e-08  8.7466e-09  6.2786e-09  4.5527e-09  3.2598e-09  2.3353e-09  1.6449e-09  1.1250e-09  6.8988e-10
