 iy/ix           1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17          18          19          20          21          22          23          24          25          26          27          28          29          30          31          32          33          34          35          36          37          38          39          40
     1  8.9890e-02  7.6491e-02  7.3771e-02  7.3130e-02  7.2353e-02  7.1646e-02  7.0125e-02  6.8098e-02  6.5863e-02  5.9690e-02  4.6002e-02  3.6286e-02  3.0216e-02  2.6501e-02  2.2199e-02  1.6706e-02  1.3540e-02  1.2834e-02  1.1249e-02  8.5812e-03  4.1388e-03  2.1660e-03  1.3256e-03  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
     2  7.6755e-02  6.7889e-02  6.5639e-02  6.3841e-02  6.3557e-02  6.2953e-02  6.0726e-02  5.8276e-02  5.7168e-02  5.1650e-02  4.0403e-02  3.3370e-02  2.8064e-02  2.2392e-02  1.9460e-02  1.5302e-02  1.3352e-02  1.0546e-02  9.4126e-03  7.3150e-03  3.9466e-03  9.9140e-04  8.7852e-04  2.3656e-05  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
     3  7.4247e-02  6.6317e-02  6.2655e-02  6.3424e-02  6.1159e-02  6.1235e-02  5.7838e-02  5.7217e-02  5.5446e-02  4.9339e-02  3.9400e-02  3.2658e-02  2.6906e-02  2.2737e-02  1.7540e-02  1.5827e-02  1.2052e-02  9.6272e-03  8.7199e-03  7.1924e-03  4.0403e-03  1.0799e-03  2.7289e-07  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
     4  7.2676e-02  6.5027e-02  6.2064e-02  6.1603e-02  6.0145e-02  5.9760e-02  5.8956e-02  5.7676e-02  5.3010e-02  4.9066e-02  3.8263e-02  3.2280e-02  2.7525e-02  2.2544e-02  1.7778e-02  1.4333e-02  1.2895e-02  1.0087e-02  7.7232e-03  6.8871e-03  3.2054e-03  1.1304e-03  5.0793e-04  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
     5  7.4087e-02  6.4656e-02  6.1429e-02  6.1108e-02  5.9697e-02  5.8976e-02  5.7435e-02  5.6303e-02  5.3729e-02  4.9859e-02  3.9333e-02  3.2645e-02  2.5538e-02  2.0344e-02  1.6019e-02  1.5386e-02  1.3135e-02  1.0242e-02  7.8359e-03  8.6755e-03  4.2421e-03  2.2665e-03  6.7145e-04  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
     6  7.0724e-02  6.2131e-02  6.0251e-02  5.9733e-02  5.8995e-02  5.6934e-02  5.7836e-02  5.5323e-02  5.4231e-02  4.7541e-02  3.7272e-02  3.0425e-02  2.4990e-02  2.0838e-02  1.6277e-02  1.4827e-02  1.1984e-02  9.8740e-03  9.0183e-03  6.8109e-03  3.7530e-03  1.5264e-03  8.7423e-04  5.7510e-04  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
     7  7.0354e-02  6.1912e-02  6.0031e-02  5.9733e-02  5.9932e-02  5.8251e-02  5.6438e-02  5.4648e-02  5.2663e-02  4.6762e-02  3.6117e-02  3.0194e-02  2.3649e-02  2.0166e-02  1.5808e-02  1.3015e-02  1.2111e-02  9.3430e-03  8.9016e-03  8.3012e-03  4.6894e-03  1.1653e-03  7.4245e-04  8.1064e-05  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
     8  6.7745e-02  6.1445e-02  5.8926e-02  5.6408e-02  5.7436e-02  5.5849e-02  5.5081e-02  5.3283e-02  5.0992e-02  4.6367e-02  3.4902e-02  2.9320e-02  2.3529e-02  1.8370e-02  1.5860e-02  1.3440e-02  9.5890e-03  8.3589e-03  6.9385e-03  6.4872e-03  4.3049e-03  1.2781e-03  5.5113e-04  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
     9  6.3898e-02  5.6153e-02  5.5710e-02  5.3248e-02  5.3519e-02  5.2110e-02  5.3299e-02  5.1590e-02  4.8369e-02  4.3449e-02  3.3745e-02  2.7630e-02  2.2309e-02  1.8774e-02  1.5934e-02  1.2679e-02  1.0298e-02  8.0348e-03  7.3067e-03  6.0816e-03  2.9688e-03  2.0665e-03  6.8345e-04  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
    10  5.6828e-02  5.1930e-02  4.9169e-02  4.8786e-02  4.9763e-02  4.7937e-02  4.6729e-02  4.5577e-02  4.4440e-02  3.9869e-02  3.1181e-02  2.5343e-02  2.0055e-02  1.6652e-02  1.2921e-02  1.1666e-02  9.8129e-03  7.5470e-03  6.3280e-03  5.7335e-03  3.6991e-03  5.3959e-04  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
    11  4.5986e-02  4.2235e-02  4.0671e-02  3.9744e-02  3.8500e-02  3.8008e-02  3.7590e-02  3.5782e-02  3.3670e-02  3.0814e-02  2.6755e-02  2.1156e-02  1.8077e-02  1.3752e-02  1.2201e-02  9.3918e-03  8.9378e-03  6.8210e-03  5.9357e-03  5.9735e-03  2.7251e-03  9.6412e-04  4.0194e-05  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
    12  3.7299e-02  3.2590e-02  3.2025e-02  3.1949e-02  3.2584e-02  3.1974e-02  2.9684e-02  3.0241e-02  2.6678e-02  2.3948e-02  2.2306e-02  1.9541e-02  1.6211e-02  1.3606e-02  1.0804e-02  8.5009e-03  6.8935e-03  7.8024e-03  5.2860e-03  4.5163e-03  3.5817e-03  1.6088e-03  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
    13  3.2176e-02  2.8141e-02  2.7383e-02  2.6213e-02  2.5254e-02  2.5464e-02  2.4375e-02  2.3458e-02  2.2754e-02  2.0128e-02  1.8454e-02  1.7609e-02  1.3404e-02  1.2595e-02  9.5585e-03  8.0401e-03  7.5950e-03  6.3070e-03  6.2576e-03  3.4522e-03  2.1522e-03  1.2713e-03  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
    14  2.5724e-02  2.2202e-02  2.1542e-02  2.1206e-02  2.1792e-02  2.0068e-02  1.9586e-02  1.8847e-02  1.8541e-02  1.7548e-02  1.4754e-02  1.4206e-02  1.1956e-02  1.0208e-02  9.5258e-03  7.1460e-03  6.5257e-03  4.8792e-03  3.6300e-03  3.6901e-03  1.5333e-03  1.0693e-03  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
    15  2.2374e-02  1.9424e-02  1.9050e-02  1.7920e-02  1.7350e-02  1.5768e-02  1.5691e-02  1.6392e-02  1.5222e-02  1.4445e-02  1.2937e-02  1.2271e-02  1.0473e-02  8.0670e-03  8.2845e-03  5.7874e-03  5.7511e-03  3.9313e-03  4.7071e-03  3.6567e-03  1.2246e-03  1.3312e-03  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
    16  1.8333e-02  1.5887e-02  1.5221e-02  1.5117e-02  1.3765e-02  1.4499e-02  1.3338e-02  1.2859e-02  1.2493e-02  1.3036e-02  1.1902e-02  1.1684e-02  8.8692e-03  7.1115e-03  7.6518e-03  5.4226e-03  5.8049e-03  4.0562e-03  4.3988e-03  3.0195e-03  2.1655e-03  8.1175e-04  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
    17  1.5299e-02  1.4381e-02  1.2579e-02  1.2700e-02  1.2005e-02  1.2794e-02  9.7473e-03  1.0126e-02  9.9037e-03  1.0231e-02  9.1121e-03  9.1439e-03  9.4043e-03  6.1441e-03  4.8385e-03  5.0703e-03  4.5535e-03  3.7432e-03  2.0222e-03  1.9248e-03  2.5260e-03  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
    18  1.2865e-02  1.2720e-02  1.1304e-02  9.9839e-03  1.1026e-02  9.5856e-03  7.9178e-03  8.7669e-03  8.6387e-03  8.3930e-03  8.0263e-03  7.1517e-03  6.2455e-03  5.9570e-03  5.1780e-03  4.8245e-03  5.2315e-03  3.4269e-03  2.3037e-03  2.0618e-03  1.5588e-03  2.0286e-04  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
    19  9.9169e-03  1.0986e-02  8.8961e-03  7.5694e-03  7.1486e-03  7.3591e-03  8.0217e-03  7.7044e-03  6.4609e-03  6.5435e-03  6.5572e-03  6.2580e-03  5.7871e-03  5.5827e-03  4.3211e-03  4.7056e-03  4.2606e-03  3.8397e-03  1.9095e-03  1.6974e-03  1.1781e-03  2.0412e-04  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
    20  8.6113e-03  8.5991e-03  7.3796e-03  7.3490e-03  7.3713e-03  6.5318e-03  6.0517e-03  5.8415e-03  5.9235e-03  4.8210e-03  5.0302e-03  4.6720e-03  5.5259e-03  5.4181e-03  3.6884e-03  4.1274e-03  3.1105e-03  2.8415e-03  2.2682e-03  2.8748e-03  7.5420e-04  7.2791e-05  5.2237e-04  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
    21  6.5452e-03  6.3469e-03  6.8355e-03  6.3980e-03  6.7972e-03  6.1331e-03  4.6144e-03  4.6235e-03  4.4452e-03  4.4497e-03  4.2923e-03  3.1825e-03  4.6126e-03  3.2072e-03  2.1232e-03  2.7928e-03  3.0117e-03  2.2344e-03  1.9863e-03  2.2994e-03  1.6737e-03  6.3118e-04  4.1134e-04  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
    22  5.2079e-03  5.7736e-03  4.6748e-03  5.9061e-03  6.0201e-03  5.0050e-03  5.0196e-03  4.3029e-03  3.6503e-03  3.5841e-03  2.8165e-03  2.5810e-03  3.4731e-03  2.3574e-03  3.4418e-03  2.9691e-03  2.0110e-03  1.7277e-03  2.7788e-03  2.2877e-03  1.5830e-03  1.6055e-03  4.0325e-04  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
    23  4.7204e-03  3.7312e-03  3.7332e-03  4.5643e-03  4.5647e-03  3.9560e-03  3.7313e-03  3.5867e-03  3.6737e-03  2.3643e-03  1.9371e-03  2.0027e-03  2.8556e-03  2.1774e-03  2.1499e-03  1.9668e-03  1.6520e-03  1.5110e-03  9.4928e-04  1.6761e-03  1.1881e-03  0.0000e+00  3.5318e-04  5.9302e-04  7.7979e-05  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
    24  3.6442e-03  3.1713e-03  2.7581e-03  4.3526e-03  4.1352e-03  3.5581e-03  2.4006e-03  2.4423e-03  1.9072e-03  1.4089e-03  1.3702e-03  9.9052e-04  1.5587e-03  1.5190e-03  1.6108e-03  9.6758e-04  8.2861e-04  9.7565e-04  9.8650e-04  9.3993e-04  1.2029e-03  6.4269e-04  6.4269e-04  5.9999e-04  6.0416e-04  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
    25  3.3346e-03  3.1225e-03  2.8408e-03  2.0945e-03  1.6277e-03  2.8141e-03  3.1485e-03  1.6053e-03  2.0358e-03  1.7780e-03  2.2104e-03  1.7685e-03  9.6893e-04  6.1010e-04  1.1090e-03  1.4593e-03  7.8463e-04  2.7563e-04  7.9595e-04  9.9429e-04  8.6824e-04  1.3400e-04  3.9641e-04  5.7608e-04  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
    26  3.0022e-03  2.1767e-03  2.3681e-03  2.0530e-03  1.6012e-03  1.3025e-03  1.5975e-03  1.8210e-03  1.9861e-03  7.8000e-04  1.3957e-03  1.7327e-03  9.7701e-04  2.5896e-04  1.1994e-03  5.1579e-04  4.1825e-04  3.9524e-04  0.0000e+00  1.6669e-04  5.1910e-04  5.2540e-04  8.0612e-04  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
    27  1.2642e-03  1.4942e-03  2.2227e-03  2.6772e-03  1.1874e-03  1.6683e-03  1.0359e-03  1.3701e-03  1.4217e-03  1.1314e-03  7.3285e-04  1.5725e-03  1.0063e-03  4.1351e-04  2.7582e-04  4.2256e-04  0.0000e+00  2.4915e-04  5.5094e-04  4.8296e-04  2.0450e-06  1.0704e-03  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
    28  8.3589e-04  2.3129e-03  2.1924e-03  2.4476e-03  1.6871e-03  1.5401e-04  1.1555e-04  7.1902e-04  5.4175e-04  6.1650e-04  5.6356e-04  7.6842e-04  5.7122e-04  3.3579e-04  0.0000e+00  5.6950e-04  0.0000e+00  0.0000e+00  2.3648e-05  1.0452e-03  1.0541e-03  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
    29  9.3589e-04  1.0907e-03  6.8390e-04  2.4231e-03  2.0879e-03  8.2982e-04  0.0000e+00  7.1852e-04  5.1967e-04  3.2617e-04  1.5001e-03  9.5292e-04  4.6466e-04  0.0000e+00  0.0000e+00  1.4579e-04  4.2371e-04  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
    30  8.8008e-04  1.3674e-03  6.9234e-04  5.8571e-04  1.4110e-03  1.0423e-04  0.0000e+00  8.8068e-04  1.6982e-04  0.0000e+00  0.0000e+00  4.4615e-04  6.7389e-04  0.0000e+00  0.0000e+00  0.0000e+00  5.6950e-04  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
    31  1.1017e-03  6.6746e-04  5.3429e-04  0.0000e+00  1.4185e-03  6.3524e-04  2.2077e-04  1.1181e-03  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  3.9449e-04  6.7884e-04  0.0000e+00  0.0000e+00  1.4246e-04  4.2704e-04  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
