 iy/ix           1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17          18          19          20          21          22          23          24          25          26          27          28          29          30          31          32          33          34          35          36          37          38          39          40
     1  1.0110e+00  9.9189e-01  9.8328e-01  9.6252e-01  9.8641e-01  9.4909e-01  9.8036e-01  8.8996e-01  8.2518e-01  7.6302e-01  5.3756e-01  3.4147e-01  2.4456e-01  1.8726e-01  1.2386e-01  7.6369e-02  4.8898e-02  4.0125e-02  2.6062e-02  8.9027e-03  5.7377e-03  1.6194e-03  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
     2  9.8741e-01  9.8864e-01  9.5353e-01  9.4250e-01  9.1753e-01  9.4633e-01  9.1320e-01  8.2469e-01  8.0634e-01  7.7140e-01  5.1768e-01  3.8050e-01  2.3195e-01  1.5809e-01  1.1600e-01  7.0802e-02  5.1738e-02  3.2866e-02  2.2925e-02  1.1412e-02  5.0638e-03  0.0000e+00  2.5203e-04  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
     3  9.4606e-01  9.7889e-01  9.3791e-01  9.5265e-01  9.4279e-01  9.3346e-01  8.5488e-01  8.4156e-01  8.4356e-01  8.0089e-01  5.6205e-01  3.4165e-01  2.2856e-01  1.6593e-01  1.0596e-01  7.1568e-02  4.2330e-02  3.1249e-02  1.8996e-02  1.4129e-02  5.8322e-03  6.1114e-04  4.4970e-07  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
     4  9.6388e-01  9.6410e-01  9.6092e-01  9.3515e-01  9.2258e-01  9.3304e-01  9.4637e-01  9.0054e-01  7.9858e-01  7.4527e-01  5.0711e-01  3.2596e-01  2.3700e-01  1.5674e-01  9.8979e-02  6.9730e-02  4.7831e-02  3.7992e-02  2.4750e-02  1.4463e-02  2.2953e-03  1.6789e-03  1.6028e-04  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
     5  9.8011e-01  9.3554e-01  9.2929e-01  9.4449e-01  8.9640e-01  9.2532e-01  8.8988e-01  8.6400e-01  7.9268e-01  7.3740e-01  5.0585e-01  3.5919e-01  2.2359e-01  1.3996e-01  9.7792e-02  6.7965e-02  5.1448e-02  2.7975e-02  1.1877e-02  1.6593e-02  4.8123e-03  1.4753e-03  4.7185e-04  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
     6  9.0597e-01  8.6591e-01  8.9368e-01  8.6374e-01  8.7314e-01  8.5025e-01  8.5991e-01  8.1836e-01  7.6745e-01  7.0158e-01  5.0315e-01  3.0893e-01  1.9940e-01  1.3843e-01  9.1709e-02  5.3919e-02  4.1107e-02  2.4544e-02  1.4575e-02  7.6404e-03  4.1183e-03  1.5617e-03  1.6733e-04  3.1783e-04  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
     7  8.3029e-01  8.4697e-01  8.4220e-01  8.5668e-01  8.4214e-01  8.5387e-01  8.1177e-01  7.6625e-01  7.6457e-01  6.8850e-01  4.6420e-01  3.0802e-01  1.9725e-01  1.2892e-01  8.0603e-02  5.4213e-02  3.3503e-02  2.1183e-02  1.6322e-02  1.1472e-02  3.9878e-03  6.9306e-04  5.1154e-04  1.3359e-04  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
     8  7.3246e-01  7.5809e-01  7.9368e-01  7.5754e-01  7.6324e-01  7.1998e-01  7.1938e-01  7.1352e-01  6.9237e-01  6.0741e-01  4.1154e-01  2.6252e-01  1.6846e-01  1.2272e-01  7.4958e-02  4.1640e-02  2.6040e-02  1.6912e-02  1.0341e-02  1.0330e-02  6.6342e-03  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
     9  5.7630e-01  6.1072e-01  6.4098e-01  6.0104e-01  6.2501e-01  5.8934e-01  6.2779e-01  6.2203e-01  5.2904e-01  5.0552e-01  3.5309e-01  2.1915e-01  1.5087e-01  9.0545e-02  4.8028e-02  3.7571e-02  2.6050e-02  1.1586e-02  1.0899e-02  1.1623e-02  4.2215e-03  1.8500e-03  3.9110e-05  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
    10  3.8328e-01  4.4503e-01  4.4725e-01  4.2694e-01  4.6004e-01  4.3980e-01  4.4410e-01  4.1586e-01  3.9822e-01  3.6946e-01  2.3260e-01  1.5771e-01  9.5725e-02  6.0698e-02  4.3473e-02  3.7833e-02  1.8941e-02  1.1296e-02  1.3457e-02  1.1858e-02  5.1341e-03  6.0775e-05  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
