 iy/ix           1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17          18          19          20          21          22          23          24          25          26          27          28          29          30          31          32          33          34          35          36          37          38          39          40
     1  1.4499e-01  1.4221e-01  1.3996e-01  1.4073e-01  1.3900e-01  1.3536e-01  1.3206e-01  1.2271e-01  1.1007e-01  9.0230e-02  5.4870e-02  3.4510e-02  2.4490e-02  1.6960e-02  1.2230e-02  8.0300e-03  5.2900e-03  4.1200e-03  3.3700e-03  2.2000e-03  1.6600e-03  2.4000e-04  1.9000e-04  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
     2  1.4351e-01  1.4343e-01  1.4148e-01  1.3852e-01  1.3585e-01  1.3395e-01  1.2645e-01  1.1696e-01  1.0895e-01  9.0370e-02  5.5420e-02  3.6940e-02  2.5480e-02  1.6370e-02  1.2020e-02  7.8700e-03  5.2700e-03  3.7000e-03  2.6600e-03  1.8600e-03  1.6300e-03  1.6000e-04  5.0000e-05  1.0000e-05  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
     3  1.4174e-01  1.4281e-01  1.4263e-01  1.3962e-01  1.3479e-01  1.3190e-01  1.2311e-01  1.1855e-01  1.0861e-01  8.8540e-02  5.4640e-02  3.6650e-02  2.4590e-02  1.6380e-02  1.1470e-02  7.8500e-03  5.1400e-03  3.5800e-03  2.7700e-03  1.8900e-03  1.5400e-03  1.3000e-04  1.0000e-05  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
     4  1.3934e-01  1.4083e-01  1.3933e-01  1.3735e-01  1.3290e-01  1.3174e-01  1.2604e-01  1.1949e-01  1.0637e-01  8.7360e-02  5.2260e-02  3.6870e-02  2.5480e-02  1.5990e-02  1.1030e-02  8.0600e-03  6.0300e-03  3.3400e-03  2.2000e-03  1.6400e-03  1.0600e-03  1.6000e-04  3.0000e-05  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
     5  1.4016e-01  1.3806e-01  1.3542e-01  1.3472e-01  1.3334e-01  1.3136e-01  1.2429e-01  1.1972e-01  1.0587e-01  8.7580e-02  5.2910e-02  3.6060e-02  2.4140e-02  1.5610e-02  1.0340e-02  7.9900e-03  5.6900e-03  3.4500e-03  2.2600e-03  2.0500e-03  1.2000e-03  3.4000e-04  4.0000e-05  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
     6  1.3558e-01  1.3449e-01  1.3555e-01  1.3202e-01  1.3137e-01  1.2612e-01  1.2125e-01  1.1322e-01  1.0353e-01  8.4860e-02  5.1850e-02  3.1860e-02  2.2450e-02  1.6180e-02  9.9700e-03  7.5900e-03  4.8100e-03  3.2800e-03  2.4200e-03  1.8200e-03  1.3900e-03  3.4000e-04  8.0000e-05  3.0000e-05  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
     7  1.3244e-01  1.3185e-01  1.2976e-01  1.2883e-01  1.2635e-01  1.2202e-01  1.1690e-01  1.1105e-01  1.0127e-01  8.1900e-02  4.8760e-02  3.1490e-02  2.1310e-02  1.4310e-02  9.1200e-03  6.2600e-03  4.7300e-03  3.1600e-03  2.4400e-03  1.8900e-03  1.9300e-03  1.8000e-04  9.0000e-05  1.0000e-05  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
     8  1.2308e-01  1.2028e-01  1.2088e-01  1.1824e-01  1.1726e-01  1.1490e-01  1.1163e-01  1.0525e-01  9.4590e-02  7.7430e-02  4.4430e-02  2.9690e-02  1.9560e-02  1.2550e-02  8.7900e-03  5.6100e-03  3.9300e-03  2.6000e-03  2.0600e-03  1.5500e-03  1.3800e-03  1.8000e-04  6.0000e-05  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
     9  1.0813e-01  1.0754e-01  1.0904e-01  1.0665e-01  1.0644e-01  1.0223e-01  1.0116e-01  9.6710e-02  8.7160e-02  7.0190e-02  4.0950e-02  2.6170e-02  1.7760e-02  1.1840e-02  8.0100e-03  5.2200e-03  3.2900e-03  2.3300e-03  1.9000e-03  1.2300e-03  1.1100e-03  1.7000e-04  3.0000e-05  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
    10  8.7850e-02  8.9250e-02  8.8400e-02  8.8120e-02  8.9130e-02  8.6050e-02  8.2400e-02  7.8620e-02  7.2020e-02  5.8980e-02  3.4670e-02  2.1780e-02  1.4860e-02  9.5300e-03  6.0400e-03  4.5400e-03  3.5100e-03  2.0800e-03  1.3700e-03  1.0700e-03  1.0300e-03  8.0000e-05  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
