 iy/ix           1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17          18          19          20          21          22          23          24          25          26          27          28          29          30          31          32          33          34          35          36          37          38          39          40
     1  1.0000e+00  9.7131e-01  9.6189e-01  9.6150e-01  9.4492e-01  9.2039e-01  8.9995e-01  8.4672e-01  7.5471e-01  6.1852e-01  3.8635e-01  2.4238e-01  1.7054e-01  1.2138e-01  8.6148e-02  5.5723e-02  3.6536e-02  2.8470e-02  2.2062e-02  1.4768e-02  4.9404e-03  1.0945e-03  4.1323e-04  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
     2  9.8042e-01  9.8146e-01  9.6896e-01  9.6214e-01  9.3300e-01  9.1509e-01  8.6733e-01  8.0805e-01  7.4511e-01  6.1192e-01  3.8655e-01  2.5885e-01  1.7850e-01  1.1709e-01  8.4747e-02  5.4834e-02  3.7944e-02  2.6007e-02  1.9062e-02  1.2360e-02  4.4354e-03  4.8399e-04  1.8097e-04  4.8729e-06  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
     3  9.7003e-01  9.8511e-01  9.6245e-01  9.6117e-01  9.2651e-01  9.1395e-01  8.4196e-01  8.1234e-01  7.3583e-01  6.1027e-01  3.8459e-01  2.5827e-01  1.7051e-01  1.1675e-01  7.6722e-02  5.5249e-02  3.5349e-02  2.3971e-02  1.8998e-02  1.2957e-02  4.7448e-03  4.1430e-04  5.6213e-08  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
     4  9.5442e-01  9.6847e-01  9.5841e-01  9.4899e-01  9.1357e-01  8.9758e-01  8.6906e-01  8.3217e-01  7.1728e-01  5.9920e-01  3.6801e-01  2.5551e-01  1.7825e-01  1.1438e-01  7.8351e-02  5.5150e-02  3.9484e-02  2.3721e-02  1.6600e-02  1.1619e-02  2.7853e-03  4.4061e-04  1.2273e-04  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
     5  9.6611e-01  9.5792e-01  9.3326e-01  9.3081e-01  9.0337e-01  8.9190e-01  8.5092e-01  8.0413e-01  7.2464e-01  5.9804e-01  3.7403e-01  2.5399e-01  1.6791e-01  1.0829e-01  7.1192e-02  5.5721e-02  4.0391e-02  2.5003e-02  1.5463e-02  1.4750e-02  4.2814e-03  1.1410e-03  1.3831e-04  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
     6  9.2217e-01  9.2323e-01  9.1378e-01  9.0102e-01  8.9572e-01  8.5253e-01  8.3936e-01  7.7693e-01  7.1286e-01  5.7587e-01  3.5758e-01  2.2822e-01  1.5594e-01  1.0749e-01  6.8845e-02  5.1698e-02  3.4775e-02  2.3373e-02  1.7769e-02  1.1504e-02  4.1682e-03  8.7912e-04  2.5464e-04  1.1847e-04  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
     7  9.0759e-01  8.9040e-01  8.8381e-01  8.8483e-01  8.8040e-01  8.3930e-01  8.0434e-01  7.6159e-01  6.9167e-01  5.5225e-01  3.3426e-01  2.2272e-01  1.4545e-01  9.8823e-02  6.1826e-02  4.2679e-02  3.3016e-02  2.2214e-02  1.8371e-02  1.4001e-02  5.3417e-03  5.5065e-04  2.1194e-04  1.6699e-05  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
     8  8.3859e-01  8.3995e-01  8.2839e-01  8.1113e-01  8.0755e-01  7.8028e-01  7.6338e-01  7.2237e-01  6.4752e-01  5.2593e-01  3.1368e-01  2.0563e-01  1.3509e-01  8.7159e-02  6.2083e-02  4.0659e-02  2.6319e-02  1.7912e-02  1.3424e-02  1.0394e-02  4.6500e-03  5.7111e-04  1.6701e-04  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
     9  7.4647e-01  7.3593e-01  7.4076e-01  7.2705e-01  7.2732e-01  6.9290e-01  6.9374e-01  6.6078e-01  5.8821e-01  4.6863e-01  2.8868e-01  1.8556e-01  1.2321e-01  8.4478e-02  5.6047e-02  3.8025e-02  2.4535e-02  1.6254e-02  1.3549e-02  8.8103e-03  3.3793e-03  7.9516e-04  1.4079e-04  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
    10  5.9687e-01  6.0981e-01  5.9840e-01  5.9955e-01  6.0777e-01  5.7552e-01  5.5197e-01  5.3197e-01  4.8995e-01  3.9816e-01  2.3761e-01  1.5272e-01  1.0217e-01  6.7004e-02  4.3794e-02  3.3134e-02  2.2820e-02  1.5013e-02  1.0221e-02  8.0721e-03  3.4993e-03  1.4346e-04  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
