 iy/ix           1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17          18          19          20          21          22          23          24          25          26          27          28          29          30          31          32          33          34          35          36          37          38          39          40
     1  4.8545e+00  4.7152e+00  4.6695e+00  4.6676e+00  4.5871e+00  4.4681e+00  4.3688e+00  4.1104e+00  3.6638e+00  3.0026e+00  1.8756e+00  1.1767e+00  8.2792e-01  5.8924e-01  4.1821e-01  2.7051e-01  1.7737e-01  1.3821e-01  1.0710e-01  7.1693e-02  2.3983e-02  5.3134e-03  2.0061e-03  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
     2  4.7595e+00  4.7645e+00  4.7039e+00  4.6708e+00  4.5293e+00  4.4423e+00  4.2105e+00  3.9227e+00  3.6172e+00  2.9706e+00  1.8765e+00  1.2566e+00  8.6653e-01  5.6841e-01  4.1141e-01  2.6619e-01  1.8420e-01  1.2625e-01  9.2539e-02  6.0000e-02  2.1532e-02  2.3496e-03  8.7852e-04  2.3656e-05  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
     3  4.7091e+00  4.7822e+00  4.6723e+00  4.6661e+00  4.4978e+00  4.4368e+00  4.0873e+00  3.9435e+00  3.5721e+00  2.9626e+00  1.8670e+00  1.2538e+00  8.2773e-01  5.6676e-01  3.7245e-01  2.6821e-01  1.7160e-01  1.1637e-01  9.2224e-02  6.2902e-02  2.3034e-02  2.0112e-03  2.7289e-07  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
     4  4.6333e+00  4.7015e+00  4.6526e+00  4.6069e+00  4.4350e+00  4.3573e+00  4.2189e+00  4.0398e+00  3.4821e+00  2.9088e+00  1.7865e+00  1.2404e+00  8.6532e-01  5.5526e-01  3.8036e-01  2.6773e-01  1.9167e-01  1.1515e-01  8.0585e-02  5.6405e-02  1.3521e-02  2.1389e-03  5.9579e-04  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
     5  4.6900e+00  4.6503e+00  4.5306e+00  4.5186e+00  4.3854e+00  4.3298e+00  4.1308e+00  3.9037e+00  3.5178e+00  2.9032e+00  1.8157e+00  1.2330e+00  8.1510e-01  5.2570e-01  3.4560e-01  2.7050e-01  1.9608e-01  1.2138e-01  7.5067e-02  7.1605e-02  2.0784e-02  5.5388e-03  6.7145e-04  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
     6  4.4767e+00  4.4818e+00  4.4360e+00  4.3740e+00  4.3483e+00  4.1387e+00  4.0747e+00  3.7716e+00  3.4606e+00  2.7956e+00  1.7359e+00  1.1079e+00  7.5699e-01  5.2179e-01  3.3421e-01  2.5097e-01  1.6882e-01  1.1347e-01  8.6259e-02  5.5848e-02  2.0235e-02  4.2677e-03  1.2362e-03  5.7510e-04  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
     7  4.4059e+00  4.3225e+00  4.2905e+00  4.2954e+00  4.2739e+00  4.0744e+00  3.9047e+00  3.6972e+00  3.3578e+00  2.6809e+00  1.6227e+00  1.0812e+00  7.0608e-01  4.7974e-01  3.0014e-01  2.0719e-01  1.6028e-01  1.0784e-01  8.9181e-02  6.7969e-02  2.5932e-02  2.6731e-03  1.0289e-03  8.1064e-05  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
     8  4.0710e+00  4.0776e+00  4.0214e+00  3.9377e+00  3.9203e+00  3.7879e+00  3.7058e+00  3.5068e+00  3.1434e+00  2.5531e+00  1.5228e+00  9.9822e-01  6.5580e-01  4.2312e-01  3.0138e-01  1.9738e-01  1.2777e-01  8.6953e-02  6.5167e-02  5.0458e-02  2.2574e-02  2.7725e-03  8.1074e-04  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
     9  3.6238e+00  3.5726e+00  3.5960e+00  3.5295e+00  3.5308e+00  3.3637e+00  3.3678e+00  3.2078e+00  2.8555e+00  2.2750e+00  1.4014e+00  9.0083e-01  5.9813e-01  4.1010e-01  2.7208e-01  1.8460e-01  1.1911e-01  7.8907e-02  6.5774e-02  4.2770e-02  1.6405e-02  3.8601e-03  6.8345e-04  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
    10  2.8975e+00  2.9603e+00  2.9049e+00  2.9106e+00  2.9504e+00  2.7939e+00  2.6796e+00  2.5825e+00  2.3785e+00  1.9329e+00  1.1535e+00  7.4139e-01  4.9599e-01  3.2527e-01  2.1260e-01  1.6085e-01  1.1078e-01  7.2883e-02  4.9617e-02  3.9186e-02  1.6987e-02  6.9642e-04  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
    11  1.8524e+00  1.9147e+00  1.9116e+00  1.8875e+00  1.8061e+00  1.7542e+00  1.7092e+00  1.5748e+00  1.3763e+00  1.1291e+00  8.4882e-01  5.5318e-01  3.9578e-01  2.4776e-01  1.7253e-01  1.0968e-01  9.2758e-02  6.3895e-02  4.2553e-02  3.6506e-02  1.2386e-02  1.8051e-03  4.0194e-05  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
