 iy/ix           1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17          18          19          20          21          22          23          24          25          26          27          28          29          30          31          32          33          34          35          36          37          38          39          40
     1  9.9006e-01  9.3326e-01  9.3948e-01  9.5907e-01  9.5870e-01  9.3549e-01  8.4343e-01  7.8712e-01  6.8451e-01  4.8020e-01  2.6606e-01  1.8428e-01  1.1882e-01  8.5255e-02  6.9510e-02  4.8133e-02  2.5655e-02  2.1996e-02  1.6176e-02  1.1588e-02  3.7551e-03  4.2218e-04  2.3601e-04  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
     2  9.6476e-01  9.2523e-01  1.0042e+00  9.3699e-01  8.7798e-01  8.9167e-01  8.3683e-01  7.2515e-01  6.3459e-01  4.8721e-01  2.5593e-01  1.8066e-01  1.3380e-01  8.2438e-02  6.5308e-02  4.0503e-02  2.9895e-02  1.8366e-02  1.2063e-02  9.0873e-03  2.5622e-03  2.6425e-04  6.6181e-05         inf  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
     3  9.4182e-01  9.5631e-01  9.5412e-01  9.1463e-01  8.6227e-01  8.6137e-01  8.1116e-01  7.0748e-01  6.4829e-01  5.0365e-01  2.7677e-01  1.6972e-01  1.0896e-01  8.0852e-02  5.5975e-02  4.0022e-02  3.0362e-02  1.7210e-02  1.4804e-02  8.8125e-03  3.4861e-03  1.2196e-03         inf  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
     4  9.5232e-01  9.1109e-01  9.6850e-01  9.0914e-01  8.8901e-01  8.0656e-01  8.0846e-01  7.5283e-01  6.0550e-01  4.5146e-01  2.4039e-01  1.5937e-01  1.1091e-01  8.5629e-02  5.6541e-02  3.9055e-02  2.7021e-02  2.0857e-02  1.1727e-02  6.2594e-03  2.4594e-03  3.5714e-04         inf  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
     5  9.4447e-01  8.8257e-01  9.3245e-01  9.3396e-01  8.6343e-01  8.6665e-01  7.6397e-01  7.0347e-01  6.1069e-01  4.5795e-01  2.5533e-01  1.7764e-01  1.0460e-01  8.7180e-02  5.1503e-02  3.8525e-02  2.6792e-02  1.6219e-02  1.4743e-02  8.6820e-03  3.1605e-03  1.0538e-03  3.4848e-05  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
     6  9.2885e-01  8.5199e-01  8.5751e-01  8.8187e-01  8.2769e-01  7.8659e-01  7.3378e-01  6.8089e-01  6.2269e-01  4.4004e-01  2.3613e-01  1.4662e-01  1.0485e-01  6.5347e-02  4.5259e-02  3.4683e-02  2.1764e-02  1.2228e-02  1.2795e-02  5.5599e-03  5.9690e-03  6.1311e-04         inf         inf  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
     7  8.5284e-01  8.3812e-01  8.5531e-01  7.8725e-01  7.7183e-01  7.3077e-01  6.9997e-01  6.6301e-01  5.7435e-01  4.2346e-01  2.2479e-01  1.4709e-01  9.8140e-02  5.9966e-02  3.4587e-02  2.5996e-02  2.1378e-02  1.3169e-02  1.1883e-02  1.0819e-02  2.5881e-03  2.3116e-04  1.8529e-04         inf  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
     8  7.6188e-01  7.6164e-01  7.5137e-01  7.1683e-01  7.2504e-01  7.1723e-01  6.5054e-01  5.8859e-01  5.2481e-01  3.6824e-01  1.9994e-01  1.3963e-01  8.7873e-02  5.6439e-02  3.6905e-02  2.4715e-02  1.3283e-02  1.1415e-02  7.1546e-03  6.3121e-03  4.4843e-03  1.8479e-03         inf  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
     9  6.1866e-01  6.1598e-01  6.3728e-01  5.9142e-01  6.3025e-01  5.7009e-01  5.8107e-01  5.2817e-01  4.6225e-01  3.1315e-01  1.7328e-01  1.1041e-01  7.6816e-02  5.1943e-02  3.2852e-02  2.6547e-02  1.4013e-02  9.9103e-03  7.8415e-03  4.6596e-03  2.4298e-03  2.6848e-03  3.7475e-05  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
    10  4.5222e-01  4.7723e-01  4.9228e-01  4.5853e-01  4.5299e-01  4.5115e-01  4.0608e-01  3.7863e-01  3.3835e-01  2.3966e-01  1.2356e-01  8.7274e-02  5.5562e-02  3.7526e-02  2.1295e-02  1.7746e-02  1.1595e-02  7.4243e-03  6.3523e-03  4.6107e-03  2.3303e-03  1.2094e-04  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
