 iy/ix           1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17          18          19          20          21          22          23          24          25          26          27          28          29          30          31          32          33          34          35          36          37          38          39          40
     1  4.9047e-03  1.1449e-02  1.7010e-02  2.6113e-02  4.7899e-02  7.0256e-02  1.1200e-01  1.7718e-01  2.8632e-01  5.1735e-01  8.3447e-01  8.7737e-01  8.9466e-01  9.0446e-01  9.1833e-01  9.1534e-01  9.2007e-01  9.1354e-01  9.1675e-01  9.0276e-01  8.9294e-01  8.8798e-01  8.9283e-01  8.8596e-01  9.0702e-01  9.1538e-01  9.1537e-01  9.1587e-01  9.2061e-01  9.2404e-01  9.2052e-01  9.1684e-01  9.1331e-01  9.2002e-01  9.2253e-01  9.2907e-01  9.5626e-01  1.0147e+00  1.1532e+00  1.5981e+00
     2  1.3394e-02  1.7493e-02  2.2986e-02  3.6403e-02  4.9743e-02  7.4837e-02  1.0725e-01  1.7367e-01  2.8736e-01  5.2014e-01  8.2842e-01  8.7814e-01  8.9626e-01  9.0679e-01  9.0272e-01  9.1271e-01  9.1113e-01  9.1345e-01  9.1549e-01  9.0110e-01  8.9869e-01  8.9311e-01  8.8792e-01  8.9774e-01  9.1317e-01  9.1580e-01  9.2501e-01  9.1460e-01  9.0849e-01  9.1104e-01  9.1671e-01  9.1088e-01  9.1554e-01  9.2379e-01  9.2394e-01  9.3151e-01  9.5704e-01  1.0098e+00  1.1499e+00  1.5980e+00
     3  2.6841e-02  1.9740e-02  2.4745e-02  3.9211e-02  5.8993e-02  7.8278e-02  1.1494e-01  1.7711e-01  2.7928e-01  5.2478e-01  8.3007e-01  8.7655e-01  8.9400e-01  8.9872e-01  9.1655e-01  9.1900e-01  9.1623e-01  9.2121e-01  9.0867e-01  9.0199e-01  8.9139e-01  8.8626e-01  8.9016e-01  8.9762e-01  9.1748e-01  9.2158e-01  9.1662e-01  9.2278e-01  9.1306e-01  9.1249e-01  9.2703e-01  9.2706e-01  9.2702e-01  9.2390e-01  9.2960e-01  9.3260e-01  9.4846e-01  1.0066e+00  1.1392e+00  1.5940e+00
     4  4.0429e-02  3.1692e-02  3.2083e-02  4.2756e-02  5.1329e-02  8.6971e-02  1.1610e-01  1.7550e-01  2.8991e-01  5.2198e-01  8.4551e-01  8.8176e-01  8.9990e-01  9.1034e-01  9.1157e-01  9.1340e-01  9.1877e-01  9.2092e-01  9.1646e-01  9.1025e-01  8.9492e-01  8.9223e-01  8.9530e-01  8.9916e-01  9.2480e-01  9.2116e-01  9.1367e-01  9.1570e-01  9.1143e-01  9.1269e-01  9.1324e-01  9.1743e-01  9.0892e-01  9.1379e-01  9.1756e-01  9.2479e-01  9.4590e-01  9.9774e-01  1.1388e+00  1.5895e+00
     5  5.1167e-02  5.3463e-02  5.2176e-02  6.0439e-02  5.8142e-02  8.4287e-02  1.2320e-01  1.7501e-01  2.8870e-01  5.2294e-01  8.4635e-01  8.8919e-01  9.0805e-01  9.2201e-01  9.2218e-01  9.1853e-01  9.1972e-01  9.2422e-01  9.1548e-01  9.0887e-01  8.9558e-01  8.8892e-01  8.8857e-01  8.9324e-01  9.1047e-01  9.1473e-01  9.1032e-01  9.1237e-01  9.0884e-01  9.1149e-01  9.1634e-01  9.1527e-01  9.1077e-01  9.1024e-01  9.0673e-01  9.1937e-01  9.4331e-01  9.9671e-01  1.1383e+00  1.5838e+00
     6  7.3546e-02  7.8353e-02  7.8645e-02  8.4081e-02  8.1856e-02  9.6378e-02  1.3226e-01  1.8799e-01  2.8794e-01  5.2759e-01  8.6098e-01  9.0283e-01  9.2182e-01  9.3103e-01  9.3879e-01  9.3982e-01  9.4356e-01  9.4078e-01  9.2901e-01  9.1613e-01  8.9280e-01  8.8855e-01  8.9194e-01  8.9106e-01  9.0736e-01  9.1980e-01  9.1556e-01  9.1375e-01  9.0382e-01  9.0354e-01  9.0815e-01  9.1251e-01  8.9746e-01  8.9548e-01  8.9481e-01  9.0998e-01  9.3498e-01  9.8795e-01  1.1210e+00  1.5728e+00
     7  1.1650e-01  1.1294e-01  1.1512e-01  1.1519e-01  1.2579e-01  1.2868e-01  1.5566e-01  1.9951e-01  3.0469e-01  5.3657e-01  8.7884e-01  9.3025e-01  9.4177e-01  9.4446e-01  9.5003e-01  9.5046e-01  9.5552e-01  9.4382e-01  9.3347e-01  9.2031e-01  8.9764e-01  8.8967e-01  8.8523e-01  8.9384e-01  9.1054e-01  9.1308e-01  9.0955e-01  9.0843e-01  9.0253e-01  8.9915e-01  8.9799e-01  8.8354e-01  8.8297e-01  8.7886e-01  8.9236e-01  9.0015e-01  9.1951e-01  9.7206e-01  1.1101e+00  1.5552e+00
     8  1.8148e-01  1.7303e-01  1.7866e-01  1.7704e-01  1.7870e-01  1.8519e-01  2.0501e-01  2.3848e-01  3.2794e-01  5.5554e-01  9.1421e-01  9.5907e-01  9.6002e-01  9.5524e-01  9.5034e-01  9.5588e-01  9.5938e-01  9.5904e-01  9.4462e-01  9.2519e-01  8.9953e-01  8.9448e-01  8.8931e-01  8.8703e-01  8.9618e-01  8.9679e-01  8.9441e-01  8.8824e-01  8.9713e-01  8.8431e-01  8.7867e-01  8.7106e-01  8.5898e-01  8.6368e-01  8.6737e-01  8.7466e-01  9.0319e-01  9.6319e-01  1.0985e+00  1.5469e+00
     9  2.9033e-01  2.8462e-01  2.8170e-01  2.8311e-01  2.8920e-01  2.9561e-01  2.9778e-01  3.2576e-01  3.8856e-01  6.0514e-01  9.6822e-01  9.9747e-01  9.9884e-01  9.8804e-01  9.7577e-01  9.6635e-01  9.5827e-01  9.4982e-01  9.4950e-01  9.3440e-01  9.0403e-01  8.9447e-01  8.9344e-01  8.9221e-01  8.8980e-01  8.9909e-01  8.9456e-01  8.8380e-01  8.7050e-01  8.6066e-01  8.4588e-01  8.4867e-01  8.3887e-01  8.3372e-01  8.4158e-01  8.4566e-01  8.8109e-01  9.3701e-01  1.0819e+00  1.5339e+00
    10  5.1818e-01  5.1730e-01  5.1894e-01  5.2110e-01  5.2948e-01  5.3098e-01  5.3500e-01  5.5646e-01  5.9603e-01  7.4358e-01  1.0474e+00  1.0340e+00  1.0130e+00  9.9924e-01  9.9341e-01  9.7866e-01  9.6491e-01  9.6198e-01  9.4949e-01  9.4363e-01  8.9750e-01  8.8893e-01  8.9056e-01  8.8420e-01  8.8257e-01  8.7592e-01  8.5868e-01  8.5545e-01  8.4861e-01  8.3163e-01  8.2336e-01  8.0711e-01  8.0418e-01  8.0626e-01  8.1435e-01  8.3099e-01  8.6542e-01  9.2742e-01  1.0782e+00  1.5304e+00
