 iy/ix           1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17          18          19          20          21          22          23          24          25          26          27          28          29          30          31          32          33          34          35          36          37          38          39          40
     1 -4.7023e-03 -7.6249e-03 -6.1237e-03  2.2875e-03 -4.2287e-03 -2.2887e-03 -2.7934e-03 -8.9998e-03 -3.7034e-03 -3.5825e-03 -2.2202e-03 -4.8681e-03 -7.2478e-03 -5.4568e-03 -1.2011e-02 -1.2576e-02 -1.2529e-02 -1.2696e-02 -1.1673e-02 -1.1308e-02 -4.8915e-03 -3.8305e-03  1.9811e-03  5.5800e-04 -6.4440e-03 -1.2989e-02 -9.1127e-03 -1.5419e-03 -1.1489e-02 -1.6556e-02 -6.6482e-03 -8.9360e-03 -8.8280e-03 -1.0786e-02 -4.0999e-03 -4.5887e-03 -3.7605e-03 -2.7883e-03 -7.8261e-03 -3.7767e-03
     2 -1.3281e-02 -1.4293e-02 -9.0205e-03 -1.3502e-02 -8.3104e-03 -1.0375e-02 -1.0202e-02 -9.8695e-03 -1.3230e-02 -1.3697e-02 -1.3455e-02 -1.0780e-02 -1.9349e-02 -2.8477e-02 -3.1938e-02 -3.1875e-02 -2.8409e-02 -2.7242e-02 -3.0947e-02 -3.6683e-02 -2.0714e-02 -9.3314e-03 -9.8932e-03 -1.0121e-02 -2.1175e-02 -2.6411e-02 -2.7303e-02 -2.6096e-02 -2.8371e-02 -3.5617e-02 -3.1579e-02 -3.2364e-02 -2.0223e-02 -2.5717e-02 -1.7970e-02 -2.0256e-02 -1.6247e-02 -1.2440e-02 -1.1796e-02 -1.4575e-02
     3 -2.6762e-02 -1.8689e-02 -1.8085e-02 -1.6787e-02 -1.9829e-02 -2.3927e-02 -1.6958e-02 -1.2729e-02 -1.9531e-02 -2.2315e-02 -2.2607e-02 -3.1992e-02 -3.3653e-02 -4.2396e-02 -5.1695e-02 -4.7483e-02 -5.6638e-02 -6.1178e-02 -5.3671e-02 -6.1048e-02 -2.7652e-02 -1.6858e-02 -1.5379e-02 -2.0272e-02 -3.9817e-02 -4.3742e-02 -5.2695e-02 -4.7894e-02 -5.0051e-02 -4.8261e-02 -5.8698e-02 -4.8644e-02 -4.6942e-02 -4.3575e-02 -4.3374e-02 -3.4007e-02 -3.2348e-02 -3.0738e-02 -2.5968e-02 -2.6839e-02
     4 -4.0063e-02 -3.0856e-02 -2.6534e-02 -3.4583e-02 -2.8417e-02 -3.7184e-02 -2.8550e-02 -2.7583e-02 -2.7125e-02 -2.4305e-02 -4.0084e-02 -5.2387e-02 -5.6765e-02 -6.0186e-02 -6.7746e-02 -7.7802e-02 -8.1859e-02 -8.5333e-02 -8.3566e-02 -7.8404e-02 -3.9206e-02 -2.5263e-02 -2.0950e-02 -2.3707e-02 -5.8009e-02 -6.3736e-02 -7.3754e-02 -6.9741e-02 -7.1546e-02 -6.7906e-02 -7.0964e-02 -6.9096e-02 -6.5544e-02 -6.2133e-02 -6.0283e-02 -5.1777e-02 -4.5077e-02 -3.8168e-02 -3.2095e-02 -3.0980e-02
     5 -5.0643e-02 -5.1690e-02 -4.8699e-02 -5.4694e-02 -4.2776e-02 -4.7242e-02 -5.0690e-02 -3.6490e-02 -4.6792e-02 -3.3701e-02 -6.6703e-02 -7.4022e-02 -8.5212e-02 -9.6484e-02 -1.0074e-01 -1.0062e-01 -1.1326e-01 -1.0912e-01 -1.0265e-01 -1.0934e-01 -5.2624e-02 -3.0447e-02 -2.2802e-02 -2.4167e-02 -7.1478e-02 -8.9665e-02 -9.8453e-02 -9.1409e-02 -9.3349e-02 -8.8799e-02 -9.0346e-02 -8.8333e-02 -8.3005e-02 -6.9074e-02 -6.5430e-02 -6.0521e-02 -5.2314e-02 -4.5324e-02 -3.2626e-02 -3.1983e-02
     6 -7.3532e-02 -7.8104e-02 -7.7393e-02 -7.9819e-02 -6.8268e-02 -6.8919e-02 -7.3678e-02 -6.6419e-02 -6.1389e-02 -6.3824e-02 -9.7819e-02 -1.0978e-01 -1.1615e-01 -1.3485e-01 -1.4289e-01 -1.3787e-01 -1.4440e-01 -1.3963e-01 -1.4561e-01 -1.3445e-01 -6.5555e-02 -3.3941e-02 -3.9290e-02 -3.3001e-02 -8.0871e-02 -1.1266e-01 -1.1804e-01 -1.1931e-01 -1.1138e-01 -1.1095e-01 -1.0166e-01 -1.0501e-01 -9.3587e-02 -8.0294e-02 -7.1820e-02 -5.8870e-02 -5.2514e-02 -4.3588e-02 -2.7349e-02 -3.1380e-02
     7 -1.1649e-01 -1.1265e-01 -1.1338e-01 -1.1157e-01 -1.1621e-01 -1.0686e-01 -1.0902e-01 -1.0369e-01 -1.0144e-01 -1.0407e-01 -1.4021e-01 -1.6047e-01 -1.6993e-01 -1.8111e-01 -1.8172e-01 -1.8948e-01 -1.9419e-01 -1.8016e-01 -1.8057e-01 -1.7555e-01 -8.7665e-02 -4.4923e-02 -4.0464e-02 -4.6882e-02 -9.9931e-02 -1.3126e-01 -1.4298e-01 -1.4446e-01 -1.3286e-01 -1.2445e-01 -1.1664e-01 -1.1050e-01 -9.8330e-02 -8.0784e-02 -6.1840e-02 -6.2515e-02 -4.1948e-02 -3.5732e-02 -1.8569e-02 -4.1895e-03
     8 -1.8146e-01 -1.7279e-01 -1.7809e-01 -1.7457e-01 -1.7169e-01 -1.7125e-01 -1.7288e-01 -1.6511e-01 -1.6536e-01 -1.6313e-01 -2.1040e-01 -2.2845e-01 -2.4285e-01 -2.4594e-01 -2.4681e-01 -2.3587e-01 -2.3878e-01 -2.3445e-01 -2.2465e-01 -2.0812e-01 -1.0785e-01 -5.3161e-02 -4.9918e-02 -4.0687e-02 -1.1718e-01 -1.5143e-01 -1.5678e-01 -1.5230e-01 -1.4737e-01 -1.3457e-01 -1.2334e-01 -1.0834e-01 -8.4540e-02 -7.0965e-02 -5.9050e-02 -3.8075e-02 -3.2035e-02 -5.8001e-03  1.4790e-03  2.3595e-02
     9 -2.9028e-01 -2.8430e-01 -2.8089e-01 -2.8095e-01 -2.8575e-01 -2.8779e-01 -2.7759e-01 -2.7952e-01 -2.7364e-01 -2.7539e-01 -3.3209e-01 -3.4311e-01 -3.4425e-01 -3.3173e-01 -3.1200e-01 -3.0065e-01 -2.8950e-01 -2.8276e-01 -2.7478e-01 -2.5195e-01 -1.2803e-01 -6.6182e-02 -5.9311e-02 -5.3915e-02 -1.3452e-01 -1.6324e-01 -1.7114e-01 -1.6656e-01 -1.5089e-01 -1.3496e-01 -1.1025e-01 -8.7209e-02 -6.5296e-02 -4.2217e-02 -2.0873e-02 -1.3742e-02  7.4605e-03  1.7860e-02  4.3717e-02  5.9036e-02
    10 -5.1818e-01 -5.1707e-01 -5.1818e-01 -5.1988e-01 -5.2728e-01 -5.2594e-01 -5.2270e-01 -5.2949e-01 -5.2664e-01 -5.2838e-01 -5.4566e-01 -4.9384e-01 -4.5995e-01 -4.2320e-01 -4.0069e-01 -3.7271e-01 -3.4963e-01 -3.3834e-01 -3.1600e-01 -2.9887e-01 -1.5112e-01 -8.5846e-02 -6.1103e-02 -5.9158e-02 -1.4955e-01 -1.7429e-01 -1.7901e-01 -1.7118e-01 -1.4164e-01 -1.1402e-01 -7.9563e-02 -5.3445e-02 -3.0547e-02  7.2900e-04  2.7876e-02  3.6734e-02  5.7538e-02  6.7428e-02  8.7888e-02  1.1723e-01
