 iy/ix           1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17          18          19          20          21          22          23          24          25          26          27          28          29          30          31          32          33          34          35          36          37          38          39          40
     1  1.7838e+02  2.3482e+02  2.4941e+02  2.5394e+02  2.5443e+02  2.5110e+02  2.4277e+02  2.2828e+02  2.0957e+02  1.8114e+02  1.4504e+02  1.3275e+02  1.2468e+02  1.1859e+02  1.1439e+02  1.1111e+02  1.0654e+02  1.0415e+02  9.9545e+01  9.2547e+01  8.4027e+01  5.3853e+01  4.3048e+01  3.7837e+01  4.1103e+01  4.8015e+01  5.1927e+01  5.3928e+01  5.5368e+01  5.6733e+01  5.7393e+01  5.8096e+01  5.8278e+01  5.8746e+01  5.9390e+01  5.8918e+01  5.8358e+01  5.7836e+01  5.7194e+01  5.6977e+01
     2  2.3377e+02  2.9961e+02  3.2054e+02  3.2641e+02  3.2598e+02  3.2040e+02  3.1118e+02  2.9492e+02  2.7067e+02  2.3449e+02  1.8512e+02  1.6708e+02  1.5604e+02  1.4751e+02  1.4169e+02  1.3611e+02  1.2984e+02  1.2537e+02  1.2100e+02  1.1377e+02  1.0297e+02  6.9385e+01  5.7651e+01  5.0362e+01  5.2082e+01  5.8048e+01  6.0696e+01  6.1917e+01  6.3354e+01  6.4631e+01  6.5271e+01  6.5598e+01  6.5839e+01  6.5689e+01  6.6040e+01  6.5632e+01  6.5323e+01  6.5508e+01  6.5088e+01  6.4531e+01
     3  2.5058e+02  3.1908e+02  3.3696e+02  3.4426e+02  3.4360e+02  3.3737e+02  3.2833e+02  3.1296e+02  2.8744e+02  2.4879e+02  1.9788e+02  1.8041e+02  1.6893e+02  1.5931e+02  1.5265e+02  1.4585e+02  1.4092e+02  1.3624e+02  1.3163e+02  1.2335e+02  1.0835e+02  7.2762e+01  6.0550e+01  5.4396e+01  5.9217e+01  6.5780e+01  6.7815e+01  6.8617e+01  6.9476e+01  6.9843e+01  7.0145e+01  7.0627e+01  7.0845e+01  7.0969e+01  7.0226e+01  6.9886e+01  6.9762e+01  7.0117e+01  6.9923e+01  6.9349e+01
     4  2.5453e+02  3.2766e+02  3.4475e+02  3.4854e+02  3.4849e+02  3.4071e+02  3.3228e+02  3.1577e+02  2.9159e+02  2.5394e+02  2.0200e+02  1.8341e+02  1.7403e+02  1.6520e+02  1.5866e+02  1.5250e+02  1.4610e+02  1.4184e+02  1.3706e+02  1.2910e+02  1.1204e+02  7.3900e+01  6.1750e+01  5.4855e+01  6.1598e+01  7.0474e+01  7.3752e+01  7.4828e+01  7.5467e+01  7.5209e+01  7.6022e+01  7.5608e+01  7.5086e+01  7.5673e+01  7.5773e+01  7.5383e+01  7.5087e+01  7.4747e+01  7.4291e+01  7.3245e+01
     5  2.5314e+02  3.2748e+02  3.4257e+02  3.4704e+02  3.4839e+02  3.4121e+02  3.3063e+02  3.1672e+02  2.9056e+02  2.5429e+02  2.0011e+02  1.8266e+02  1.7335e+02  1.6618e+02  1.6008e+02  1.5542e+02  1.5017e+02  1.4459e+02  1.3966e+02  1.2986e+02  1.1326e+02  7.5440e+01  6.2414e+01  5.5873e+01  6.3534e+01  7.3705e+01  7.7130e+01  7.9731e+01  8.0453e+01  8.0416e+01  7.9624e+01  8.0706e+01  7.9528e+01  8.0478e+01  8.0862e+01  8.0024e+01  7.9696e+01  7.9223e+01  7.8479e+01  7.7604e+01
     6  2.5083e+02  3.2234e+02  3.3965e+02  3.4242e+02  3.4176e+02  3.3543e+02  3.2581e+02  3.1140e+02  2.8862e+02  2.4910e+02  1.9765e+02  1.8096e+02  1.7202e+02  1.6392e+02  1.5942e+02  1.5478e+02  1.5029e+02  1.4547e+02  1.4087e+02  1.3262e+02  1.1530e+02  7.5946e+01  6.2548e+01  5.6203e+01  6.5069e+01  7.5481e+01  8.0556e+01  8.2679e+01  8.4180e+01  8.4805e+01  8.4818e+01  8.5181e+01  8.4744e+01  8.4926e+01  8.4588e+01  8.4760e+01  8.4294e+01  8.3476e+01  8.2066e+01  8.1669e+01
     7  2.4191e+02  3.1037e+02  3.2823e+02  3.3435e+02  3.3093e+02  3.2618e+02  3.1937e+02  3.0376e+02  2.8059e+02  2.4335e+02  1.9192e+02  1.7550e+02  1.6841e+02  1.6187e+02  1.5597e+02  1.5147e+02  1.4783e+02  1.4402e+02  1.3866e+02  1.3122e+02  1.1437e+02  7.5828e+01  6.3040e+01  5.6552e+01  6.5791e+01  7.6852e+01  8.2351e+01  8.4986e+01  8.7242e+01  8.7890e+01  8.8976e+01  8.9614e+01  8.8920e+01  8.9191e+01  8.9463e+01  8.9911e+01  9.0206e+01  8.9232e+01  8.7670e+01  8.7755e+01
     8  2.2902e+02  2.9464e+02  3.1378e+02  3.1699e+02  3.1611e+02  3.1356e+02  3.0388e+02  2.8958e+02  2.6967e+02  2.3545e+02  1.8336e+02  1.7120e+02  1.6090e+02  1.5699e+02  1.5331e+02  1.4827e+02  1.4535e+02  1.4118e+02  1.3859e+02  1.2900e+02  1.1283e+02  7.4502e+01  6.1366e+01  5.6139e+01  6.6456e+01  7.8012e+01  8.3611e+01  8.7526e+01  8.9810e+01  9.2208e+01  9.3105e+01  9.3646e+01  9.4748e+01  9.5201e+01  9.5410e+01  9.6911e+01  9.6447e+01  9.5516e+01  9.4063e+01  9.2487e+01
     9  2.0978e+02  2.7182e+02  2.8603e+02  2.9215e+02  2.9106e+02  2.8729e+02  2.7771e+02  2.6696e+02  2.4976e+02  2.1847e+02  1.7000e+02  1.5835e+02  1.5260e+02  1.5072e+02  1.4705e+02  1.4333e+02  1.4140e+02  1.3866e+02  1.3494e+02  1.2798e+02  1.1122e+02  7.2963e+01  6.1350e+01  5.5524e+01  6.5966e+01  7.8515e+01  8.4579e+01  8.9110e+01  9.2701e+01  9.5139e+01  9.7856e+01  9.9149e+01  1.0088e+02  1.0158e+02  1.0214e+02  1.0328e+02  1.0237e+02  1.0131e+02  9.9476e+01  9.7924e+01
    10  1.8207e+02  2.3473e+02  2.4991e+02  2.5382e+02  2.5384e+02  2.4994e+02  2.4442e+02  2.3328e+02  2.1814e+02  1.9236e+02  1.5214e+02  1.4661e+02  1.4524e+02  1.4399e+02  1.4039e+02  1.3870e+02  1.3728e+02  1.3463e+02  1.3225e+02  1.2466e+02  1.0898e+02  7.2971e+01  6.0912e+01  5.5534e+01  6.5708e+01  7.8219e+01  8.6058e+01  9.0746e+01  9.5008e+01  9.8925e+01  1.0219e+02  1.0453e+02  1.0680e+02  1.0796e+02  1.0870e+02  1.0788e+02  1.0727e+02  1.0384e+02  1.0252e+02  9.9532e+01
