 iy/ix           1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17          18          19          20          21          22          23          24          25          26          27          28          29          30          31          32          33          34          35          36          37          38          39          40
     1  7.4636e-03  9.4703e-03  2.3698e-02  4.9656e-02  7.4401e-02  1.0648e-01  1.5877e-01  2.3374e-01  3.4075e-01  4.9690e-01  5.0233e-01  3.4083e-01  2.3576e-01  1.6411e-01  1.1329e-01  7.8035e-02  5.4431e-02  3.7344e-02  2.5664e-02  1.7727e-02  6.8490e-03  1.1614e-03  1.9688e-04  3.3118e-05  1.0130e-05  7.0177e-06  4.8795e-06  3.3735e-06  2.3601e-06  1.6341e-06  1.1323e-06  7.8602e-07  5.4535e-07  3.7599e-07  2.6111e-07  1.8275e-07  1.2934e-07  9.1886e-08  6.7092e-08  5.1202e-08
     2  2.8463e-03  1.9087e-02  3.6432e-02  5.1355e-02  8.3144e-02  1.1539e-01  1.5500e-01  2.3131e-01  3.4283e-01  5.0547e-01  5.0152e-01  3.4302e-01  2.3729e-01  1.6341e-01  1.1292e-01  7.7594e-02  5.3130e-02  3.6998e-02  2.5747e-02  1.7683e-02  6.8484e-03  1.1559e-03  1.9671e-04  3.3151e-05  1.0062e-05  6.9325e-06  4.8415e-06  3.3762e-06  2.3256e-06  1.6084e-06  1.1078e-06  7.6855e-07  5.3253e-07  3.7075e-07  2.5823e-07  1.8047e-07  1.2767e-07  9.1586e-08  6.6683e-08  5.1222e-08
     3  8.4361e-03  1.4733e-02  3.2955e-02  5.5135e-02  8.7409e-02  1.1582e-01  1.6437e-01  2.4247e-01  3.4800e-01  5.0624e-01  5.0465e-01  3.4438e-01  2.3510e-01  1.6145e-01  1.1146e-01  7.6607e-02  5.2423e-02  3.6535e-02  2.5280e-02  1.7424e-02  6.7421e-03  1.1415e-03  1.9166e-04  3.2035e-05  9.7937e-06  6.8956e-06  4.7896e-06  3.3063e-06  2.3032e-06  1.5821e-06  1.0909e-06  7.5280e-07  5.2378e-07  3.6699e-07  2.5891e-07  1.7947e-07  1.2559e-07  8.9463e-08  6.5932e-08  5.0508e-08
     4  6.2956e-03  1.4277e-02  2.0078e-02  4.5526e-02  6.5012e-02  1.1313e-01  1.6012e-01  2.3327e-01  3.4122e-01  4.9607e-01  4.9819e-01  3.3562e-01  2.3060e-01  1.5828e-01  1.0913e-01  7.5721e-02  5.2425e-02  3.5841e-02  2.4585e-02  1.6965e-02  6.5506e-03  1.0944e-03  1.8597e-04  3.1882e-05  9.7189e-06  6.7580e-06  4.6823e-06  3.2328e-06  2.2165e-06  1.5302e-06  1.0630e-06  7.4148e-07  5.1503e-07  3.6116e-07  2.5137e-07  1.7643e-07  1.2407e-07  8.8858e-08  6.5222e-08  5.0509e-08
     5  1.2234e-02  2.7210e-02  3.5712e-02  4.3121e-02  5.5752e-02  1.0463e-01  1.6284e-01  2.2632e-01  3.3128e-01  4.9267e-01  4.9102e-01  3.2894e-01  2.2421e-01  1.5417e-01  1.0643e-01  7.1872e-02  4.9421e-02  3.4191e-02  2.3568e-02  1.6192e-02  6.2865e-03  1.0612e-03  1.8019e-04  3.0604e-05  9.2938e-06  6.4612e-06  4.4805e-06  3.1061e-06  2.1536e-06  1.4976e-06  1.0388e-06  7.2111e-07  4.9969e-07  3.4622e-07  2.4259e-07  1.7058e-07  1.2078e-07  8.7018e-08  6.3897e-08  4.9488e-08
     6  7.9971e-04  1.5840e-02  2.3108e-02  3.4996e-02  6.5810e-02  9.8402e-02  1.4917e-01  2.1818e-01  3.1867e-01  4.7432e-01  4.7702e-01  3.2126e-01  2.1705e-01  1.4738e-01  1.0145e-01  6.9696e-02  4.7530e-02  3.2570e-02  2.2358e-02  1.5413e-02  5.9412e-03  1.0169e-03  1.7226e-04  2.9499e-05  8.8931e-06  6.0825e-06  4.2672e-06  2.9790e-06  2.0596e-06  1.4284e-06  9.9740e-07  6.8893e-07  4.7741e-07  3.3165e-07  2.3401e-07  1.6433e-07  1.1800e-07  8.4983e-08  6.2612e-08  4.8538e-08
     7  7.7432e-03  1.4676e-02  3.0499e-02  3.8710e-02  6.3786e-02  9.2497e-02  1.3990e-01  2.0452e-01  3.1444e-01  4.6253e-01  4.6534e-01  3.0899e-01  2.0804e-01  1.3992e-01  9.4678e-02  6.4551e-02  4.4601e-02  3.0800e-02  2.0959e-02  1.4398e-02  5.5443e-03  9.3623e-04  1.5906e-04  2.6756e-05  8.2701e-06  5.7027e-06  3.9650e-06  2.7631e-06  1.9180e-06  1.3347e-06  9.2492e-07  6.4403e-07  4.4975e-07  3.2027e-07  2.2425e-07  1.5813e-07  1.1333e-07  8.1716e-08  6.1506e-08  4.8196e-08
     8  6.8522e-03  1.6523e-02  2.1182e-02  3.8844e-02  6.2630e-02  8.6288e-02  1.3513e-01  1.9438e-01  2.9372e-01  4.4176e-01  4.4184e-01  2.8829e-01  1.9125e-01  1.3032e-01  8.7809e-02  6.0070e-02  4.1419e-02  2.7981e-02  1.9469e-02  1.3336e-02  5.1250e-03  8.6177e-04  1.4521e-04  2.4406e-05  7.4791e-06  5.2545e-06  3.6596e-06  2.5321e-06  1.7524e-06  1.2306e-06  8.6270e-07  6.0691e-07  4.2928e-07  3.0159e-07  2.1486e-07  1.5371e-07  1.1112e-07  8.1379e-08  6.0979e-08  4.8053e-08
     9  7.0764e-03  1.7672e-02  2.6964e-02  3.9211e-02  5.1293e-02  7.6822e-02  1.1437e-01  1.7151e-01  2.5745e-01  4.0022e-01  3.9359e-01  2.5348e-01  1.6754e-01  1.1312e-01  7.7045e-02  5.2265e-02  3.5856e-02  2.4883e-02  1.7148e-02  1.2007e-02  4.6294e-03  7.7974e-04  1.3121e-04  2.2277e-05  6.7011e-06  4.6898e-06  3.2660e-06  2.2909e-06  1.6264e-06  1.1384e-06  8.0624e-07  5.7357e-07  4.1071e-07  2.9055e-07  2.0814e-07  1.4957e-07  1.0850e-07  8.0562e-08  6.0999e-08  4.8303e-08
    10  1.8640e-03  1.3117e-02  2.3687e-02  2.7557e-02  4.4390e-02  6.8939e-02  1.0056e-01  1.3887e-01  2.0482e-01  3.1711e-01  3.1748e-01  2.0409e-01  1.3909e-01  9.4160e-02  6.5051e-02  4.5225e-02  3.1121e-02  2.1551e-02  1.5098e-02  1.0675e-02  4.1421e-03  6.9753e-04  1.1779e-04  1.9830e-05  5.9754e-06  4.1358e-06  2.9275e-06  2.0592e-06  1.4704e-06  1.0454e-06  7.4540e-07  5.3152e-07  3.8390e-07  2.7896e-07  2.0033e-07  1.4775e-07  1.0771e-07  7.9711e-08  6.1687e-08  4.9500e-08
