 iy/ix           1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17          18          19          20          21          22          23          24          25          26          27          28          29          30          31          32          33          34          35          36          37          38          39          40
     1  1.4326e-01  1.4317e-01  1.4402e-01  1.4424e-01  1.4364e-01  1.4403e-01  1.4443e-01  1.4580e-01  1.4868e-01  1.5768e-01  1.7105e-01  1.7590e-01  1.7653e-01  1.7671e-01  1.7958e-01  1.7893e-01  1.7989e-01  1.7862e-01  1.7869e-01  1.7700e-01  3.9224e-01  3.9096e-01  3.9546e-01  3.9190e-01  1.7693e-01  1.7763e-01  1.7796e-01  1.7778e-01  1.7815e-01  1.7973e-01  1.7985e-01  1.8022e-01  1.8017e-01  1.8063e-01  1.8060e-01  1.8060e-01  1.8294e-01  1.8671e-01  1.9722e-01  2.3846e-01
     2  1.4378e-01  1.4407e-01  1.4413e-01  1.4401e-01  1.4420e-01  1.4387e-01  1.4497e-01  1.4586e-01  1.4849e-01  1.5754e-01  1.7040e-01  1.7612e-01  1.7741e-01  1.7832e-01  1.7887e-01  1.7929e-01  1.7732e-01  1.7819e-01  1.7911e-01  1.7780e-01  3.9623e-01  3.9098e-01  3.9128e-01  3.9266e-01  1.7898e-01  1.7806e-01  1.7887e-01  1.7925e-01  1.7838e-01  1.7794e-01  1.7900e-01  1.7716e-01  1.7769e-01  1.7939e-01  1.8043e-01  1.8116e-01  1.8336e-01  1.8705e-01  1.9898e-01  2.4105e-01
     3  1.4347e-01  1.4433e-01  1.4421e-01  1.4415e-01  1.4442e-01  1.4379e-01  1.4486e-01  1.4616e-01  1.4782e-01  1.5787e-01  1.7150e-01  1.7704e-01  1.7973e-01  1.7958e-01  1.8103e-01  1.7903e-01  1.7874e-01  1.7926e-01  1.7983e-01  1.7947e-01  3.9261e-01  3.9310e-01  3.9043e-01  3.8993e-01  1.7783e-01  1.7952e-01  1.7954e-01  1.7950e-01  1.7869e-01  1.7819e-01  1.7876e-01  1.7841e-01  1.7752e-01  1.7915e-01  1.8007e-01  1.7976e-01  1.8202e-01  1.8666e-01  1.9817e-01  2.4284e-01
     4  1.4360e-01  1.4404e-01  1.4471e-01  1.4488e-01  1.4442e-01  1.4457e-01  1.4555e-01  1.4590e-01  1.4816e-01  1.5816e-01  1.7238e-01  1.7636e-01  1.7997e-01  1.7948e-01  1.7982e-01  1.8118e-01  1.8192e-01  1.8232e-01  1.8069e-01  1.8000e-01  3.9313e-01  3.8877e-01  3.9228e-01  3.9095e-01  1.8039e-01  1.8014e-01  1.7823e-01  1.7870e-01  1.7794e-01  1.7840e-01  1.7887e-01  1.7986e-01  1.7828e-01  1.7878e-01  1.8034e-01  1.7922e-01  1.8148e-01  1.8729e-01  1.9945e-01  2.4201e-01
     5  1.4425e-01  1.4398e-01  1.4461e-01  1.4522e-01  1.4523e-01  1.4514e-01  1.4511e-01  1.4556e-01  1.4877e-01  1.5794e-01  1.7144e-01  1.7618e-01  1.7876e-01  1.8019e-01  1.8173e-01  1.8029e-01  1.8151e-01  1.8187e-01  1.8070e-01  1.8010e-01  3.9800e-01  3.9760e-01  3.9465e-01  3.9813e-01  1.8031e-01  1.7943e-01  1.7906e-01  1.7920e-01  1.7959e-01  1.7994e-01  1.7998e-01  1.8056e-01  1.7854e-01  1.7807e-01  1.7722e-01  1.7918e-01  1.8138e-01  1.8558e-01  1.9728e-01  2.3872e-01
     6  1.4500e-01  1.4419e-01  1.4447e-01  1.4517e-01  1.4534e-01  1.4554e-01  1.4532e-01  1.4624e-01  1.4854e-01  1.5732e-01  1.7227e-01  1.7801e-01  1.7976e-01  1.8172e-01  1.8271e-01  1.8217e-01  1.8277e-01  1.8225e-01  1.8010e-01  1.8080e-01  3.9676e-01  3.9767e-01  3.9650e-01  4.0342e-01  1.8230e-01  1.8174e-01  1.8072e-01  1.8033e-01  1.7836e-01  1.7976e-01  1.8025e-01  1.7967e-01  1.7819e-01  1.7679e-01  1.7692e-01  1.7887e-01  1.8156e-01  1.8560e-01  1.9744e-01  2.3858e-01
     7  1.4548e-01  1.4496e-01  1.4472e-01  1.4505e-01  1.4556e-01  1.4529e-01  1.4616e-01  1.4736e-01  1.4953e-01  1.5869e-01  1.7462e-01  1.8055e-01  1.8281e-01  1.8373e-01  1.8259e-01  1.8236e-01  1.8400e-01  1.8455e-01  1.8155e-01  1.8009e-01  3.9542e-01  3.9559e-01  4.0002e-01  4.0048e-01  1.8210e-01  1.8112e-01  1.8052e-01  1.7941e-01  1.7928e-01  1.7894e-01  1.7886e-01  1.7942e-01  1.7819e-01  1.7824e-01  1.7830e-01  1.7803e-01  1.7976e-01  1.8357e-01  1.9683e-01  2.3846e-01
     8  1.4659e-01  1.4651e-01  1.4624e-01  1.4591e-01  1.4583e-01  1.4660e-01  1.4710e-01  1.4686e-01  1.4879e-01  1.5966e-01  1.7737e-01  1.8484e-01  1.8352e-01  1.8451e-01  1.8410e-01  1.8443e-01  1.8369e-01  1.8255e-01  1.8281e-01  1.8021e-01  3.9183e-01  3.9357e-01  3.9686e-01  3.9910e-01  1.8069e-01  1.8151e-01  1.7949e-01  1.7869e-01  1.7874e-01  1.7753e-01  1.7813e-01  1.7753e-01  1.7617e-01  1.7578e-01  1.7643e-01  1.7656e-01  1.7851e-01  1.8355e-01  1.9595e-01  2.3644e-01
     9  1.4951e-01  1.4924e-01  1.4828e-01  1.4850e-01  1.4839e-01  1.4840e-01  1.4830e-01  1.4964e-01  1.5277e-01  1.6277e-01  1.7962e-01  1.8641e-01  1.8653e-01  1.8635e-01  1.8502e-01  1.8514e-01  1.8433e-01  1.8374e-01  1.8298e-01  1.8202e-01  3.9741e-01  3.9612e-01  3.9664e-01  3.9715e-01  1.7747e-01  1.8001e-01  1.7806e-01  1.7810e-01  1.7851e-01  1.7695e-01  1.7620e-01  1.7544e-01  1.7513e-01  1.7499e-01  1.7512e-01  1.7544e-01  1.7812e-01  1.8235e-01  1.9493e-01  2.3783e-01
    10  1.5759e-01  1.5767e-01  1.5770e-01  1.5679e-01  1.5763e-01  1.5826e-01  1.5880e-01  1.5971e-01  1.6278e-01  1.7316e-01  1.8922e-01  1.9046e-01  1.8874e-01  1.8882e-01  1.8724e-01  1.8654e-01  1.8612e-01  1.8400e-01  1.8431e-01  1.8499e-01  4.0051e-01  3.9807e-01  3.9305e-01  3.9413e-01  1.7762e-01  1.7764e-01  1.7693e-01  1.7660e-01  1.7567e-01  1.7343e-01  1.7331e-01  1.7331e-01  1.7286e-01  1.7367e-01  1.7405e-01  1.7553e-01  1.7747e-01  1.8112e-01  1.9424e-01  2.3800e-01
    11  1.7097e-01  1.7133e-01  1.7157e-01  1.7096e-01  1.7237e-01  1.7214e-01  1.7408e-01  1.7636e-01  1.8198e-01  1.8923e-01  1.9430e-01  1.9311e-01  1.9161e-01  1.8960e-01  1.8781e-01  1.8675e-01  1.8779e-01  1.8543e-01  1.8474e-01  1.8574e-01  3.9805e-01  3.9386e-01  3.9438e-01  3.9473e-01  1.7428e-01  1.7491e-01  1.7469e-01  1.7298e-01  1.7199e-01  1.6932e-01  1.7043e-01  1.7028e-01  1.6994e-01  1.7088e-01  1.7113e-01  1.7348e-01  1.7735e-01  1.8266e-01  1.9497e-01  2.3736e-01
    12  1.7613e-01  1.7641e-01  1.7746e-01  1.7744e-01  1.7734e-01  1.7881e-01  1.8054e-01  1.8191e-01  1.8564e-01  1.9031e-01  1.9386e-01  1.9439e-01  1.9272e-01  1.9114e-01  1.9071e-01  1.8883e-01  1.8894e-01  1.8899e-01  1.8682e-01  1.8691e-01  4.0034e-01  3.9986e-01  3.9640e-01  3.9527e-01  1.7308e-01  1.7180e-01  1.7000e-01  1.6890e-01  1.6798e-01  1.6667e-01  1.6733e-01  1.6665e-01  1.6896e-01  1.7084e-01  1.7099e-01  1.7346e-01  1.7835e-01  1.8322e-01  1.9579e-01  2.3858e-01
    13  1.7848e-01  1.8012e-01  1.8002e-01  1.7984e-01  1.8055e-01  1.8070e-01  1.8287e-01  1.8308e-01  1.8682e-01  1.8894e-01  1.9201e-01  1.9422e-01  1.9343e-01  1.9104e-01  1.9090e-01  1.9039e-01  1.8994e-01  1.8976e-01  1.8844e-01  1.8663e-01  4.0028e-01  4.0175e-01  4.0038e-01  4.0271e-01  1.6999e-01  1.6625e-01  1.6503e-01  1.6269e-01  1.6206e-01  1.6427e-01  1.6565e-01  1.6844e-01  1.6939e-01  1.7151e-01  1.7264e-01  1.7604e-01  1.7989e-01  1.8500e-01  1.9788e-01  2.4005e-01
    14  1.7934e-01  1.8034e-01  1.8104e-01  1.8110e-01  1.8174e-01  1.8271e-01  1.8285e-01  1.8401e-01  1.8519e-01  1.8919e-01  1.9118e-01  1.9188e-01  1.9413e-01  1.9139e-01  1.9068e-01  1.9052e-01  1.9065e-01  1.8884e-01  1.8961e-01  1.8904e-01  4.0355e-01  3.9745e-01  4.0130e-01  3.9541e-01  1.6227e-01  1.6010e-01  1.5825e-01  1.5921e-01  1.6290e-01  1.6499e-01  1.6801e-01  1.7129e-01  1.7269e-01  1.7383e-01  1.7534e-01  1.7745e-01  1.8112e-01  1.8643e-01  1.9898e-01  2.4374e-01
    15  1.8054e-01  1.8120e-01  1.8150e-01  1.8147e-01  1.8234e-01  1.8223e-01  1.8326e-01  1.8212e-01  1.8478e-01  1.8765e-01  1.8930e-01  1.9067e-01  1.9026e-01  1.8971e-01  1.9125e-01  1.9071e-01  1.8847e-01  1.8911e-01  1.8924e-01  1.9023e-01  4.0206e-01  4.0162e-01  4.0762e-01  3.9026e-01  1.5327e-01  1.5252e-01  1.5662e-01  1.6176e-01  1.6595e-01  1.7037e-01  1.7272e-01  1.7387e-01  1.7573e-01  1.7803e-01  1.7959e-01  1.8028e-01  1.8195e-01  1.8968e-01  2.0185e-01  2.4608e-01
    16  1.8101e-01  1.8104e-01  1.8151e-01  1.8197e-01  1.8240e-01  1.8295e-01  1.8191e-01  1.8372e-01  1.8349e-01  1.8563e-01  1.8892e-01  1.8894e-01  1.8815e-01  1.9079e-01  1.9055e-01  1.8978e-01  1.8984e-01  1.8907e-01  1.9036e-01  1.8968e-01  4.0037e-01  4.0244e-01  3.9922e-01  3.8515e-01  1.4844e-01  1.5418e-01  1.6075e-01  1.6675e-01  1.7347e-01  1.7822e-01  1.7891e-01  1.8035e-01  1.8148e-01  1.8215e-01  1.8385e-01  1.8346e-01  1.8728e-01  1.9232e-01  2.0381e-01  2.4921e-01
    17  1.8042e-01  1.8123e-01  1.8156e-01  1.8250e-01  1.8291e-01  1.8182e-01  1.8140e-01  1.8343e-01  1.8352e-01  1.8648e-01  1.8802e-01  1.8974e-01  1.8989e-01  1.8993e-01  1.9018e-01  1.9039e-01  1.8986e-01  1.9016e-01  1.9133e-01  1.9212e-01  3.9974e-01  3.9570e-01  3.9887e-01  3.7077e-01  1.5478e-01  1.6514e-01  1.7373e-01  1.7966e-01  1.8261e-01  1.8418e-01  1.8495e-01  1.8643e-01  1.8605e-01  1.8520e-01  1.8793e-01  1.8659e-01  1.8825e-01  1.9096e-01  2.0465e-01  2.5159e-01
    18  1.7995e-01  1.8136e-01  1.8298e-01  1.8154e-01  1.8219e-01  1.8270e-01  1.8221e-01  1.8454e-01  1.8413e-01  1.8514e-01  1.8699e-01  1.8948e-01  1.8905e-01  1.8790e-01  1.8886e-01  1.8902e-01  1.8856e-01  1.9042e-01  1.9066e-01  1.9384e-01  4.0284e-01  3.9665e-01  3.9124e-01  3.4815e-01  1.6951e-01  1.8338e-01  1.8996e-01  1.8927e-01  1.8937e-01  1.9037e-01  1.9156e-01  1.8934e-01  1.8799e-01  1.8728e-01  1.8902e-01  1.8907e-01  1.8967e-01  1.9465e-01  2.0716e-01  2.5195e-01
    19  1.8277e-01  1.8153e-01  1.8330e-01  1.8154e-01  1.8269e-01  1.8234e-01  1.8282e-01  1.8413e-01  1.8449e-01  1.8364e-01  1.8663e-01  1.8785e-01  1.8737e-01  1.8841e-01  1.8757e-01  1.8813e-01  1.8916e-01  1.8953e-01  1.9088e-01  1.9254e-01  4.0103e-01  3.9042e-01  3.7098e-01  3.4554e-01  1.8745e-01  1.9938e-01  1.9940e-01  1.9716e-01  1.9770e-01  1.9435e-01  1.9485e-01  1.9053e-01  1.8903e-01  1.8928e-01  1.8869e-01  1.9003e-01  1.9085e-01  1.9555e-01  2.0586e-01  2.5068e-01
    20  1.8300e-01  1.8316e-01  1.8275e-01  1.8183e-01  1.8213e-01  1.8207e-01  1.8326e-01  1.8399e-01  1.8520e-01  1.8513e-01  1.8547e-01  1.8714e-01  1.8721e-01  1.8789e-01  1.8797e-01  1.8621e-01  1.8823e-01  1.9160e-01  1.9253e-01  1.9591e-01  3.9435e-01  3.7116e-01  3.8100e-01  3.8879e-01  2.0013e-01  2.0792e-01  2.0535e-01  2.0112e-01  1.9874e-01  1.9582e-01  1.9397e-01  1.8984e-01  1.8877e-01  1.8850e-01  1.8887e-01  1.8982e-01  1.9087e-01  1.9441e-01  2.0710e-01  2.5194e-01
    21  1.8174e-01  1.8173e-01  1.8243e-01  1.8211e-01  1.8297e-01  1.8238e-01  1.8425e-01  1.8515e-01  1.8473e-01  1.8461e-01  1.8539e-01  1.8700e-01  1.8772e-01  1.8730e-01  1.8913e-01  1.8886e-01  1.8743e-01  1.9094e-01  1.9416e-01  2.0360e-01  2.0592e-01  2.0706e-01  2.0557e-01  2.0869e-01  2.1268e-01  2.0779e-01  2.0273e-01  1.9958e-01  1.9710e-01  1.9520e-01  1.9308e-01  1.9184e-01  1.9043e-01  1.8999e-01  1.8974e-01  1.9100e-01  1.9240e-01  1.9395e-01  2.0742e-01  2.4998e-01
