 iy/ix           1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17          18          19          20          21          22          23          24          25          26          27          28          29          30          31          32          33          34          35          36          37          38          39          40
     1  4.7478e+00  4.7636e+00  4.7198e+00  4.6487e+00  4.5814e+00  4.4783e+00  4.3030e+00  4.0202e+00  3.6325e+00  2.9649e+00  1.8954e+00  1.2488e+00  8.4498e-01  5.7404e-01  3.9747e-01  2.7371e-01  1.8760e-01  1.3008e-01  9.0093e-02  6.2231e-02  2.4326e-02  4.1170e-03  6.9520e-04  1.1752e-04  3.5289e-05  2.4110e-05  1.6867e-05  1.1677e-05  8.1253e-06  5.6310e-06  3.9078e-06  2.7132e-06  1.8919e-06  1.3072e-06  9.0626e-07  6.2850e-07  4.3049e-07  2.8916e-07  1.8967e-07  1.1158e-07
     2  4.7434e+00  4.7301e+00  4.7217e+00  4.6419e+00  4.5752e+00  4.4646e+00  4.2929e+00  4.0185e+00  3.6027e+00  2.9535e+00  1.8912e+00  1.2411e+00  8.3628e-01  5.7144e-01  3.9367e-01  2.7062e-01  1.8568e-01  1.2894e-01  8.9262e-02  6.1992e-02  2.4318e-02  4.0930e-03  6.9455e-04  1.1747e-04  3.5047e-05  2.4161e-05  1.6757e-05  1.1556e-05  8.0260e-06  5.5723e-06  3.8848e-06  2.6776e-06  1.8563e-06  1.2934e-06  8.9830e-07  6.2003e-07  4.2837e-07  2.8990e-07  1.8918e-07  1.1132e-07
     3  4.7026e+00  4.6981e+00  4.6666e+00  4.6210e+00  4.5688e+00  4.4429e+00  4.2670e+00  4.0073e+00  3.5994e+00  2.9509e+00  1.8929e+00  1.2253e+00  8.2926e-01  5.6519e-01  3.9028e-01  2.6634e-01  1.8350e-01  1.2635e-01  8.7895e-02  6.1013e-02  2.3723e-02  4.0278e-03  6.7812e-04  1.1383e-04  3.4390e-05  2.3878e-05  1.6540e-05  1.1449e-05  7.9036e-06  5.4778e-06  3.7910e-06  2.6327e-06  1.8384e-06  1.2816e-06  8.8813e-07  6.1283e-07  4.2340e-07  2.8669e-07  1.8728e-07  1.1021e-07
     4  4.6793e+00  4.6431e+00  4.6394e+00  4.5676e+00  4.5190e+00  4.3885e+00  4.2257e+00  3.9680e+00  3.5821e+00  2.9136e+00  1.8546e+00  1.2072e+00  8.1310e-01  5.5304e-01  3.7844e-01  2.6122e-01  1.7953e-01  1.2380e-01  8.5691e-02  5.9381e-02  2.3039e-02  3.8946e-03  6.6105e-04  1.1163e-04  3.3615e-05  2.3254e-05  1.6057e-05  1.1059e-05  7.6721e-06  5.3371e-06  3.6927e-06  2.5792e-06  1.7936e-06  1.2495e-06  8.6826e-07  6.0446e-07  4.1666e-07  2.8517e-07  1.8636e-07  1.1032e-07
     5  4.5887e+00  4.5707e+00  4.5563e+00  4.4965e+00  4.4425e+00  4.3253e+00  4.1773e+00  3.8919e+00  3.5197e+00  2.8749e+00  1.8170e+00  1.1711e+00  7.8491e-01  5.3541e-01  3.6451e-01  2.4899e-01  1.7200e-01  1.1951e-01  8.2380e-02  5.7013e-02  2.2330e-02  3.7630e-03  6.3480e-04  1.0766e-04  3.2134e-05  2.2362e-05  1.5489e-05  1.0711e-05  7.4369e-06  5.1910e-06  3.6142e-06  2.5143e-06  1.7516e-06  1.2164e-06  8.4594e-07  5.9004e-07  4.0780e-07  2.7947e-07  1.8361e-07  1.0791e-07
     6  4.4868e+00  4.4730e+00  4.4351e+00  4.3838e+00  4.3212e+00  4.2276e+00  4.0559e+00  3.8053e+00  3.4275e+00  2.7917e+00  1.7595e+00  1.1347e+00  7.5462e-01  5.1026e-01  3.4708e-01  2.3783e-01  1.6346e-01  1.1264e-01  7.7371e-02  5.3919e-02  2.1096e-02  3.5927e-03  6.0669e-04  1.0325e-04  3.0647e-05  2.1353e-05  1.4804e-05  1.0251e-05  7.0914e-06  4.9913e-06  3.4790e-06  2.4124e-06  1.6859e-06  1.1718e-06  8.2061e-07  5.7438e-07  4.0071e-07  2.7621e-07  1.8218e-07  1.0725e-07
     7  4.3109e+00  4.2750e+00  4.2600e+00  4.2332e+00  4.1521e+00  4.0631e+00  3.9192e+00  3.6697e+00  3.2960e+00  2.6832e+00  1.6808e+00  1.0764e+00  7.1144e-01  4.8178e-01  3.2655e-01  2.2149e-01  1.5261e-01  1.0535e-01  7.2718e-02  5.0596e-02  1.9626e-02  3.3266e-03  5.6618e-04  9.5073e-05  2.8700e-05  1.9933e-05  1.3897e-05  9.6486e-06  6.7178e-06  4.7192e-06  3.2901e-06  2.3192e-06  1.6324e-06  1.1501e-06  8.0320e-07  5.6259e-07  3.9240e-07  2.6947e-07  1.8123e-07  1.0701e-07
     8  4.0648e+00  4.0267e+00  3.9994e+00  3.9755e+00  3.8945e+00  3.8278e+00  3.6952e+00  3.4573e+00  3.1275e+00  2.5346e+00  1.5760e+00  9.9310e-01  6.5135e-01  4.4257e-01  2.9771e-01  2.0339e-01  1.3995e-01  9.6508e-02  6.6775e-02  4.6454e-02  1.8014e-02  3.0516e-03  5.1682e-04  8.6898e-05  2.6333e-05  1.8460e-05  1.2829e-05  9.0110e-06  6.3264e-06  4.4255e-06  3.1316e-06  2.2218e-06  1.5655e-06  1.1064e-06  7.8240e-07  5.5236e-07  3.8888e-07  2.6804e-07  1.7915e-07  1.0594e-07
     9  3.6559e+00  3.6436e+00  3.6030e+00  3.5825e+00  3.5141e+00  3.4469e+00  3.3033e+00  3.1200e+00  2.8299e+00  2.3107e+00  1.3914e+00  8.7772e-01  5.8045e-01  3.9060e-01  2.6461e-01  1.8200e-01  1.2527e-01  8.7002e-02  6.0432e-02  4.2140e-02  1.6367e-02  2.7735e-03  4.6789e-04  7.8696e-05  2.3837e-05  1.6877e-05  1.1842e-05  8.3714e-06  5.9149e-06  4.1997e-06  2.9768e-06  2.1300e-06  1.5143e-06  1.0840e-06  7.7312e-07  5.5243e-07  3.8960e-07  2.6972e-07  1.8054e-07  1.0804e-07
    10  2.9761e+00  2.9594e+00  2.9411e+00  2.9183e+00  2.8731e+00  2.7979e+00  2.6816e+00  2.5439e+00  2.3039e+00  1.8884e+00  1.1453e+00  7.3248e-01  4.9032e-01  3.3450e-01  2.2960e-01  1.5952e-01  1.1039e-01  7.6076e-02  5.3640e-02  3.7521e-02  1.4588e-02  2.4721e-03  4.1398e-04  7.0250e-05  2.1649e-05  1.5267e-05  1.0884e-05  7.7099e-06  5.5287e-06  3.9428e-06  2.8518e-06  2.0588e-06  1.4827e-06  1.0765e-06  7.7424e-07  5.5686e-07  3.9439e-07  2.7623e-07  1.8542e-07  1.1132e-07
