 iy/ix           1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17          18          19          20          21          22          23          24          25          26          27          28          29          30          31          32          33          34          35          36          37          38          39          40
     1  1.9980e-02  1.7472e-02  1.6798e-02  1.6396e-02  1.6143e-02  1.5884e-02  1.5522e-02  1.4955e-02  1.4103e-02  1.2382e-02  8.8460e-03  6.0917e-03  4.2532e-03  2.9628e-03  2.0888e-03  1.4595e-03  1.0215e-03  7.1641e-04  5.0753e-04  3.6358e-04  1.4916e-04  3.1533e-05  5.9555e-06  1.0738e-06  3.0937e-07  1.9556e-07  1.3156e-07  8.9374e-08  6.1375e-08  4.2019e-08  2.8992e-08  2.0007e-08  1.3929e-08  9.5859e-09  6.6096e-09  4.6022e-09  3.1673e-09  2.1371e-09  1.4096e-09  8.3083e-10
     2  1.7437e-02  1.5359e-02  1.4823e-02  1.4441e-02  1.4243e-02  1.4019e-02  1.3678e-02  1.3152e-02  1.2308e-02  1.0841e-02  7.8123e-03  5.3969e-03  3.7628e-03  2.6445e-03  1.8588e-03  1.3038e-03  9.1587e-04  6.4725e-04  4.5609e-04  3.2666e-04  1.3470e-04  2.7618e-05  5.1413e-06  9.3035e-07  2.7296e-07  1.7824e-07  1.2089e-07  8.2541e-08  5.6675e-08  3.8958e-08  2.7026e-08  1.8582e-08  1.2858e-08  8.9693e-09  6.2130e-09  4.3016e-09  2.9790e-09  2.0132e-09  1.3180e-09  7.7888e-10
     3  1.6697e-02  1.4783e-02  1.4289e-02  1.3998e-02  1.3853e-02  1.3596e-02  1.3236e-02  1.2732e-02  1.1933e-02  1.0515e-02  7.5630e-03  5.1274e-03  3.5861e-03  2.5168e-03  1.7754e-03  1.2395e-03  8.6884e-04  6.0842e-04  4.3059e-04  3.0877e-04  1.2810e-04  2.6540e-05  4.8982e-06  8.6749e-07  2.5118e-07  1.6548e-07  1.1289e-07  7.7685e-08  5.3295e-08  3.6840e-08  2.5441e-08  1.7608e-08  1.2276e-08  8.5505e-09  5.9567e-09  4.1203e-09  2.8492e-09  1.9243e-09  1.2588e-09  7.4383e-10
     4  1.6485e-02  1.4417e-02  1.4044e-02  1.3751e-02  1.3606e-02  1.3363e-02  1.3029e-02  1.2551e-02  1.1790e-02  1.0277e-02  7.3343e-03  5.0099e-03  3.4642e-03  2.4184e-03  1.6886e-03  1.1889e-03  8.3480e-04  5.8426e-04  4.1140e-04  2.9373e-04  1.2233e-04  2.5464e-05  4.7282e-06  8.4716e-07  2.4073e-07  1.5569e-07  1.0509e-07  7.1857e-08  4.9638e-08  3.4590e-08  2.3804e-08  1.6672e-08  1.1634e-08  8.0733e-09  5.6062e-09  3.9130e-09  2.7026e-09  1.8539e-09  1.2153e-09  7.2450e-10
     5  1.6210e-02  1.4196e-02  1.3836e-02  1.3566e-02  1.3378e-02  1.3161e-02  1.2912e-02  1.2291e-02  1.1605e-02  1.0133e-02  7.2195e-03  4.8701e-03  3.3508e-03  2.3344e-03  1.6193e-03  1.1226e-03  7.8890e-04  5.5860e-04  3.9180e-04  2.8120e-04  1.1793e-04  2.4351e-05  4.5163e-06  8.0954e-07  2.2659e-07  1.4640e-07  9.9125e-08  6.7424e-08  4.6602e-08  3.2536e-08  2.2765e-08  1.5730e-08  1.1039e-08  7.6208e-09  5.2874e-09  3.7072e-09  2.5675e-09  1.7648e-09  1.1649e-09  6.8847e-10
     6  1.5923e-02  1.4003e-02  1.3526e-02  1.3315e-02  1.3138e-02  1.2974e-02  1.2630e-02  1.2120e-02  1.1339e-02  9.9418e-03  7.0342e-03  4.7409e-03  3.2339e-03  2.2401e-03  1.5450e-03  1.0745e-03  7.4941e-04  5.2491e-04  3.6639e-04  2.6316e-04  1.1042e-04  2.3171e-05  4.3116e-06  7.7410e-07  2.1354e-07  1.3814e-07  9.2709e-08  6.3363e-08  4.3442e-08  3.0464e-08  2.1232e-08  1.4691e-08  1.0293e-08  7.1467e-09  5.0149e-09  3.5066e-09  2.4531e-09  1.6992e-09  1.1303e-09  6.6706e-10
     7  1.5578e-02  1.3639e-02  1.3216e-02  1.3012e-02  1.2829e-02  1.2645e-02  1.2326e-02  1.1834e-02  1.1059e-02  9.6673e-03  6.8192e-03  4.5668e-03  3.0813e-03  2.1284e-03  1.4696e-03  1.0115e-03  7.0548e-04  4.9341e-04  3.4709e-04  2.4826e-04  1.0315e-04  2.1472e-05  4.0080e-06  7.1058e-07  1.9887e-07  1.2780e-07  8.6076e-08  5.8826e-08  4.0424e-08  2.8293e-08  1.9604e-08  1.3770e-08  9.7298e-09  6.8450e-09  4.7729e-09  3.3348e-09  2.3221e-09  1.6034e-09  1.0879e-09  6.4203e-10
     8  1.5097e-02  1.3185e-02  1.2690e-02  1.2550e-02  1.2311e-02  1.2150e-02  1.1914e-02  1.1419e-02  1.0704e-02  9.2841e-03  6.5414e-03  4.2661e-03  2.8862e-03  1.9853e-03  1.3514e-03  9.3879e-04  6.5246e-04  4.5652e-04  3.1881e-04  2.2988e-04  9.5318e-05  1.9871e-05  3.7082e-06  6.5186e-07  1.8156e-07  1.1747e-07  7.8859e-08  5.4136e-08  3.7521e-08  2.5903e-08  1.8242e-08  1.2905e-08  9.0396e-09  6.3735e-09  4.5020e-09  3.1537e-09  2.2256e-09  1.5415e-09  1.0382e-09  6.1916e-10
     9  1.4187e-02  1.2421e-02  1.1974e-02  1.1780e-02  1.1577e-02  1.1430e-02  1.1141e-02  1.0733e-02  1.0064e-02  8.7868e-03  5.9979e-03  3.9204e-03  2.6410e-03  1.7882e-03  1.2265e-03  8.5444e-04  5.9214e-04  4.1527e-04  2.9240e-04  2.0937e-04  8.7227e-05  1.8250e-05  3.3575e-06  5.9360e-07  1.6496e-07  1.0705e-07  7.2371e-08  4.9844e-08  3.4529e-08  2.4200e-08  1.6914e-08  1.2023e-08  8.4741e-09  6.0453e-09  4.2996e-09  3.0553e-09  2.1642e-09  1.5061e-09  1.0174e-09  6.1365e-10
    10  1.2397e-02  1.0857e-02  1.0457e-02  1.0296e-02  1.0136e-02  9.9469e-03  9.6407e-03  9.3615e-03  8.7675e-03  7.6529e-03  5.2188e-03  3.4002e-03  2.2867e-03  1.5668e-03  1.0891e-03  7.6131e-04  5.2955e-04  3.6852e-04  2.6216e-04  1.8888e-04  7.8542e-05  1.6266e-05  2.9814e-06  5.2984e-07  1.5011e-07  9.7026e-08  6.5945e-08  4.5490e-08  3.1880e-08  2.2281e-08  1.5856e-08  1.1318e-08  8.0638e-09  5.8232e-09  4.1738e-09  3.0133e-09  2.1403e-09  1.5235e-09  1.0293e-09  6.2716e-10
