 iy/ix           1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17          18          19          20          21          22          23          24          25          26          27          28          29          30          31          32          33          34          35          36          37          38          39          40
     1  9.9483e-01  1.0000e+00  9.8353e-01  9.6737e-01  9.5771e-01  9.3493e-01  9.0083e-01  8.4403e-01  7.6523e-01  6.4359e-01  4.4283e-01  2.9397e-01  2.0160e-01  1.3856e-01  9.5169e-02  6.5589e-02  4.5122e-02  3.1395e-02  2.1711e-02  1.5025e-02  5.8092e-03  9.8589e-04  1.6484e-04  2.8021e-05  8.5248e-06  5.8774e-06  4.0828e-06  2.8375e-06  1.9748e-06  1.3608e-06  9.4113e-07  6.5113e-07  4.5113e-07  3.1271e-07  2.1689e-07  1.5116e-07  1.0414e-07  7.1839e-08  4.9572e-08  3.5237e-08
     2  9.9126e-01  9.8851e-01  9.8034e-01  9.6995e-01  9.5449e-01  9.3289e-01  8.9519e-01  8.4208e-01  7.6275e-01  6.4253e-01  4.4242e-01  2.9237e-01  1.9899e-01  1.3683e-01  9.3992e-02  6.4778e-02  4.5052e-02  3.1062e-02  2.1498e-02  1.4911e-02  5.7644e-03  9.8177e-04  1.6591e-04  2.8098e-05  8.4404e-06  5.8492e-06  4.0671e-06  2.7902e-06  1.9336e-06  1.3512e-06  9.3532e-07  6.4962e-07  4.5079e-07  3.1141e-07  2.1569e-07  1.4955e-07  1.0365e-07  7.1625e-08  4.9029e-08  3.4736e-08
     3  9.8667e-01  9.7752e-01  9.7195e-01  9.6477e-01  9.5010e-01  9.2809e-01  8.9236e-01  8.3942e-01  7.6241e-01  6.4021e-01  4.4073e-01  2.8819e-01  1.9518e-01  1.3369e-01  9.2510e-02  6.4179e-02  4.4162e-02  3.0485e-02  2.0967e-02  1.4544e-02  5.6575e-03  9.5721e-04  1.6276e-04  2.7472e-05  8.3334e-06  5.7522e-06  3.9778e-06  2.7593e-06  1.9095e-06  1.3254e-06  9.2020e-07  6.4140e-07  4.4785e-07  3.0951e-07  2.1468e-07  1.4893e-07  1.0259e-07  7.0662e-08  4.8347e-08  3.4097e-08
     4  9.7828e-01  9.6924e-01  9.6132e-01  9.4795e-01  9.4102e-01  9.1489e-01  8.7864e-01  8.3147e-01  7.5583e-01  6.3403e-01  4.3433e-01  2.8545e-01  1.9179e-01  1.3190e-01  9.0409e-02  6.2089e-02  4.2724e-02  2.9431e-02  2.0418e-02  1.4179e-02  5.5094e-03  9.3698e-04  1.5804e-04  2.6896e-05  8.0700e-06  5.5948e-06  3.8880e-06  2.6853e-06  1.8573e-06  1.2875e-06  8.9010e-07  6.1932e-07  4.3238e-07  3.0099e-07  2.0851e-07  1.4613e-07  1.0117e-07  6.9585e-08  4.7738e-08  3.3980e-08
     5  9.5754e-01  9.5407e-01  9.4656e-01  9.3283e-01  9.2130e-01  8.9951e-01  8.7110e-01  8.1644e-01  7.4316e-01  6.2638e-01  4.2780e-01  2.7918e-01  1.8763e-01  1.2815e-01  8.6980e-02  5.9775e-02  4.0990e-02  2.8404e-02  1.9606e-02  1.3556e-02  5.2611e-03  8.8617e-04  1.5112e-04  2.5371e-05  7.6861e-06  5.3710e-06  3.7273e-06  2.5849e-06  1.7898e-06  1.2451e-06  8.6612e-07  6.0020e-07  4.1966e-07  2.9258e-07  2.0443e-07  1.4210e-07  9.8977e-08  6.8745e-08  4.7459e-08  3.3605e-08
     6  9.3251e-01  9.3430e-01  9.2612e-01  9.1211e-01  8.9675e-01  8.7783e-01  8.4565e-01  7.9610e-01  7.2600e-01  6.1140e-01  4.1617e-01  2.6968e-01  1.8111e-01  1.2197e-01  8.3452e-02  5.7289e-02  3.9257e-02  2.7085e-02  1.8764e-02  1.2887e-02  4.9817e-03  8.4449e-04  1.4340e-04  2.4035e-05  7.2513e-06  5.0681e-06  3.5337e-06  2.4586e-06  1.7106e-06  1.1893e-06  8.2685e-07  5.7772e-07  4.0290e-07  2.8182e-07  1.9752e-07  1.3788e-07  9.6559e-08  6.7337e-08  4.6302e-08  3.3004e-08
     7  8.9571e-01  8.9260e-01  8.9005e-01  8.8226e-01  8.6356e-01  8.4606e-01  8.1640e-01  7.6727e-01  6.9684e-01  5.8632e-01  3.9668e-01  2.5681e-01  1.7081e-01  1.1518e-01  7.8731e-02  5.3782e-02  3.6847e-02  2.5204e-02  1.7515e-02  1.2140e-02  4.6694e-03  7.8726e-04  1.3220e-04  2.2250e-05  6.7862e-06  4.7599e-06  3.3123e-06  2.3129e-06  1.6062e-06  1.1255e-06  7.8383e-07  5.4437e-07  3.8563e-07  2.7101e-07  1.9063e-07  1.3447e-07  9.4128e-08  6.5838e-08  4.5711e-08  3.2449e-08
     8  8.4489e-01  8.3927e-01  8.3687e-01  8.3008e-01  8.1644e-01  8.0014e-01  7.7196e-01  7.2870e-01  6.6908e-01  5.5791e-01  3.7475e-01  2.3738e-01  1.5810e-01  1.0654e-01  7.2069e-02  4.9174e-02  3.4114e-02  2.3538e-02  1.6166e-02  1.1230e-02  4.3415e-03  7.2803e-04  1.2184e-04  2.0355e-05  6.2134e-06  4.3532e-06  3.0559e-06  2.1434e-06  1.5070e-06  1.0549e-06  7.3890e-07  5.2166e-07  3.6843e-07  2.6144e-07  1.8492e-07  1.3121e-07  9.2766e-08  6.5066e-08  4.5111e-08  3.2342e-08
     9  7.6568e-01  7.6470e-01  7.6147e-01  7.5548e-01  7.4526e-01  7.3114e-01  7.0213e-01  6.6257e-01  6.0334e-01  5.1178e-01  3.4039e-01  2.1440e-01  1.4221e-01  9.5368e-02  6.4690e-02  4.4105e-02  3.0334e-02  2.1019e-02  1.4611e-02  1.0151e-02  3.9001e-03  6.5745e-04  1.1045e-04  1.8617e-05  5.7011e-06  4.0034e-06  2.8245e-06  1.9826e-06  1.3886e-06  9.8381e-07  6.9632e-07  4.9834e-07  3.5434e-07  2.5209e-07  1.8032e-07  1.2917e-07  9.1829e-08  6.4829e-08  4.5187e-08  3.2219e-08
    10  6.4706e-01  6.4470e-01  6.3986e-01  6.3913e-01  6.2930e-01  6.1101e-01  5.8633e-01  5.5731e-01  5.0754e-01  4.2938e-01  2.8511e-01  1.8102e-01  1.2079e-01  8.1659e-02  5.6198e-02  3.8681e-02  2.6667e-02  1.8596e-02  1.2922e-02  8.9669e-03  3.4386e-03  5.8239e-04  9.8936e-05  1.6666e-05  5.1312e-06  3.6110e-06  2.5533e-06  1.8063e-06  1.2922e-06  9.2813e-07  6.6329e-07  4.7491e-07  3.4295e-07  2.4708e-07  1.7828e-07  1.2869e-07  9.2504e-08  6.5912e-08  4.6254e-08  3.3060e-08
    11  4.4410e-01  4.4039e-01  4.3981e-01  4.3811e-01  4.2874e-01  4.1620e-01  3.9774e-01  3.7065e-01  3.3527e-01  2.8404e-01  2.0479e-01  1.4060e-01  9.7672e-02  6.7648e-02  4.7253e-02  3.2969e-02  2.3006e-02  1.6150e-02  1.1248e-02  7.8468e-03  3.0176e-03  5.0972e-04  8.6160e-05  1.4590e-05  4.5866e-06  3.2613e-06  2.3154e-06  1.6567e-06  1.1958e-06  8.7631e-07  6.3547e-07  4.6629e-07  3.4252e-07  2.5096e-07  1.8281e-07  1.3236e-07  9.5373e-08  6.8257e-08  4.8391e-08  3.4820e-08
    12  2.9242e-01  2.9132e-01  2.9022e-01  2.8537e-01  2.8025e-01  2.6976e-01  2.5663e-01  2.3623e-01  2.1070e-01  1.7948e-01  1.4066e-01  1.0370e-01  7.5449e-02  5.4014e-02  3.8322e-02  2.7128e-02  1.9231e-02  1.3572e-02  9.6038e-03  6.7186e-03  2.5697e-03  4.2873e-04  7.3409e-05  1.2543e-05  3.9714e-06  2.8768e-06  2.1099e-06  1.5411e-06  1.1357e-06  8.4266e-07  6.2795e-07  4.6905e-07  3.4901e-07  2.5746e-07  1.9060e-07  1.3967e-07  1.0161e-07  7.3164e-08  5.1596e-08  3.7081e-08
    13  1.9932e-01  1.9786e-01  1.9643e-01  1.9226e-01  1.8780e-01  1.8064e-01  1.7148e-01  1.5732e-01  1.3960e-01  1.2026e-01  9.6858e-02  7.4651e-02  5.6138e-02  4.1660e-02  3.0587e-02  2.1999e-02  1.5617e-02  1.1156e-02  8.0059e-03  5.6757e-03  2.1514e-03  3.5833e-04  6.0997e-05  1.0398e-05  3.4322e-06  2.5639e-06  1.9237e-06  1.4660e-06  1.1208e-06  8.5251e-07  6.4904e-07  4.9213e-07  3.7167e-07  2.7804e-07  2.0655e-07  1.5195e-07  1.1059e-07  7.9830e-08  5.6602e-08  4.1208e-08
    14  1.3672e-01  1.3583e-01  1.3332e-01  1.3100e-01  1.2775e-01  1.2180e-01  1.1566e-01  1.0615e-01  9.4547e-02  8.1666e-02  6.7380e-02  5.3609e-02  4.1109e-02  3.1320e-02  2.3465e-02  1.7300e-02  1.2667e-02  9.1186e-03  6.5436e-03  4.7036e-03  1.7786e-03  2.9998e-04  5.0340e-05  8.7171e-06  3.0181e-06  2.3249e-06  1.8384e-06  1.4598e-06  1.1574e-06  9.1503e-07  7.0963e-07  5.4583e-07  4.1280e-07  3.1159e-07  2.3218e-07  1.7156e-07  1.2424e-07  8.9520e-08  6.3590e-08  4.5819e-08
    15  9.3745e-02  9.3402e-02  9.1646e-02  8.9811e-02  8.7011e-02  8.3505e-02  7.8075e-02  7.2261e-02  6.4618e-02  5.5963e-02  4.6899e-02  3.8223e-02  3.0242e-02  2.3381e-02  1.7694e-02  1.3296e-02  9.9535e-03  7.3327e-03  5.3091e-03  3.8187e-03  1.4370e-03  2.3993e-04  4.0678e-05  7.1408e-06  2.7385e-06  2.2892e-06  1.9182e-06  1.6095e-06  1.3203e-06  1.0603e-06  8.3051e-07  6.4014e-07  4.8385e-07  3.6394e-07  2.6881e-07  1.9661e-07  1.4322e-07  1.0155e-07  7.1465e-08  5.1189e-08
    16  6.4866e-02  6.4561e-02  6.3242e-02  6.1461e-02  5.9742e-02  5.7022e-02  5.3721e-02  4.9044e-02  4.4512e-02  3.8644e-02  3.2747e-02  2.7015e-02  2.1983e-02  1.7124e-02  1.3335e-02  1.0101e-02  7.6234e-03  5.7273e-03  4.2188e-03  3.0730e-03  1.1421e-03  1.8821e-04  3.2299e-05  5.7300e-06  2.7235e-06  2.5177e-06  2.2931e-06  1.9860e-06  1.6461e-06  1.3104e-06  1.0243e-06  7.7956e-07  5.8545e-07  4.3189e-07  3.1687e-07  2.3110e-07  1.6421e-07  1.1651e-07  8.1311e-08  5.8462e-08
    17  4.4937e-02  4.4291e-02  4.3460e-02  4.2547e-02  4.1085e-02  3.9223e-02  3.6764e-02  3.3727e-02  3.0499e-02  2.6744e-02  2.2832e-02  1.9027e-02  1.5661e-02  1.2565e-02  9.8517e-03  7.6010e-03  5.8150e-03  4.3946e-03  3.2795e-03  2.4158e-03  9.0171e-04  1.4927e-04  2.5359e-05  4.7271e-06  3.1757e-06  3.3029e-06  3.1252e-06  2.6954e-06  2.1921e-06  1.7206e-06  1.3054e-06  9.7261e-07  7.1833e-07  5.2687e-07  3.7745e-07  2.6955e-07  1.9181e-07  1.3549e-07  9.3544e-08  6.6639e-08
    18  3.1092e-02  3.0482e-02  2.9829e-02  2.9463e-02  2.8390e-02  2.6897e-02  2.5215e-02  2.3155e-02  2.1084e-02  1.8605e-02  1.6066e-02  1.3458e-02  1.1196e-02  9.1712e-03  7.2782e-03  5.7356e-03  4.4143e-03  3.3563e-03  2.5309e-03  1.8663e-03  6.9268e-04  1.1522e-04  2.0209e-05  4.3920e-06  4.6085e-06  5.1016e-06  4.6796e-06  3.9030e-06  3.0376e-06  2.2793e-06  1.6844e-06  1.2347e-06  8.8838e-07  6.3173e-07  4.4481e-07  3.1479e-07  2.2155e-07  1.5457e-07  1.0606e-07  7.5664e-08
    19  2.1307e-02  2.1087e-02  2.0631e-02  2.0240e-02  1.9583e-02  1.8495e-02  1.7377e-02  1.6007e-02  1.4508e-02  1.2969e-02  1.1177e-02  9.5979e-03  8.0120e-03  6.5653e-03  5.3105e-03  4.2320e-03  3.3243e-03  2.5595e-03  1.9422e-03  1.4392e-03  5.2958e-04  9.0388e-05  1.8395e-05  6.1195e-06  8.3627e-06  8.8428e-06  7.4669e-06  5.7216e-06  4.1917e-06  3.0582e-06  2.1525e-06  1.5269e-06  1.0724e-06  7.5300e-07  5.2394e-07  3.6467e-07  2.5270e-07  1.7323e-07  1.1978e-07  8.5358e-08
    20  1.4713e-02  1.4580e-02  1.4297e-02  1.3934e-02  1.3513e-02  1.2807e-02  1.2008e-02  1.1042e-02  1.0030e-02  8.9673e-03  7.8437e-03  6.7288e-03  5.7283e-03  4.7071e-03  3.8529e-03  3.1252e-03  2.4664e-03  1.9064e-03  1.4687e-03  1.0901e-03  4.0816e-04  9.5843e-05  3.8433e-05  2.1141e-05  1.9831e-05  1.6388e-05  1.1767e-05  8.2251e-06  5.7130e-06  3.9185e-06  2.7011e-06  1.8621e-06  1.2716e-06  8.7328e-07  6.0162e-07  4.1370e-07  2.8278e-07  1.9458e-07  1.3231e-07  9.3431e-08
    21  1.0178e-02  1.0097e-02  9.9039e-03  9.6663e-03  9.2620e-03  8.8223e-03  8.2511e-03  7.6386e-03  6.9234e-03  6.2427e-03  5.5173e-03  4.7369e-03  4.0097e-03  3.3787e-03  2.7850e-03  2.2567e-03  1.8160e-03  1.4193e-03  1.1041e-03  8.2569e-04  4.7999e-04  2.2043e-04  1.1799e-04  6.9168e-05  4.1619e-05  2.5759e-05  1.6456e-05  1.0717e-05  7.0335e-06  4.6756e-06  3.1526e-06  2.1330e-06  1.4485e-06  9.8355e-07  6.6846e-07  4.5524e-07  3.1058e-07  2.1195e-07  1.4321e-07  1.0164e-07
    22  7.0839e-03  7.0056e-03  6.8748e-03  6.6670e-03  6.3769e-03  6.1652e-03  5.6792e-03  5.3191e-03  4.8127e-03  4.3276e-03  3.8468e-03  3.3533e-03  2.8631e-03  2.4156e-03  2.0082e-03  1.6496e-03  1.3258e-03  1.0491e-03  8.1900e-04  6.1379e-04  4.2259e-04  2.5392e-04  1.4308e-04  8.2341e-05  4.9851e-05  3.0803e-05  1.9389e-05  1.2479e-05  8.1305e-06  5.3773e-06  3.5658e-06  2.3708e-06  1.5966e-06  1.0793e-06  7.3679e-07  4.9983e-07  3.3982e-07  2.3065e-07  1.5580e-07  1.0881e-07
    23  4.8808e-03  4.8204e-03  4.7507e-03  4.6283e-03  4.4228e-03  4.2003e-03  3.9452e-03  3.6896e-03  3.3595e-03  3.0344e-03  2.6944e-03  2.3654e-03  2.0319e-03  1.7103e-03  1.4319e-03  1.1946e-03  9.6684e-04  7.7594e-04  6.0194e-04  4.5639e-04  3.3174e-04  2.2081e-04  1.3802e-04  8.5781e-05  5.2906e-05  3.2810e-05  2.0857e-05  1.3363e-05  8.7452e-06  5.7408e-06  3.8350e-06  2.5603e-06  1.7159e-06  1.1492e-06  7.7413e-07  5.2722e-07  3.5558e-07  2.4008e-07  1.6181e-07  1.1385e-07
