Time Step 1
              ix           1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17          18          19          20          21          22          23          24          25          26          27          28          29          30          31          32          33          34          35          36          37          38          39          40
    iy       y/x        0.25        0.75        1.25        1.75        2.25        2.75        3.25        3.75        4.25        4.75        5.25        5.75        6.25        6.75        7.25        7.75        8.25        8.75        9.25        9.75       10.25       10.75       11.25       11.75       12.25       12.75       13.25       13.75       14.25       14.75       15.25       15.75       16.25       16.75       17.25       17.75       18.25       18.75       19.25       19.75
     1      0.25  1.2543e+01  1.2317e+01  1.2342e+01  1.2853e+01  1.2667e+01  1.2112e+01  1.2494e+01  1.2795e+01  1.2101e+01  1.1537e+01  2.8187e-01  7.5260e+00  8.2934e+00  8.7595e+00  8.7761e+00  8.6258e+00  8.8011e+00  8.6906e+00  8.4914e+00  8.2330e+00  7.9980e+00  8.2254e+00  8.3691e+00  8.6153e+00  8.9272e+00  8.6905e+00  9.1366e+00  8.5603e+00  8.5727e+00  8.3066e+00  8.9649e+00  8.4798e+00  8.6340e+00  9.0260e+00  8.7488e+00  8.2058e+00  8.1850e+00  8.9739e+00  8.3363e+00  8.5494e+00
     2      0.75  1.2524e+01  1.2619e+01  1.2498e+01  1.2668e+01  1.2684e+01  1.2966e+01  1.2722e+01  1.2723e+01  1.2089e+01  1.1528e+01  3.8824e-01  9.1228e+00  8.6971e+00  8.0603e+00  8.9254e+00  8.6613e+00  9.1625e+00  8.9319e+00  9.5426e+00  8.5161e+00  8.5434e+00  8.9329e+00  8.1533e+00  7.9686e+00  8.3638e+00  8.3431e+00  9.3775e+00  8.5036e+00  9.6430e+00  8.2983e+00  8.7146e+00  8.6155e+00  8.5112e+00  8.9107e+00  8.9584e+00  8.9338e+00  9.1813e+00  8.7847e+00  8.7455e+00  8.2597e+00
     3      1.25  1.1890e+01  1.2206e+01  1.2781e+01  1.3340e+01  1.3134e+01  1.3564e+01  1.3034e+01  1.2450e+01  1.3166e+01  1.1708e+01  3.4549e-01  8.8525e+00  8.8558e+00  9.2002e+00  9.2565e+00  8.6851e+00  8.7961e+00  8.4965e+00  9.3474e+00  9.1975e+00  9.0947e+00  8.1265e+00  7.6425e+00  8.0252e+00  8.3317e+00  8.2943e+00  8.5163e+00  8.9703e+00  8.4126e+00  8.5581e+00  9.8180e+00  8.9045e+00  8.3273e+00  9.6313e+00  8.5501e+00  8.9058e+00  9.3486e+00  8.4193e+00  8.5613e+00  8.2240e+00
     4      1.75  1.2866e+01  1.2224e+01  1.2636e+01  1.2055e+01  1.2466e+01  1.1950e+01  1.3610e+01  1.3412e+01  1.2547e+01  1.2039e+01  3.5280e-01  9.0585e+00  8.7151e+00  9.0967e+00  8.5647e+00  8.5553e+00  9.7260e+00  8.9749e+00  8.7045e+00  8.6901e+00  8.3179e+00  8.1728e+00  8.5091e+00  8.5923e+00  8.3448e+00  8.8384e+00  8.4836e+00  8.6769e+00  9.0843e+00  8.8191e+00  8.7595e+00  8.2059e+00  8.9742e+00  9.3666e+00  8.9374e+00  9.4066e+00  9.3024e+00  9.1215e+00  9.3431e+00  8.6037e+00
     5      2.25  1.1983e+01  1.2144e+01  1.2748e+01  1.2208e+01  1.2332e+01  1.3668e+01  1.2714e+01  1.2533e+01  1.2564e+01  1.2399e+01  2.9993e-01  7.9736e+00  8.7593e+00  8.5973e+00  8.5442e+00  8.9825e+00  9.0997e+00  8.4197e+00  8.7623e+00  8.7206e+00  8.5286e+00  8.8265e+00  8.8830e+00  8.5090e+00  8.3719e+00  8.7879e+00  9.2659e+00  9.8207e+00  9.4318e+00  9.1684e+00  8.3541e+00  8.8555e+00  9.2509e+00  8.4917e+00  9.3179e+00  9.7892e+00  8.6815e+00  8.9407e+00  9.1181e+00  8.2671e+00
     6      2.75  1.2236e+01  1.2670e+01  1.2836e+01  1.2780e+01  1.2330e+01  1.2234e+01  1.3824e+01  1.2411e+01  1.3088e+01  1.2231e+01  3.1846e-01  8.4425e+00  9.5542e+00  8.9731e+00  9.6065e+00  8.9238e+00  9.5235e+00  7.7901e+00  8.5671e+00  8.3851e+00  8.0314e+00  8.5259e+00  8.7742e+00  7.7616e+00  9.6064e+00  8.0921e+00  9.2502e+00  8.3548e+00  8.5334e+00  8.2122e+00  8.6811e+00  8.8341e+00  8.9869e+00  8.8043e+00  8.8591e+00  8.1957e+00  8.8130e+00  9.2384e+00  9.0472e+00  8.4532e+00
     7      3.25  1.2124e+01  1.3161e+01  1.2306e+01  1.2845e+01  1.2983e+01  1.2962e+01  1.2597e+01  1.2791e+01  1.2107e+01  1.2024e+01  2.7789e-01  8.5401e+00  8.8302e+00  9.0682e+00  9.7880e+00  9.1960e+00  8.8425e+00  8.7468e+00  9.1163e+00  8.4685e+00  8.0868e+00  8.4320e+00  8.3404e+00  8.5549e+00  9.0344e+00  8.3789e+00  8.6829e+00  8.6018e+00  9.3113e+00  8.7376e+00  8.8447e+00  9.0335e+00  9.0104e+00  8.6180e+00  8.5869e+00  8.8966e+00  9.3641e+00  9.2019e+00  9.6019e+00  8.4210e+00
     8      3.75  1.3375e+01  1.2364e+01  1.2442e+01  1.2945e+01  1.2943e+01  1.2692e+01  1.2032e+01  1.3378e+01  1.2383e+01  1.2059e+01  3.7791e-01  8.9949e+00  9.6019e+00  9.0339e+00  9.3220e+00  1.0027e+01  8.7459e+00  9.1289e+00  9.0636e+00  8.7547e+00  8.5688e+00  8.5609e+00  9.0184e+00  8.6037e+00  8.6410e+00  8.4828e+00  9.0841e+00  9.5413e+00  8.5955e+00  9.2444e+00  9.1547e+00  8.5725e+00  8.9711e+00  8.6419e+00  9.6231e+00  8.9497e+00  8.4406e+00  8.8587e+00  8.6058e+00  8.7900e+00
     9      4.25  1.3099e+01  1.2660e+01  1.2490e+01  1.3021e+01  1.3291e+01  1.3129e+01  1.2685e+01  1.2913e+01  1.3863e+01  1.2075e+01  3.5385e-01  8.7264e+00  8.7904e+00  8.5765e+00  8.9185e+00  9.3023e+00  9.0243e+00  9.2424e+00  8.7266e+00  8.2397e+00  8.9189e+00  8.5023e+00  9.0230e+00  8.3652e+00  9.1596e+00  8.9490e+00  8.5388e+00  8.5756e+00  8.5506e+00  8.7355e+00  8.8288e+00  9.0085e+00  9.0774e+00  8.0287e+00  8.5546e+00  8.8403e+00  8.6073e+00  8.9491e+00  8.6798e+00  8.2668e+00
