Time Step 1
              ix           1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17          18          19          20          21          22          23          24          25          26          27          28          29          30          31          32          33          34          35          36          37          38          39          40
    iy       y/x        0.25        0.75        1.25        1.75        2.25        2.75        3.25        3.75        4.25        4.75        5.25        5.75        6.25        6.75        7.25        7.75        8.25        8.75        9.25        9.75       10.25       10.75       11.25       11.75       12.25       12.75       13.25       13.75       14.25       14.75       15.25       15.75       16.25       16.75       17.25       17.75       18.25       18.75       19.25       19.75
     1      0.25         inf         inf         inf         inf         inf         inf         inf         inf         inf         inf         inf -3.8725e-01 -1.4174e-01 -5.6160e-02 -3.4464e-01 -1.2396e-01 -1.8520e-02 -1.3876e-01 -2.7781e-01  3.0125e-02 -3.6809e-01 -6.9636e-01 -4.3114e-01 -7.8834e-01 -2.7810e-02 -3.3211e-01 -1.4182e-01 -3.4214e-01  4.7883e-02 -2.6811e-01 -3.7710e-01 -1.0558e-01  0.0000e+00 -1.1849e-01  5.5919e-02 -1.3116e-01 -1.8056e-01 -7.1638e-02 -2.2020e-01 -5.8752e-01
     2      0.75         inf         inf         inf         inf         inf         inf         inf         inf         inf         inf         inf -2.7613e-01 -1.3512e-01  1.0452e-02 -1.9596e-01 -2.8478e-02 -1.6529e-01 -2.1602e-01  1.7726e-02 -1.2065e-01 -7.5326e-01 -4.4870e-01 -5.9361e-01 -5.1153e-01 -1.7073e-01  6.0600e-02 -2.5236e-01  8.9140e-02 -1.2210e-01 -1.2037e-01 -1.4366e-01  1.0772e-01 -5.0677e-02 -1.5409e-01 -2.0034e-01  7.6194e-02 -1.8882e-02 -1.8968e-01 -6.7334e-02 -3.6667e-01
     3      1.25         inf         inf         inf         inf         inf         inf         inf         inf         inf         inf         inf -5.5193e-01 -1.4977e-01 -1.6706e-01 -4.5668e-02  1.0748e-01 -1.7767e-01  7.9689e-02 -3.8810e-01  0.0000e+00 -6.2081e-01 -5.1532e-01 -7.2086e-01 -7.3532e-01 -5.0441e-02 -2.0345e-01 -1.1818e-01 -1.2315e-01 -1.3851e-01 -2.2426e-01 -5.1295e-02 -1.6000e-01 -1.8907e-01 -2.6118e-01  1.4307e-01 -1.7108e-01 -3.2251e-01  3.9662e-02 -2.8864e-01 -3.0171e-01
     4      1.75         inf         inf         inf         inf         inf         inf         inf         inf         inf         inf         inf -4.2473e-01 -2.3065e-01 -2.5471e-01 -1.8651e-01 -2.8344e-01 -1.4812e-01 -3.9423e-01 -3.8604e-02 -2.0114e-01 -4.2953e-01 -5.3839e-01 -6.4012e-01 -3.8476e-01 -1.9082e-01 -8.6191e-02 -1.9566e-01  2.8478e-02  8.2901e-02 -1.1556e-01 -3.5219e-01 -4.3055e-01 -1.2937e-01 -5.4175e-02 -1.9429e-01  1.1488e-01 -2.2322e-01 -1.0090e-01  1.4299e-01 -4.1577e-01
     5      2.25         inf         inf         inf         inf         inf         inf         inf         inf         inf         inf         inf -3.1637e-01  1.8965e-02 -4.7989e-02 -2.2863e-01 -1.7960e-01 -1.0263e-01  1.3025e-01 -2.8029e-01  1.8924e-02 -6.5416e-01 -6.1720e-01 -5.5269e-01 -7.8635e-01 -7.0783e-02 -1.5341e-01 -1.5496e-01  1.7065e-02 -1.2259e-01 -2.6551e-01  0.0000e+00  1.2396e-01  1.8286e-02 -3.5472e-01 -3.7313e-01 -1.8009e-01 -1.4591e-01 -1.4945e-01 -1.7767e-01 -3.1214e-01
     6      2.75         inf         inf         inf         inf         inf         inf         inf         inf         inf         inf         inf -3.5797e-01 -1.3282e-01 -1.0241e-01  8.7648e-03 -2.9311e-01  1.7374e-01 -1.2965e-01  1.9519e-02  4.0027e-02 -8.0910e-01 -3.8043e-01 -5.1039e-01 -6.0147e-01 -2.1018e-01 -8.3320e-02 -8.0843e-02 -6.0883e-02 -2.3271e-01  1.6313e-01 -4.0117e-01 -1.4430e-01 -9.5345e-03 -2.1236e-01 -3.0028e-01  9.2080e-02 -1.6246e-01 -1.8248e-02 -5.1807e-01 -3.8889e-01
     7      3.25         inf         inf         inf         inf         inf         inf         inf         inf         inf         inf         inf -5.8382e-01 -1.6034e-01 -2.4237e-01 -1.6229e-01 -1.0154e-01 -2.8478e-02 -5.8822e-02  0.0000e+00 -4.2428e-01 -3.3913e-01 -8.1223e-01 -4.9485e-01 -4.3466e-01 -2.7869e-02 -1.7232e-01 -2.2128e-01  5.9493e-02 -1.7069e-01  3.3984e-01 -5.7397e-02 -1.7946e-02 -3.2669e-01  1.4723e-01 -1.4757e-01  0.0000e+00 -1.7319e-01 -3.2385e-01  2.1146e-01 -6.9992e-01
     8      3.75         inf         inf         inf         inf         inf         inf         inf         inf         inf         inf         inf -4.8512e-01 -1.7104e-01 -2.7869e-02 -1.7175e-01 -1.3494e-01  1.9006e-02 -2.7209e-01 -4.4606e-01 -3.3124e-01 -6.5851e-01 -6.4201e-01 -8.1459e-01 -1.0155e+00  9.6729e-02 -1.9651e-02 -1.4569e-01 -1.8788e-01 -2.2128e-01 -2.5790e-01 -4.7793e-01 -4.9073e-02 -2.8232e-02 -3.4683e-01  1.4992e-01 -3.0158e-01 -2.3695e-01  7.4719e-02 -3.2756e-01 -3.4685e-01
     9      4.25         inf         inf         inf         inf         inf         inf         inf         inf         inf         inf         inf -4.8784e-01 -3.3758e-01 -2.0430e-01 -5.5799e-02  5.5208e-02 -5.2344e-01  0.0000e+00  1.9135e-01 -4.1759e-02 -7.8481e-01 -7.4576e-01 -5.4475e-01 -6.1785e-01  3.6650e-02  9.4828e-02 -3.6253e-01  6.0320e-02 -2.1670e-01 -2.5155e-01 -2.8857e-02  3.7930e-02 -5.1043e-01  1.7395e-01  9.8039e-02 -2.1934e-01 -1.3573e-01 -1.5075e-01 -1.6318e-01 -3.9098e-01
    10      4.75         inf         inf         inf         inf         inf         inf         inf         inf         inf         inf         inf -3.2849e-01 -1.2396e-01 -1.4379e-01  7.2234e-02 -5.9493e-02 -1.1160e-01  3.5525e-02 -4.4004e-01 -3.6133e-01 -4.8193e-01 -3.3884e-01 -6.8895e-01 -4.8804e-01 -2.2088e-01 -2.9899e-01 -1.0628e-01 -4.5005e-02 -4.7568e-02  1.4755e-01 -6.1603e-02 -2.8645e-01  6.5875e-02 -5.7145e-02 -1.9435e-01 -2.2229e-01 -7.8430e-02 -9.6833e-03 -1.5042e-01 -6.4495e-01
    11      5.25         inf         inf         inf         inf         inf         inf         inf         inf         inf         inf         inf -1.9863e-01 -3.1142e-01  1.3364e-01 -3.3168e-01 -8.4826e-02 -1.0054e-01 -7.9145e-02  6.7633e-02 -1.9786e-02 -5.8243e-01 -5.9086e-01 -7.7272e-01 -4.5470e-01 -7.0292e-02  2.2601e-01 -7.0948e-02 -1.9765e-01 -2.5236e-01 -1.2234e-01 -2.6972e-01 -1.7413e-01  1.8096e-02 -2.8870e-01  7.2384e-02 -4.5381e-02  4.5381e-02 -2.1602e-01  1.8567e-01 -4.6277e-01
    12      5.75 -3.2185e-01 -4.1106e-01 -7.7935e-01 -3.9818e-01 -5.4544e-01 -5.7071e-01 -3.4263e-01 -2.8324e-01 -4.7751e-01 -4.6915e-01 -3.2756e-01 -1.2478e-01 -2.8443e-01 -1.9950e-01 -2.2276e-01 -2.7574e-02  1.0605e-01 -3.1034e-01 -2.3878e-01 -1.2563e-01 -4.2278e-01 -6.8410e-01 -5.2770e-01 -7.1843e-01 -3.5196e-01 -1.4067e-01 -3.2119e-01  1.3759e-01 -3.7930e-02 -2.5288e-01  6.1980e-02 -3.4390e-01 -2.5980e-02 -2.0476e-01 -1.8298e-01 -1.0068e-01 -1.1874e-01 -3.2185e-01  2.7574e-02 -4.4582e-01
    13      6.25 -2.0967e-01 -1.8078e-01 -2.0946e-01  9.3296e-03  1.9103e-01 -2.2913e-01 -4.6951e-02 -7.7555e-02 -3.4544e-01 -6.7185e-02 -1.6850e-01  1.2155e-01 -3.7142e-01  1.1824e-01 -1.2937e-01 -5.7651e-02 -5.9493e-02 -2.5582e-01 -1.5271e-01  6.9330e-02 -6.5460e-01 -6.2936e-01 -5.7173e-01 -2.5524e-01 -1.3453e-01  4.9977e-02 -1.6850e-01 -2.2145e-01 -2.3678e-01 -2.6793e-01  2.3192e-01 -1.9554e-01 -4.5668e-02 -5.2642e-02 -2.0486e-02 -3.2574e-01  8.8534e-02 -1.2847e-01 -8.9919e-02 -3.9467e-01
    14      6.75  1.9217e-02 -8.3789e-02 -1.2965e-01  5.0795e-02 -3.5328e-01 -1.4148e-01 -1.2748e-01 -4.4271e-02 -6.4205e-02 -1.0652e-01  2.8793e-02 -1.7033e-01 -1.1950e-01 -1.4786e-01 -1.5866e-01 -1.3453e-01 -9.3602e-02 -2.4000e-01 -1.3847e-01 -1.5694e-01 -4.6643e-01 -7.3821e-01 -8.2436e-01 -4.0836e-01 -4.2659e-01 -3.0904e-01 -2.3583e-01 -2.4185e-01 -2.4589e-01 -1.1702e-01 -5.7020e-02 -2.1602e-01  2.2528e-01 -1.1455e-01 -1.2288e-01 -2.2681e-01 -9.1143e-03 -3.4978e-01 -5.5799e-02 -4.9884e-01
    15      7.25 -6.5875e-02 -1.2965e-01 -5.0208e-02 -2.8870e-01 -1.9512e-01 -3.6267e-02 -2.8217e-01 -4.7568e-02 -2.7240e-01 -1.9831e-02 -1.4209e-01 -3.6251e-01 -2.0034e-01 -1.5307e-01 -6.9015e-02 -8.8998e-02 -7.3146e-02 -8.7471e-03 -4.5764e-02 -1.6839e-01 -4.0056e-01 -5.5357e-01 -6.2013e-01 -5.1490e-01 -3.8863e-02  1.1380e-01 -2.3532e-01 -5.6160e-02 -1.2234e-01 -1.4043e-01  4.2957e-02 -2.8314e-01 -1.1281e-01 -1.9696e-02 -3.7080e-01 -5.9223e-02  1.8924e-02 -1.7232e-01 -1.8562e-01 -1.5976e-01
    16      7.75 -9.7380e-02 -2.8422e-01 -1.9680e-01 -1.9345e-02 -9.5663e-02 -1.7429e-01 -7.6194e-02  7.1052e-02 -2.9393e-01 -1.3587e-01  1.5240e-01  6.6451e-02 -7.5368e-02  1.0159e-02 -1.1872e-01 -1.8118e-01 -1.3270e-01 -1.4757e-01 -2.0070e-01 -1.0748e-01 -9.0829e-01 -7.4745e-01 -4.3114e-01 -8.8089e-01 -2.1509e-01 -3.4369e-01 -3.7930e-02 -3.0556e-01 -7.1786e-02 -1.0636e-01 -2.8154e-01  4.7568e-02 -3.4972e-01 -1.7946e-02 -8.0676e-02 -2.2785e-01 -2.7584e-01 -1.8841e-02 -3.3863e-02 -4.6743e-01
    17      8.25 -1.7429e-01 -6.0042e-02  1.3946e-01 -2.0729e-01 -8.3969e-02 -1.3996e-01 -2.4237e-01 -2.0661e-01 -1.2965e-01  3.9482e-02 -1.5240e-01  2.8232e-02 -3.0473e-01 -1.4011e-01 -3.5587e-01 -1.4026e-01 -1.0821e-01 -7.5204e-02 -1.3936e-01  5.7907e-02 -3.2843e-01 -5.7600e-01 -5.9314e-01 -7.3093e-01 -1.0018e-02 -2.4159e-01  0.0000e+00  4.9521e-02 -1.0285e-01 -3.6323e-01 -1.4182e-01 -9.1648e-02 -1.5042e-01 -1.1582e-01 -1.0797e-01 -3.9214e-02 -4.0687e-01 -1.8171e-02 -2.1555e-01 -3.1757e-01
    18      8.75  6.6306e-02 -3.8494e-01 -1.6670e-01 -2.4447e-01 -2.6037e-01  1.0858e-01 -2.0332e-01 -1.1505e-01  9.4515e-03 -4.9408e-02 -3.0538e-01 -1.4600e-01 -1.8844e-01 -1.6777e-01  9.4515e-03  0.0000e+00 -2.0879e-01 -6.5449e-02 -2.5341e-01 -1.8682e-01 -5.3246e-01 -8.7150e-01 -5.1503e-01 -5.6404e-01  0.0000e+00 -6.9172e-02 -2.1003e-01 -1.1634e-01 -3.5417e-01 -2.8537e-01  2.6562e-02 -2.7374e-01  5.3288e-02 -1.5723e-01 -1.8763e-01  6.5875e-02 -1.0593e-01 -2.3432e-01 -3.6803e-01 -4.7795e-01
