Time Step 1
              ix           1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17          18          19          20          21          22          23          24          25          26          27          28          29          30          31          32          33          34          35          36          37          38          39          40
    iy       y/x        0.25        0.75        1.25        1.75        2.25        2.75        3.25        3.75        4.25        4.75        5.25        5.75        6.25        6.75        7.25        7.75        8.25        8.75        9.25        9.75       10.25       10.75       11.25       11.75       12.25       12.75       13.25       13.75       14.25       14.75       15.25       15.75       16.25       16.75       17.25       17.75       18.25       18.75       19.25       19.75
     1      0.25  5.6600e-04  5.7750e-04  5.6300e-04  5.8550e-04  5.7700e-04  5.4100e-04  5.6600e-04  5.7350e-04  5.4100e-04  5.9150e-04  3.8500e-04  2.8000e-04  3.0750e-04  3.1800e-04  3.2350e-04  3.1350e-04  3.3100e-04  3.2800e-04  3.0750e-04  3.0500e-04  3.9400e-04  4.0300e-04  4.1950e-04  4.3450e-04  3.2500e-04  3.3050e-04  3.3200e-04  3.1600e-04  3.2350e-04  3.0850e-04  3.4200e-04  3.1200e-04  3.2550e-04  3.2750e-04  3.1450e-04  3.0950e-04  3.0650e-04  3.3400e-04  3.2000e-04  3.2600e-04
     2      0.75  5.6450e-04  5.7100e-04  5.6000e-04  5.4350e-04  5.5500e-04  5.7650e-04  5.6250e-04  5.6050e-04  5.3200e-04  5.7250e-04  4.8000e-04  3.2150e-04  3.2050e-04  3.0000e-04  3.1550e-04  3.2350e-04  3.2700e-04  3.1950e-04  3.4350e-04  3.1350e-04  4.1650e-04  4.3950e-04  4.0200e-04  3.7750e-04  3.0300e-04  3.0150e-04  3.3200e-04  3.0750e-04  3.4250e-04  2.9550e-04  3.1400e-04  3.1650e-04  3.0300e-04  3.2600e-04  3.2950e-04  3.3000e-04  3.3300e-04  3.2600e-04  3.1250e-04  2.9200e-04
     3      1.25  5.3150e-04  5.5200e-04  5.7500e-04  5.7800e-04  5.8600e-04  5.8250e-04  5.7150e-04  5.6550e-04  5.7300e-04  5.8200e-04  4.9600e-04  3.1900e-04  3.1550e-04  3.3600e-04  3.3750e-04  3.0750e-04  3.2450e-04  3.1850e-04  3.3800e-04  3.2200e-04  4.4950e-04  3.8750e-04  3.7200e-04  3.8850e-04  2.9900e-04  3.0350e-04  3.1250e-04  3.1400e-04  3.0300e-04  3.0450e-04  3.5200e-04  3.1700e-04  3.0250e-04  3.4950e-04  2.9950e-04  3.2050e-04  3.4200e-04  3.0600e-04  3.0500e-04  2.9450e-04
     4      1.75  5.6950e-04  5.4300e-04  5.5100e-04  5.4350e-04  5.4250e-04  5.3300e-04  5.8700e-04  5.8850e-04  5.5400e-04  6.0600e-04  4.0250e-04  3.2000e-04  3.2000e-04  3.2350e-04  3.0300e-04  3.1900e-04  3.5450e-04  3.2900e-04  3.2550e-04  3.1800e-04  3.9450e-04  3.7950e-04  4.2000e-04  4.2250e-04  3.0500e-04  3.2550e-04  3.0500e-04  3.2050e-04  3.3450e-04  3.1850e-04  3.2350e-04  2.9850e-04  3.2850e-04  3.4050e-04  3.2900e-04  3.4750e-04  3.3500e-04  3.3750e-04  3.3950e-04  3.1950e-04
     5      2.25  5.4550e-04  5.3050e-04  5.6550e-04  5.4700e-04  5.4100e-04  6.0200e-04  5.7250e-04  5.4550e-04  5.5050e-04  6.1950e-04  3.8450e-04  2.7750e-04  3.1900e-04  3.1400e-04  3.1200e-04  3.1750e-04  3.3500e-04  3.0600e-04  3.1700e-04  3.2050e-04  4.1700e-04  4.0850e-04  4.3400e-04  4.1250e-04  3.0650e-04  3.1850e-04  3.3450e-04  3.5650e-04  3.5000e-04  3.3150e-04  3.0050e-04  3.1400e-04  3.3600e-04  3.1300e-04  3.3000e-04  3.5200e-04  3.0950e-04  3.3150e-04  3.2800e-04  2.9700e-04
     6      2.75  5.6400e-04  5.5100e-04  5.6800e-04  5.4700e-04  5.6000e-04  5.4500e-04  5.8600e-04  5.3900e-04  5.7000e-04  6.1000e-04  4.3850e-04  2.9400e-04  3.3950e-04  3.2550e-04  3.3900e-04  3.2650e-04  3.4350e-04  2.8900e-04  3.1250e-04  3.0050e-04  4.0100e-04  4.1900e-04  4.2900e-04  3.9350e-04  3.3300e-04  2.9300e-04  3.3400e-04  2.9750e-04  3.1050e-04  2.9300e-04  3.2100e-04  3.1950e-04  3.2800e-04  3.2100e-04  3.2550e-04  2.9750e-04  3.1500e-04  3.3200e-04  3.2200e-04  3.1100e-04
     7      3.25  5.4800e-04  5.7450e-04  5.3300e-04  5.6200e-04  5.7800e-04  5.6450e-04  5.7000e-04  5.8350e-04  5.4150e-04  6.0150e-04  4.2000e-04  3.1650e-04  3.2150e-04  3.1950e-04  3.5050e-04  3.3450e-04  3.2400e-04  3.0900e-04  3.2350e-04  3.0200e-04  3.8650e-04  4.1600e-04  4.0100e-04  4.1550e-04  3.2500e-04  3.0800e-04  3.2450e-04  3.1050e-04  3.4050e-04  3.1400e-04  3.1650e-04  3.3850e-04  3.2600e-04  3.1050e-04  3.0750e-04  3.2050e-04  3.4700e-04  3.3950e-04  3.4550e-04  3.0300e-04
     8      3.75  5.9700e-04  5.5700e-04  5.5050e-04  5.8050e-04  5.7650e-04  5.5550e-04  5.2850e-04  5.8400e-04  5.3350e-04  5.9600e-04  6.1400e-04  3.2900e-04  3.4750e-04  3.2900e-04  3.2700e-04  3.6600e-04  3.2350e-04  3.3750e-04  3.2350e-04  3.0650e-04  4.1150e-04  4.1750e-04  4.4000e-04  4.1700e-04  3.1050e-04  3.1250e-04  3.3200e-04  3.4350e-04  3.2000e-04  3.3900e-04  3.2750e-04  3.0950e-04  3.2300e-04  3.1050e-04  3.5100e-04  3.3050e-04  3.0650e-04  3.3050e-04  3.1150e-04  3.1200e-04
     9      4.25  5.8750e-04  5.6450e-04  5.3250e-04  5.7050e-04  5.8100e-04  5.6700e-04  5.5000e-04  5.4700e-04  5.8450e-04  6.0000e-04  4.9250e-04  3.1150e-04  3.2050e-04  3.1500e-04  3.1650e-04  3.2900e-04  3.3350e-04  3.3800e-04  3.1600e-04  2.9600e-04  4.3600e-04  4.0650e-04  4.3650e-04  4.1850e-04  3.3100e-04  3.3100e-04  3.2000e-04  3.2000e-04  3.0400e-04  3.0750e-04  3.1250e-04  3.2450e-04  3.3250e-04  2.8950e-04  3.1200e-04  3.1650e-04  3.1050e-04  3.2450e-04  3.0950e-04  3.0150e-04
