Time Step 1
              ix           1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17          18          19          20          21          22          23          24          25          26          27          28          29          30          31          32          33          34          35          36          37          38          39          40
    iy       y/x        0.25        0.75        1.25        1.75        2.25        2.75        3.25        3.75        4.25        4.75        5.25        5.75        6.25        6.75        7.25        7.75        8.25        8.75        9.25        9.75       10.25       10.75       11.25       11.75       12.25       12.75       13.25       13.75       14.25       14.75       15.25       15.75       16.25       16.75       17.25       17.75       18.25       18.75       19.25       19.75
     1      0.25  6.4190e-02  6.1664e-02  6.4244e-02  6.3566e-02  6.4363e-02  6.1362e-02  6.4878e-02  6.6083e-02  6.0817e-02  6.2564e-02  1.2631e-03  9.9583e-10  1.0860e-09  1.1527e-09  1.1620e-09  1.1394e-09  1.1641e-09  1.1590e-09  1.1236e-09  1.0853e-09  1.0461e-09  1.0687e-09  1.0918e-09  1.1204e-09  1.1833e-09  1.1531e-09  1.2182e-09  1.1271e-09  1.1209e-09  1.0913e-09  1.1921e-09  1.1306e-09  1.1390e-09  1.1983e-09  1.1709e-09  1.0791e-09  1.0783e-09  1.1960e-09  1.0924e-09  1.1231e-09
     2      0.75  6.3188e-02  6.5253e-02  6.1202e-02  6.1230e-02  6.2880e-02  6.3479e-02  6.4837e-02  6.4580e-02  5.9338e-02  6.2349e-02  1.7961e-03  1.1798e-09  1.1130e-09  1.0299e-09  1.1662e-09  1.1325e-09  1.1818e-09  1.1484e-09  1.2322e-09  1.0840e-09  1.0825e-09  1.1454e-09  1.0534e-09  1.0232e-09  1.0756e-09  1.0704e-09  1.2081e-09  1.0958e-09  1.2523e-09  1.0752e-09  1.1312e-09  1.1051e-09  1.0806e-09  1.1362e-09  1.1501e-09  1.1314e-09  1.1636e-09  1.1312e-09  1.1313e-09  1.0903e-09
     3      1.25  5.9127e-02  6.0911e-02  6.4291e-02  6.7184e-02  6.5770e-02  6.7138e-02  6.5254e-02  6.4272e-02  6.6826e-02  6.2030e-02  1.4103e-03  1.1437e-09  1.1541e-09  1.1680e-09  1.1902e-09  1.1259e-09  1.1374e-09  1.0935e-09  1.2058e-09  1.2068e-09  1.1539e-09  1.0130e-09  9.6761e-10  1.0183e-09  1.0724e-09  1.0692e-09  1.1059e-09  1.1553e-09  1.0844e-09  1.1074e-09  1.2807e-09  1.1611e-09  1.0769e-09  1.2383e-09  1.0960e-09  1.1398e-09  1.2084e-09  1.0939e-09  1.1021e-09  1.0756e-09
     4      1.75  6.5052e-02  6.0781e-02  6.2127e-02  6.0440e-02  6.2638e-02  6.1044e-02  6.5834e-02  6.8153e-02  6.2943e-02  6.3515e-02  1.2319e-03  1.1668e-09  1.1181e-09  1.1532e-09  1.1065e-09  1.0954e-09  1.2594e-09  1.1606e-09  1.1088e-09  1.1210e-09  1.0561e-09  1.0279e-09  1.0754e-09  1.0797e-09  1.0721e-09  1.1435e-09  1.1013e-09  1.1307e-09  1.1741e-09  1.1360e-09  1.1369e-09  1.0475e-09  1.1562e-09  1.2024e-09  1.1554e-09  1.2154e-09  1.2145e-09  1.1739e-09  1.2101e-09  1.1174e-09
     5      2.25  6.0378e-02  6.0677e-02  6.3601e-02  6.0593e-02  6.0378e-02  6.8036e-02  6.5379e-02  6.1712e-02  6.2096e-02  6.5485e-02  1.5421e-03  1.0372e-09  1.1316e-09  1.1146e-09  1.1129e-09  1.1676e-09  1.1715e-09  1.0946e-09  1.1256e-09  1.1301e-09  1.0855e-09  1.1292e-09  1.1398e-09  1.0900e-09  1.0741e-09  1.1228e-09  1.1994e-09  1.2699e-09  1.2156e-09  1.1833e-09  1.0729e-09  1.1381e-09  1.1906e-09  1.0950e-09  1.1994e-09  1.2611e-09  1.1242e-09  1.1547e-09  1.1715e-09  1.0769e-09
     6      2.75  6.3278e-02  6.1898e-02  6.3034e-02  6.3138e-02  6.2815e-02  6.2126e-02  6.8993e-02  6.2020e-02  6.3308e-02  6.4590e-02  1.4310e-03  1.0982e-09  1.2302e-09  1.1560e-09  1.2423e-09  1.1368e-09  1.2328e-09  9.9051e-10  1.0918e-09  1.0912e-09  1.0231e-09  1.0887e-09  1.1255e-09  9.7376e-10  1.2509e-09  1.0322e-09  1.1984e-09  1.0780e-09  1.1055e-09  1.0588e-09  1.1161e-09  1.1398e-09  1.1445e-09  1.1250e-09  1.1372e-09  1.0586e-09  1.1232e-09  1.2060e-09  1.1642e-09  1.0912e-09
     7      3.25  6.1817e-02  6.3951e-02  6.0537e-02  6.3949e-02  6.4094e-02  6.4346e-02  6.3210e-02  6.4749e-02  5.9514e-02  6.3843e-02  1.2987e-03  1.1055e-09  1.1290e-09  1.1690e-09  1.2674e-09  1.1726e-09  1.1519e-09  1.1284e-09  1.1834e-09  1.0896e-09  1.0231e-09  1.0718e-09  1.0657e-09  1.0976e-09  1.1713e-09  1.0708e-09  1.1081e-09  1.1064e-09  1.1993e-09  1.1310e-09  1.1486e-09  1.1690e-09  1.1565e-09  1.1062e-09  1.1094e-09  1.1438e-09  1.2042e-09  1.1932e-09  1.2447e-09  1.0945e-09
     8      3.75  6.9067e-02  5.9930e-02  6.3055e-02  6.1705e-02  6.5010e-02  6.3162e-02  5.8404e-02  6.7984e-02  6.1689e-02  6.2657e-02  2.1404e-03  1.1625e-09  1.2147e-09  1.1645e-09  1.2051e-09  1.2764e-09  1.1184e-09  1.1909e-09  1.1822e-09  1.1304e-09  1.0857e-09  1.0872e-09  1.1564e-09  1.0973e-09  1.1129e-09  1.0877e-09  1.1769e-09  1.2372e-09  1.1077e-09  1.1934e-09  1.1755e-09  1.1130e-09  1.1500e-09  1.1125e-09  1.2333e-09  1.1393e-09  1.0898e-09  1.1452e-09  1.1107e-09  1.1489e-09
     9      4.25  6.6222e-02  6.3773e-02  6.3154e-02  6.5195e-02  6.4004e-02  6.3858e-02  6.3370e-02  6.4924e-02  6.7241e-02  6.2636e-02  1.7677e-03  1.1343e-09  1.1246e-09  1.0985e-09  1.1609e-09  1.2001e-09  1.1678e-09  1.2004e-09  1.1385e-09  1.0460e-09  1.1265e-09  1.0764e-09  1.1498e-09  1.0724e-09  1.1858e-09  1.1510e-09  1.0952e-09  1.0905e-09  1.1022e-09  1.1299e-09  1.1304e-09  1.1603e-09  1.1670e-09  1.0413e-09  1.0988e-09  1.1320e-09  1.1035e-09  1.1543e-09  1.1274e-09  1.0655e-09
    10      4.75  6.4947e-02  6.2634e-02  5.9438e-02  6.3875e-02  6.5459e-02  6.4132e-02  6.4589e-02  6.1270e-02  6.3923e-02  5.7678e-02  1.4346e-03  1.0853e-09  1.1387e-09  1.2687e-09  1.2009e-09  1.1057e-09  1.1659e-09  1.2203e-09  1.0812e-09  1.1307e-09  1.1009e-09  1.0650e-09  1.1265e-09  1.0927e-09  1.1788e-09  1.1421e-09  1.1156e-09  1.1985e-09  1.1364e-09  1.1631e-09  1.0426e-09  1.1428e-09  1.1341e-09  1.1566e-09  1.1144e-09  1.1756e-09  1.1055e-09  1.1235e-09  1.1743e-09  1.0940e-09
    11      5.25  1.6058e-03  1.2499e-03  1.0637e-03  9.5080e-04  1.4810e-03  1.9162e-03  1.0198e-03  8.2434e-04  1.4449e-03  1.5449e-03  2.8604e-05  1.0475e-09  1.0696e-09  1.1522e-09  1.1387e-09  1.2523e-09  1.0876e-09  1.1005e-09  1.0999e-09  1.1054e-09  1.1414e-09  1.2005e-09  1.0235e-09  1.1824e-09  1.0829e-09  1.2087e-09  1.0863e-09  1.1532e-09  1.1820e-09  1.1528e-09  1.1209e-09  1.1211e-09  1.2113e-09  1.1635e-09  1.1949e-09  1.2009e-09  1.1686e-09  1.1362e-09  1.1094e-09  1.0868e-09
    12      5.75  1.1363e-09  1.0928e-09  1.0988e-09  1.1196e-09  1.0672e-09  1.1139e-09  1.0398e-09  1.1932e-09  1.0986e-09  1.0787e-09  1.1237e-09  1.1115e-09  1.1822e-09  1.1884e-09  1.1814e-09  1.1702e-09  1.1215e-09  1.1180e-09  1.1924e-09  1.1994e-09  1.0460e-09  1.0324e-09  1.0299e-09  1.0231e-09  1.1907e-09  1.2352e-09  1.2090e-09  1.1829e-09  1.1462e-09  1.1913e-09  1.2176e-09  1.1650e-09  1.2411e-09  1.1150e-09  1.2330e-09  1.1793e-09  1.2062e-09  1.1508e-09  1.1691e-09  1.0940e-09
    13      6.25  1.1929e-09  1.1351e-09  1.0734e-09  1.1573e-09  1.2016e-09  1.1214e-09  1.1284e-09  1.1167e-09  1.2026e-09  1.1234e-09  1.1159e-09  1.1825e-09  1.1536e-09  1.2038e-09  1.1721e-09  1.1248e-09  1.0723e-09  1.1310e-09  1.2165e-09  1.0966e-09  1.1551e-09  1.0703e-09  1.0569e-09  1.0435e-09  1.1305e-09  1.0763e-09  1.1622e-09  1.2651e-09  1.1809e-09  1.1496e-09  1.2350e-09  1.1619e-09  1.1851e-09  1.2365e-09  1.0622e-09  1.0217e-09  1.0910e-09  1.1171e-09  1.1908e-09  1.1756e-09
    14      6.75  1.1235e-09  1.1685e-09  1.1617e-09  1.0651e-09  1.0595e-09  1.1656e-09  1.1915e-09  1.2471e-09  1.1576e-09  1.1178e-09  1.1604e-09  1.1490e-09  1.1742e-09  1.1674e-09  1.0920e-09  1.1187e-09  1.1740e-09  1.1256e-09  1.1812e-09  1.1556e-09  1.1427e-09  1.0694e-09  1.1632e-09  1.1024e-09  1.1420e-09  1.1980e-09  1.1449e-09  1.1671e-09  1.0751e-09  1.1909e-09  1.1312e-09  1.1494e-09  1.1028e-09  1.1393e-09  1.1514e-09  1.0776e-09  1.2151e-09  1.2194e-09  1.1762e-09  1.1033e-09
    15      7.25  1.1354e-09  1.0788e-09  1.0876e-09  1.1578e-09  1.1826e-09  1.1976e-09  1.1167e-09  1.1298e-09  1.1585e-09  1.0942e-09  1.1496e-09  1.1584e-09  1.1938e-09  1.1479e-09  1.0846e-09  1.2265e-09  1.1782e-09  1.2461e-09  1.1849e-09  1.0931e-09  1.0851e-09  1.1613e-09  1.1546e-09  1.1467e-09  1.1040e-09  1.1444e-09  1.1541e-09  1.1502e-09  1.0508e-09  1.0690e-09  1.2729e-09  1.2093e-09  1.1710e-09  1.1064e-09  1.2191e-09  1.1084e-09  1.1348e-09  1.0568e-09  1.1631e-09  1.0634e-09
    16      7.75  1.1244e-09  1.0821e-09  1.1644e-09  1.1114e-09  1.1297e-09  1.1843e-09  1.1083e-09  1.2228e-09  1.1772e-09  1.2084e-09  1.1274e-09  1.1354e-09  1.1518e-09  1.0339e-09  1.1128e-09  1.1319e-09  1.0760e-09  1.0868e-09  1.1316e-09  1.1084e-09  1.0387e-09  1.0987e-09  1.0914e-09  1.0357e-09  1.1823e-09  1.0907e-09  1.1311e-09  1.1393e-09  1.1945e-09  1.2311e-09  1.1233e-09  1.1314e-09  1.2497e-09  1.1767e-09  1.1891e-09  1.1044e-09  1.0950e-09  1.1586e-09  1.2620e-09  1.1702e-09
    17      8.25  1.1790e-09  1.0705e-09  1.0833e-09  1.1509e-09  1.1494e-09  1.1683e-09  1.1684e-09  1.1264e-09  1.1469e-09  1.1108e-09  1.1496e-09  1.1451e-09  1.1708e-09  1.0987e-09  1.1581e-09  1.1509e-09  1.1032e-09  1.1622e-09  1.1570e-09  1.1313e-09  1.2093e-09  1.1194e-09  9.8215e-10  1.1582e-09  1.0834e-09  1.2245e-09  1.1195e-09  1.0910e-09  1.1544e-09  1.2288e-09  1.2054e-09  1.0644e-09  1.1321e-09  1.2297e-09  1.1156e-09  1.1044e-09  1.1662e-09  1.1986e-09  1.1655e-09  1.1148e-09
    18      8.75  1.1451e-09  1.0688e-09  1.1794e-09  1.1402e-09  1.1243e-09  1.1897e-09  1.1738e-09  1.1138e-09  1.1727e-09  1.0858e-09  1.1799e-09  1.1803e-09  1.1594e-09  1.1617e-09  1.1248e-09  1.1087e-09  1.1895e-09  1.1408e-09  1.1905e-09  1.1700e-09  1.0372e-09  1.0331e-09  1.0722e-09  1.0809e-09  1.1410e-09  1.1068e-09  1.1376e-09  1.1149e-09  1.1922e-09  1.1014e-09  1.2392e-09  1.0593e-09  1.2284e-09  1.1038e-09  1.1503e-09  1.1346e-09  1.2467e-09  1.2073e-09  1.1477e-09  1.0478e-09
    19      9.25  1.1768e-09  1.2337e-09  1.2753e-09  1.1361e-09  1.1605e-09  1.2145e-09  1.1485e-09  1.1205e-09  1.1575e-09  1.2086e-09  1.1899e-09  1.1684e-09  1.1279e-09  1.2098e-09  1.1131e-09  1.1895e-09  1.1186e-09  1.1815e-09  1.2420e-09  1.1133e-09  1.1303e-09  1.0645e-09  1.1276e-09  1.0255e-09  1.0943e-09  1.2658e-09  1.0783e-09  1.1720e-09  1.1515e-09  1.0936e-09  1.1180e-09  1.1340e-09  1.2097e-09  1.1858e-09  1.1881e-09  1.0785e-09  1.0748e-09  1.1118e-09  1.1625e-09  1.0773e-09
    20      9.75  1.1719e-09  1.1343e-09  1.1323e-09  1.2174e-09  1.0837e-09  1.1537e-09  1.1476e-09  1.1422e-09  1.2030e-09  1.2177e-09  1.1523e-09  1.1038e-09  1.0929e-09  1.1936e-09  1.0684e-09  1.0654e-09  1.1315e-09  1.0752e-09  1.1697e-09  1.1522e-09  1.1324e-09  1.1139e-09  1.1018e-09  1.1470e-09  1.1735e-09  1.0899e-09  1.0884e-09  1.0777e-09  1.1553e-09  1.1722e-09  1.1185e-09  1.1551e-09  1.1508e-09  1.0773e-09  1.0359e-09  1.1682e-09  1.2123e-09  1.1558e-09  1.1472e-09  1.0977e-09
    21     10.25  1.1470e-09  1.0576e-09  1.1726e-09  1.1728e-09  1.1333e-09  1.0478e-09  1.0718e-09  1.1832e-09  1.1556e-09  1.1485e-09  1.1632e-09  1.1810e-09  1.1397e-09  1.1035e-09  1.1724e-09  1.1338e-09  1.1398e-09  1.2335e-09  1.1667e-09  1.1298e-09  1.0948e-09  1.1735e-09  1.1149e-09  1.0849e-09  1.1088e-09  1.0491e-09  1.1341e-09  1.1704e-09  1.1180e-09  1.1676e-09  1.1882e-09  1.2598e-09  1.1597e-09  1.1767e-09  1.1331e-09  1.0382e-09  1.1460e-09  1.2366e-09  1.1775e-09  1.1552e-09
    22     10.75  1.2099e-09  1.1481e-09  1.0923e-09  1.0347e-09  1.1830e-09  1.2049e-09  1.1173e-09  1.1895e-09  1.2136e-09  1.1635e-09  1.1733e-09  1.1700e-09  1.1938e-09  1.0987e-09  1.0581e-09  1.1426e-09  1.1592e-09  1.1320e-09  1.1851e-09  1.1600e-09  1.2218e-09  1.1575e-09  1.1148e-09  1.0709e-09  1.1044e-09  1.1426e-09  1.1399e-09  1.0686e-09  1.2071e-09  1.2029e-09  1.1140e-09  1.1563e-09  1.1440e-09  1.1948e-09  1.1377e-09  1.2104e-09  1.2031e-09  1.2168e-09  1.1098e-09  1.0957e-09
    23     11.25  1.1685e-09  1.0599e-09  1.1960e-09  1.1633e-09  1.1435e-09  1.1620e-09  1.1428e-09  1.1691e-09  1.2216e-09  1.1178e-09  1.0490e-09  1.2032e-09  1.1967e-09  1.2382e-09  1.1527e-09  1.1049e-09  1.2299e-09  1.1807e-09  1.1711e-09  1.1767e-09  1.1021e-09  1.1475e-09  1.1525e-09  1.1871e-09  1.2061e-09  1.1456e-09  1.1396e-09  1.1565e-09  1.1065e-09  1.1476e-09  1.1064e-09  1.2276e-09  1.1990e-09  1.1601e-09  1.0978e-09  1.1062e-09  1.0912e-09  1.1779e-09  1.0345e-09  1.1174e-09
    24     11.75  1.0993e-09  1.0852e-09  1.1786e-09  1.1626e-09  1.1019e-09  1.1496e-09  1.1348e-09  1.0371e-09  1.1381e-09  1.1435e-09  1.1038e-09  1.1396e-09  1.1728e-09  1.1065e-09  1.1287e-09  1.1927e-09  1.1943e-09  1.1756e-09  1.0812e-09  1.1359e-09  1.1475e-09  1.1521e-09  1.2630e-09  1.1117e-09  1.1362e-09  1.1405e-09  1.1728e-09  1.2097e-09  1.1386e-09  1.2291e-09  1.1459e-09  1.1653e-09  1.0800e-09  1.2290e-09  1.1647e-09  1.1351e-09  1.1918e-09  1.0945e-09  1.0785e-09  1.0880e-09
    25     12.25  1.1337e-09  1.1464e-09  1.1844e-09  1.1337e-09  1.1586e-09  1.1640e-09  1.1892e-09  1.1906e-09  1.1820e-09  1.2216e-09  1.1624e-09  1.1186e-09  1.1695e-09  1.1450e-09  1.1367e-09  1.2601e-09  1.1311e-09  1.2189e-09  1.2199e-09  1.0764e-09  1.1421e-09  1.1040e-09  1.0999e-09  1.1647e-09  1.1764e-09  1.0611e-09  1.0582e-09  1.1287e-09  1.0785e-09  1.1463e-09  1.1087e-09  1.1516e-09  1.2190e-09  1.1567e-09  1.1753e-09  1.2205e-09  1.0866e-09  1.1293e-09  1.1507e-09  1.1380e-09
    26     12.75  1.1968e-09  1.1168e-09  1.2007e-09  1.1569e-09  1.1176e-09  1.1350e-09  1.1115e-09  1.1402e-09  1.2049e-09  1.1706e-09  1.0796e-09  1.1385e-09  1.1607e-09  1.1667e-09  1.1296e-09  1.0528e-09  1.1429e-09  1.1583e-09  1.2258e-09  1.1856e-09  1.2432e-09  1.1809e-09  1.1015e-09  1.1556e-09  1.1209e-09  1.2385e-09  1.0890e-09  1.1200e-09  1.0829e-09  1.1504e-09  1.2417e-09  1.1361e-09  1.1223e-09  1.1466e-09  1.0523e-09  1.1086e-09  1.1732e-09  1.1828e-09  1.1748e-09  1.1037e-09
    27     13.25  1.0458e-09  1.1476e-09  1.2307e-09  1.2028e-09  1.1580e-09  1.1627e-09  1.1599e-09  1.1631e-09  1.2441e-09  1.1550e-09  1.1152e-09  1.1500e-09  1.1325e-09  1.1803e-09  1.0998e-09  1.1194e-09  1.1496e-09  1.1519e-09  1.1218e-09  1.1353e-09  1.1045e-09  1.1353e-09  1.2214e-09  1.1459e-09  1.2054e-09  1.2013e-09  1.1714e-09  1.1574e-09  1.0775e-09  1.1386e-09  1.0954e-09  1.1572e-09  1.1148e-09  1.1251e-09  1.1535e-09  1.1316e-09  1.0908e-09  1.2072e-09  1.1402e-09  1.1831e-09
