Time Step 1
              ix           1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17          18          19          20          21          22          23          24          25          26          27          28          29          30          31          32          33          34          35          36          37          38          39          40
    iy       y/x        0.25        0.75        1.25        1.75        2.25        2.75        3.25        3.75        4.25        4.75        5.25        5.75        6.25        6.75        7.25        7.75        8.25        8.75        9.25        9.75       10.25       10.75       11.25       11.75       12.25       12.75       13.25       13.75       14.25       14.75       15.25       15.75       16.25       16.75       17.25       17.75       18.25       18.75       19.25       19.75
     1      0.25  2.4005e-03  2.3272e-03  2.4220e-03  2.3484e-03  2.3952e-03  2.3353e-03  2.4310e-03  2.4468e-03  2.3156e-03  2.4396e-03  3.1509e-04  4.8077e-11  4.9947e-11  5.1586e-11  5.1950e-11  5.1383e-11  5.1971e-11  5.2071e-11  5.1070e-11  5.0094e-11  4.8993e-11  4.9355e-11  4.9987e-11  5.0555e-11  5.2452e-11  5.1808e-11  5.3377e-11  5.1023e-11  5.0703e-11  5.0150e-11  5.2730e-11  5.1424e-11  5.1340e-11  5.2826e-11  5.2429e-11  4.9894e-11  4.9918e-11  5.2879e-11  5.0111e-11  5.0872e-11
     2      0.75  2.3649e-03  2.4329e-03  2.2929e-03  2.2785e-03  2.3384e-03  2.3349e-03  2.4076e-03  2.3979e-03  2.2604e-03  2.4322e-03  3.8179e-04  5.1736e-11  4.9986e-11  4.8046e-11  5.1703e-11  5.0966e-11  5.1709e-11  5.0895e-11  5.2832e-11  4.9196e-11  4.9053e-11  5.0758e-11  4.8860e-11  4.8005e-11  4.9259e-11  4.9082e-11  5.2252e-11  4.9772e-11  5.3414e-11  4.9437e-11  5.0753e-11  4.9864e-11  4.9056e-11  5.0410e-11  5.0892e-11  5.0136e-11  5.0861e-11  5.0548e-11  5.0665e-11  5.0248e-11
     3      1.25  2.2711e-03  2.3091e-03  2.3818e-03  2.4363e-03  2.4036e-03  2.4144e-03  2.3939e-03  2.4125e-03  2.4393e-03  2.4010e-03  3.1779e-04  5.0912e-11  5.1365e-11  5.1003e-11  5.1812e-11  5.0600e-11  5.0791e-11  4.9687e-11  5.2235e-11  5.2705e-11  5.0676e-11  4.7066e-11  4.6357e-11  4.7606e-11  4.9207e-11  4.9173e-11  5.0191e-11  5.1088e-11  4.9516e-11  5.0135e-11  5.4134e-11  5.1533e-11  4.9424e-11  5.2847e-11  4.9642e-11  5.0586e-11  5.2343e-11  4.9931e-11  4.9886e-11  4.9675e-11
     4      1.75  2.4020e-03  2.3025e-03  2.3148e-03  2.3056e-03  2.3497e-03  2.3388e-03  2.3635e-03  2.4647e-03  2.3536e-03  2.4244e-03  2.7469e-04  5.1346e-11  5.0164e-11  5.0641e-11  5.0077e-11  4.9601e-11  5.3484e-11  5.1311e-11  4.9774e-11  5.0365e-11  4.8498e-11  4.7621e-11  4.8826e-11  4.8784e-11  4.9154e-11  5.0945e-11  5.0080e-11  5.0839e-11  5.1595e-11  5.0663e-11  5.0875e-11  4.8432e-11  5.1116e-11  5.2034e-11  5.1189e-11  5.2484e-11  5.2739e-11  5.1479e-11  5.2435e-11  5.0456e-11
     5      2.25  2.3101e-03  2.3061e-03  2.3592e-03  2.2969e-03  2.2772e-03  2.4374e-03  2.4285e-03  2.3087e-03  2.3203e-03  2.4631e-03  3.7295e-04  4.8650e-11  5.0641e-11  5.0347e-11  5.0426e-11  5.1599e-11  5.1434e-11  4.9961e-11  5.0364e-11  5.0687e-11  4.9231e-11  5.0341e-11  5.0649e-11  4.9488e-11  4.9166e-11  5.0167e-11  5.2188e-11  5.3672e-11  5.2424e-11  5.1759e-11  4.9164e-11  5.0656e-11  5.1848e-11  4.9769e-11  5.2043e-11  5.3382e-11  5.0535e-11  5.1147e-11  5.1386e-11  4.9607e-11
     6      2.75  2.3959e-03  2.3032e-03  2.3303e-03  2.3392e-03  2.3693e-03  2.3525e-03  2.4577e-03  2.3316e-03  2.3177e-03  2.4461e-03  3.3585e-04  5.0058e-11  5.2714e-11  5.1110e-11  5.3085e-11  5.0400e-11  5.2910e-11  4.7003e-11  4.9404e-11  4.9912e-11  4.7815e-11  4.9382e-11  5.0325e-11  4.6293e-11  5.3452e-11  4.8057e-11  5.2188e-11  4.9394e-11  5.0121e-11  4.8937e-11  5.0172e-11  5.0790e-11  5.0563e-11  5.0215e-11  5.0604e-11  4.8973e-11  5.0113e-11  5.2552e-11  5.1262e-11  4.9710e-11
     7      3.25  2.3513e-03  2.3348e-03  2.2856e-03  2.3632e-03  2.3559e-03  2.3671e-03  2.3588e-03  2.3979e-03  2.2654e-03  2.4386e-03  3.2630e-04  5.0101e-11  5.0321e-11  5.1416e-11  5.3654e-11  5.1212e-11  5.1304e-11  5.0533e-11  5.1911e-11  4.9589e-11  4.7648e-11  4.8887e-11  4.8875e-11  4.9701e-11  5.1614e-11  4.8996e-11  4.9807e-11  4.9964e-11  5.2053e-11  5.0675e-11  5.1152e-11  5.1513e-11  5.1029e-11  4.9909e-11  5.0143e-11  5.0789e-11  5.2118e-11  5.2098e-11  5.3200e-11  4.9953e-11
     8      3.75  2.5013e-03  2.2573e-03  2.3676e-03  2.2714e-03  2.3933e-03  2.3482e-03  2.2300e-03  2.4618e-03  2.3219e-03  2.3898e-03  4.6114e-04  5.1339e-11  5.1917e-11  5.1314e-11  5.2276e-11  5.3388e-11  5.0088e-11  5.2205e-11  5.2010e-11  5.0599e-11  4.9123e-11  4.9213e-11  5.1003e-11  4.9549e-11  5.0143e-11  4.9464e-11  5.1718e-11  5.3049e-11  5.0039e-11  5.1985e-11  5.1455e-11  5.0346e-11  5.0852e-11  5.0124e-11  5.2656e-11  5.0441e-11  4.9680e-11  5.0962e-11  5.0145e-11  5.1325e-11
     9      4.25  2.4234e-03  2.3739e-03  2.3667e-03  2.3929e-03  2.3252e-03  2.3341e-03  2.3565e-03  2.3930e-03  2.3919e-03  2.3874e-03  3.9359e-04  5.0858e-11  5.0236e-11  4.9679e-11  5.1484e-11  5.2115e-11  5.1486e-11  5.2296e-11  5.1042e-11  4.8262e-11  4.9961e-11  4.8895e-11  5.0696e-11  4.9106e-11  5.1893e-11  5.0958e-11  4.9639e-11  4.9322e-11  4.9920e-11  5.0633e-11  5.0385e-11  5.1199e-11  5.1299e-11  4.8675e-11  4.9759e-11  5.0426e-11  4.9817e-11  5.1106e-11  5.0682e-11  4.9080e-11
