Time Step 1
 iy/ix           1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17          18          19          20          21          22          23          24          25          26          27          28          29          30          31          32          33          34          35          36          37          38          39          40
     1  9.7835e-01  9.7835e-01  9.7835e-01  9.7835e-01  9.7835e-01  9.7834e-01  9.7842e-01  9.7746e-01  9.8907e-01  8.4419e-01  4.9865e-03  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08
     2  9.7835e-01  9.7835e-01  9.7835e-01  9.7835e-01  9.7835e-01  9.7834e-01  9.7842e-01  9.7746e-01  9.8907e-01  8.4417e-01  4.9866e-03  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08
     3  9.7835e-01  9.7835e-01  9.7835e-01  9.7835e-01  9.7835e-01  9.7834e-01  9.7842e-01  9.7746e-01  9.8907e-01  8.4417e-01  4.9866e-03  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08
     4  9.7835e-01  9.7835e-01  9.7835e-01  9.7835e-01  9.7835e-01  9.7834e-01  9.7842e-01  9.7746e-01  9.8907e-01  8.4417e-01  4.9866e-03  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08
     5  9.7835e-01  9.7835e-01  9.7835e-01  9.7835e-01  9.7835e-01  9.7834e-01  9.7842e-01  9.7746e-01  9.8907e-01  8.4417e-01  4.9866e-03  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08
     6  9.7835e-01  9.7835e-01  9.7835e-01  9.7835e-01  9.7835e-01  9.7834e-01  9.7842e-01  9.7746e-01  9.8907e-01  8.4417e-01  4.9866e-03  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08
     7  9.7835e-01  9.7835e-01  9.7835e-01  9.7835e-01  9.7835e-01  9.7834e-01  9.7843e-01  9.7746e-01  9.8908e-01  8.4417e-01  4.9867e-03  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08
     8  9.7831e-01  9.7831e-01  9.7831e-01  9.7831e-01  9.7832e-01  9.7831e-01  9.7839e-01  9.7743e-01  9.8904e-01  8.4414e-01  4.9844e-03  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08
     9  9.7874e-01  9.7874e-01  9.7874e-01  9.7874e-01  9.7875e-01  9.7874e-01  9.7882e-01  9.7786e-01  9.8948e-01  8.4449e-01  5.0183e-03  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08
    10  9.7336e-01  9.7336e-01  9.7336e-01  9.7336e-01  9.7336e-01  9.7336e-01  9.7344e-01  9.7248e-01  9.8403e-01  8.4017e-01  4.5105e-03  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08
    11  1.3418e-01  1.3418e-01  1.3418e-01  1.3418e-01  1.3418e-01  1.3418e-01  1.3419e-01  1.3404e-01  1.3624e-01  1.0418e-01  9.8576e-04  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08
    12  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08
    13  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08
    14  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08
    15  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08
    16  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08
    17  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08
    18  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08
    19  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08
    20  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08  1.8025e-08
