Time Step 1
              ix           1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17          18          19          20          21          22          23          24          25          26          27          28          29          30          31          32          33          34          35          36          37          38          39          40
    iy       y/x        0.25        0.75        1.25        1.75        2.25        2.75        3.25        3.75        4.25        4.75        5.25        5.75        6.25        6.75        7.25        7.75        8.25        8.75        9.25        9.75       10.25       10.75       11.25       11.75       12.25       12.75       13.25       13.75       14.25       14.75       15.25       15.75       16.25       16.75       17.25       17.75       18.25       18.75       19.25       19.75
     1      0.25  1.3985e-03  1.4242e-03  1.4213e-03  1.3648e-03  1.3849e-03  1.4483e-03  1.4040e-03  1.3709e-03  1.4497e-03  1.5205e-03  6.2233e-02  2.3308e-03  2.1152e-03  2.0026e-03  1.9988e-03  2.0336e-03  1.9931e-03  2.0185e-03  2.0658e-03  2.1307e-03  2.1933e-03  2.1326e-03  2.0960e-03  2.0361e-03  1.9650e-03  2.0185e-03  1.9199e-03  2.0492e-03  2.0462e-03  2.1118e-03  1.9567e-03  2.0687e-03  2.0317e-03  1.9435e-03  2.0050e-03  2.1377e-03  2.1432e-03  1.9548e-03  2.1043e-03  2.0518e-03
     2      0.75  1.4007e-03  1.3901e-03  1.4036e-03  1.3847e-03  1.3830e-03  1.3529e-03  1.3789e-03  1.3787e-03  1.4511e-03  1.5217e-03  4.5183e-02  1.9228e-03  2.0170e-03  2.1763e-03  1.9654e-03  2.0253e-03  1.9145e-03  1.9639e-03  1.8383e-03  2.0598e-03  2.0533e-03  1.9637e-03  2.1515e-03  2.2014e-03  2.0973e-03  2.1025e-03  1.8706e-03  2.0629e-03  1.8191e-03  2.1139e-03  2.0129e-03  2.0361e-03  2.0610e-03  1.9686e-03  1.9581e-03  1.9635e-03  1.9106e-03  1.9969e-03  2.0058e-03  2.1238e-03
     3      1.25  1.4753e-03  1.4372e-03  1.3725e-03  1.3150e-03  1.3356e-03  1.2932e-03  1.3458e-03  1.4090e-03  1.3324e-03  1.4982e-03  5.0774e-02  1.9815e-03  1.9808e-03  1.9067e-03  1.8951e-03  2.0198e-03  1.9943e-03  2.0646e-03  1.8766e-03  1.9072e-03  1.9288e-03  2.1586e-03  2.2953e-03  2.1858e-03  2.1054e-03  2.1149e-03  2.0598e-03  1.9555e-03  2.0852e-03  2.0497e-03  1.7867e-03  1.9700e-03  2.1065e-03  1.8213e-03  2.0517e-03  1.9697e-03  1.8764e-03  2.0835e-03  2.0490e-03  2.1330e-03
     4      1.75  1.3634e-03  1.4350e-03  1.3883e-03  1.4552e-03  1.4072e-03  1.4679e-03  1.2889e-03  1.3079e-03  1.3981e-03  1.4570e-03  4.9722e-02  1.9365e-03  2.0128e-03  1.9284e-03  2.0481e-03  2.0504e-03  1.8036e-03  1.9545e-03  2.0152e-03  2.0186e-03  2.1089e-03  2.1464e-03  2.0615e-03  2.0416e-03  2.1021e-03  1.9847e-03  2.0677e-03  2.0217e-03  1.9310e-03  1.9891e-03  2.0026e-03  2.1377e-03  1.9547e-03  1.8728e-03  1.9627e-03  1.8648e-03  1.8857e-03  1.9231e-03  1.8775e-03  2.0389e-03
     5      2.25  1.4638e-03  1.4445e-03  1.3760e-03  1.4370e-03  1.4225e-03  1.2834e-03  1.3797e-03  1.3996e-03  1.3962e-03  1.4148e-03  5.8486e-02  2.2000e-03  2.0026e-03  2.0404e-03  2.0530e-03  1.9529e-03  1.9277e-03  2.0834e-03  2.0020e-03  2.0115e-03  2.0568e-03  1.9874e-03  1.9748e-03  2.0615e-03  2.0953e-03  1.9961e-03  1.8932e-03  1.7862e-03  1.8599e-03  1.9133e-03  2.0998e-03  1.9809e-03  1.8962e-03  2.0657e-03  1.8826e-03  1.7919e-03  2.0206e-03  1.9620e-03  1.9238e-03  2.1219e-03
     6      2.75  1.4336e-03  1.3846e-03  1.3666e-03  1.3726e-03  1.4227e-03  1.4338e-03  1.2689e-03  1.4133e-03  1.3402e-03  1.4342e-03  5.5083e-02  2.0778e-03  1.8360e-03  1.9549e-03  1.8260e-03  1.9657e-03  1.8420e-03  2.2518e-03  2.0476e-03  2.0920e-03  2.1841e-03  2.0575e-03  1.9992e-03  2.2601e-03  1.8260e-03  2.1678e-03  1.8964e-03  2.0996e-03  2.0557e-03  2.1361e-03  2.0207e-03  1.9857e-03  1.9519e-03  1.9924e-03  1.9801e-03  2.1404e-03  1.9904e-03  1.8988e-03  1.9389e-03  2.0752e-03
     7      3.25  1.4468e-03  1.3329e-03  1.4255e-03  1.3656e-03  1.3511e-03  1.3533e-03  1.3925e-03  1.3714e-03  1.4490e-03  1.4589e-03  6.3124e-02  2.0541e-03  1.9866e-03  1.9344e-03  1.7922e-03  1.9075e-03  1.9838e-03  2.0055e-03  1.9242e-03  2.0714e-03  2.1692e-03  2.0804e-03  2.1032e-03  2.0505e-03  1.9417e-03  2.0936e-03  2.0203e-03  2.0393e-03  1.8839e-03  2.0076e-03  1.9833e-03  1.9418e-03  1.9468e-03  2.0355e-03  2.0428e-03  1.9717e-03  1.8733e-03  1.9063e-03  1.8269e-03  2.0831e-03
     8      3.75  1.3116e-03  1.4187e-03  1.4099e-03  1.3551e-03  1.3553e-03  1.3821e-03  1.4579e-03  1.3113e-03  1.4166e-03  1.4547e-03  4.6417e-02  1.9502e-03  1.8269e-03  1.9418e-03  1.8818e-03  1.7494e-03  2.0057e-03  1.9216e-03  1.9354e-03  2.0037e-03  2.0472e-03  2.0491e-03  1.9451e-03  2.0389e-03  2.0301e-03  2.0679e-03  1.9310e-03  1.8385e-03  2.0408e-03  1.8975e-03  1.9162e-03  2.0463e-03  1.9554e-03  2.0299e-03  1.8229e-03  1.9600e-03  2.0783e-03  1.9802e-03  2.0384e-03  1.9957e-03
     9      4.25  1.3392e-03  1.3856e-03  1.4044e-03  1.3472e-03  1.3198e-03  1.3361e-03  1.3828e-03  1.3585e-03  1.2653e-03  1.4527e-03  4.9574e-02  2.0102e-03  1.9956e-03  2.0453e-03  1.9669e-03  1.8857e-03  1.9438e-03  1.8980e-03  2.0101e-03  2.1289e-03  1.9668e-03  2.0632e-03  1.9441e-03  2.0970e-03  1.9151e-03  1.9602e-03  2.0544e-03  2.0455e-03  2.0515e-03  2.0081e-03  1.9869e-03  1.9472e-03  1.9325e-03  2.1849e-03  2.0506e-03  1.9843e-03  2.0380e-03  1.9602e-03  2.0210e-03  2.1220e-03
