Time Step 1
 iy/ix           1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17          18          19          20          21          22          23          24          25          26          27          28          29          30          31          32          33          34          35          36          37          38          39          40
     1  9.8350e-01  9.8350e-01  9.8350e-01  9.8350e-01  9.8350e-01  9.8350e-01  9.8356e-01  9.8283e-01  9.9170e-01  8.8276e-01  5.0374e-02  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08
     2  9.8350e-01  9.8350e-01  9.8350e-01  9.8350e-01  9.8350e-01  9.8350e-01  9.8356e-01  9.8283e-01  9.9170e-01  8.8276e-01  5.0374e-02  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08
     3  9.8350e-01  9.8350e-01  9.8350e-01  9.8350e-01  9.8350e-01  9.8350e-01  9.8356e-01  9.8283e-01  9.9170e-01  8.8276e-01  5.0374e-02  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08
     4  9.8350e-01  9.8350e-01  9.8350e-01  9.8350e-01  9.8350e-01  9.8350e-01  9.8356e-01  9.8283e-01  9.9170e-01  8.8276e-01  5.0375e-02  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08
     5  9.8350e-01  9.8350e-01  9.8350e-01  9.8350e-01  9.8351e-01  9.8350e-01  9.8356e-01  9.8283e-01  9.9170e-01  8.8276e-01  5.0374e-02  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08
     6  9.8350e-01  9.8350e-01  9.8350e-01  9.8350e-01  9.8350e-01  9.8349e-01  9.8356e-01  9.8282e-01  9.9169e-01  8.8275e-01  5.0374e-02  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08
     7  9.8356e-01  9.8356e-01  9.8356e-01  9.8356e-01  9.8356e-01  9.8356e-01  9.8362e-01  9.8289e-01  9.9176e-01  8.8281e-01  5.0377e-02  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08
     8  9.8283e-01  9.8283e-01  9.8283e-01  9.8283e-01  9.8283e-01  9.8282e-01  9.8289e-01  9.8215e-01  9.9101e-01  8.8216e-01  5.0333e-02  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08
     9  9.9170e-01  9.9170e-01  9.9170e-01  9.9170e-01  9.9171e-01  9.9169e-01  9.9176e-01  9.9101e-01  1.0000e+00  8.8989e-01  5.0964e-02  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08
    10  8.8274e-01  8.8274e-01  8.8274e-01  8.8274e-01  8.8274e-01  8.8273e-01  8.8279e-01  8.8214e-01  8.8987e-01  7.9657e-01  4.1982e-02  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08  1.8120e-08
